nID;sDate;nID_Process;nID_Process_Root;nID_UserTask;nID_EscalationStatus
1;2015-09-09 18:20:25;9463;29193;894;91
2;2015-03-01 09:41:00;8968;49144;549;65
3;2015-09-15 21:33:11;3797;11682;175;56
4;2015-02-12 14:18:44;5708;60601;355;14
5;2015-08-10 09:25:29;7693;26056;293;5
6;2015-11-04 09:19:17;8964;97942;787;10
7;2015-02-13 17:31:38;4087;53188;885;53
8;2015-04-22 08:02:20;6571;63399;587;77
9;2015-02-01 11:22:25;9848;56069;503;80
10;2015-04-20 14:29:29;6579;11530;291;43
11;2015-05-25 16:49:34;8452;34925;677;94
12;2014-12-19 13:53:41;8799;79604;731;13
13;2014-12-22 23:33:20;4267;27567;726;5
14;2014-12-14 22:56:16;1063;58489;831;44
15;2015-01-30 19:17:07;6848;22112;693;96
16;2014-12-24 00:03:00;6276;57119;634;47
17;2015-12-04 10:24:51;8806;14352;340;12
18;2015-04-19 02:25:51;5299;10787;192;81
19;2015-05-10 23:24:41;3052;30871;957;54
20;2015-02-14 20:16:15;1554;34930;201;84
21;2015-01-04 07:07:07;3393;61873;443;79
22;2015-03-02 12:13:14;3627;90820;636;29
23;2015-04-26 08:43:22;4425;66204;109;84
24;2015-04-22 18:36:18;7273;62740;836;71
25;2015-06-03 19:27:51;6639;97598;200;42
26;2015-07-14 09:47:35;6155;70197;338;56
27;2015-08-19 22:13:11;5831;15620;535;50
28;2015-04-04 01:52:42;1315;52993;880;66
29;2015-09-19 23:07:22;2276;40553;849;21
30;2015-11-19 12:12:34;1068;25699;949;13
31;2015-10-10 17:16:00;2026;64197;872;32
32;2015-08-10 00:36:19;2732;20063;108;83
33;2015-03-11 13:39:55;2162;59534;152;51
34;2014-12-20 05:31:11;1053;26599;794;84
35;2015-02-03 07:35:42;1612;33486;663;57
36;2015-08-23 13:24:37;7095;95282;427;28
37;2015-08-26 07:10:32;7894;68452;205;3
38;2014-12-20 04:26:35;2519;91298;833;81
39;2015-01-20 20:04:45;8821;32587;888;73
40;2015-02-11 12:24:46;7439;21102;701;71
41;2015-09-08 08:57:28;5998;52860;344;20
42;2015-04-14 19:33:08;8371;83361;905;61
43;2015-06-22 14:06:01;5222;28424;602;55
44;2015-06-05 19:36:36;2612;29783;993;6
45;2015-04-20 09:34:12;6637;79497;254;78
46;2015-11-28 10:23:18;7476;60672;110;29
47;2015-07-29 11:07:18;1767;46625;164;89
48;2015-06-22 12:35:30;8891;84515;492;23
49;2015-11-21 08:55:30;2379;89578;839;81
50;2015-06-11 06:41:27;4098;31852;403;19
51;2015-09-24 17:36:20;7611;67458;485;29
52;2015-08-26 07:23:46;9760;49274;666;3
53;2015-08-10 12:03:21;8105;53849;621;24
54;2015-03-06 14:48:59;8302;82616;900;95
55;2014-12-26 18:53:58;4812;17854;525;99
56;2015-03-26 10:38:35;9279;60854;969;28
57;2015-05-08 15:29:04;4791;62643;914;7
58;2015-05-06 13:37:04;6201;52319;781;49
59;2015-09-02 15:17:06;5432;42349;700;98
60;2015-08-09 03:10:42;2137;20768;879;82
61;2014-12-22 21:18:46;8595;22324;569;55
62;2015-11-22 13:28:47;3121;80458;974;45
63;2015-01-27 03:03:46;4994;28379;543;9
64;2015-06-15 10:37:00;4617;69572;804;53
65;2015-04-05 07:44:04;8784;54270;452;84
66;2015-08-25 02:43:28;4062;60016;350;80
67;2015-09-11 19:29:48;9278;82079;815;33
68;2015-03-31 16:50:35;6247;62404;202;34
69;2015-01-05 11:12:20;3239;67695;771;12
70;2015-11-25 23:41:53;6467;54065;585;1
71;2015-08-21 00:32:35;5381;51748;960;22
72;2015-07-18 19:07:30;3440;96411;720;83
73;2015-01-26 20:06:55;8851;40009;414;20
74;2015-06-24 14:08:18;5552;13037;599;44
75;2015-01-17 20:44:56;1090;15254;647;64
76;2015-08-23 03:50:41;3178;29805;781;24
77;2015-07-19 23:44:24;5670;64464;176;71
78;2015-07-09 15:59:16;5171;35033;291;91
79;2015-03-21 15:31:05;2148;47582;620;50
80;2015-08-27 20:18:29;2592;18851;425;14
81;2015-09-30 03:31:12;7502;64272;604;58
82;2014-12-18 02:08:02;8551;50126;367;25
83;2014-12-14 18:02:28;1098;85809;699;52
84;2015-09-02 21:51:16;6123;56687;819;47
85;2015-09-11 12:50:03;8439;36999;389;62
86;2014-12-24 11:10:18;6605;18917;145;68
87;2015-04-12 00:05:31;6376;43263;974;22
88;2015-05-02 05:36:11;8485;98158;844;46
89;2015-09-23 19:11:20;6852;22839;486;82
90;2015-06-28 04:55:04;4170;22794;261;100
91;2015-07-06 08:27:02;1961;38633;726;72
92;2015-06-16 18:04:27;8993;66978;281;46
93;2015-04-30 09:08:50;2632;60960;837;86
94;2015-07-02 14:03:36;8969;71248;988;30
95;2015-02-17 10:35:38;5110;42251;416;57
96;2015-02-15 13:22:41;1814;96097;376;22
97;2015-06-30 12:59:06;8830;90247;548;27
98;2015-04-22 20:20:47;6376;37034;231;22
99;2015-01-15 08:30:02;2701;51095;541;35
100;2015-03-04 16:14:41;5716;21284;770;55
101;2015-02-15 13:22:41;1814;96097;376;22
102;2015-06-30 12:59:06;8830;90247;548;27
103;2015-04-22 20:20:47;6376;37034;231;22
104;2015-01-15 08:30:02;2701;51095;541;35
105;2015-03-04 16:14:41;5716;21284;770;55
