nID;sID_BP;sID_UserTask;sCondition;soData;sPatternFile;nID_EscalationRuleFunction
422;Kuznetsovsk_mvk-2;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:-1, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
423;kuznetsovsk_mvk_2;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:-1, asRecipientMail:['darja.grek@gmail.com']};escalation/escalation_template.html;1
424;kiev_soc_help_177;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1, asRecipientMail:['darja.grek@gmail.com']}";"escalation/escalation_template.html";1
425;kiev_soc_help_177;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
426;kiev_soc_help_177;"usertask1";"oTask.isSuspended()";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
427;kiev_soc_help_177;"usertask1";"oTask.getAssignee()!=null";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
428;kiev_soc_help_177;"usertask1";"nDueElapsedHours==nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
429;kiev_soc_help_177;"usertask1";"nCreateElapsedHours==nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
430;kiev_soc_help_177;"usertask1";"nCreateElapsedDays==nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
431;kiev_soc_help_177;"usertask1";"(bSuspended!=null)&&(nElapsedDays >= nDaysLimit)";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
432;kiev_soc_help_177;"usertask1";"(bAssigned!=null)&&(nElapsedDays >= nDaysLimit)";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
433;kiev_soc_help_177;"usertask1";"(bSuspended!=null)";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
434;kiev_soc_help_177;"usertask1";"(bAssigned!=null)";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
435;chernihiv_mvk_481;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
436;cnap_503;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
437;chervonograd_cnap_301;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
438;dnepr_soczah_142;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
439;dnepr_mvk_291_common;"usertask4";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
440;dnepr_mvk_291_common;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
441;dnepr_mvk_291;"usertask1";"nElapsedDays >= nDaysLimit";"{nDaysLimit:-1}";"escalation/escalation_template.html";2
