nID;sName;nID_ServiceData;nID_SubjectOrganDepartment;sID_BP;nCountAutoGenerate;sGroup
1;Test;1;1;_test_dnepr_mvd-1_auto;NULL;
2;МРЕО,Киев,Петропавлівська Борщагівка, вул.Кільцева 4;311;2;common_mreo_1;NULL;
3;МРЕО,м.Дніпропетровськ узвіз Тольятті, 2;123;10;common_mreo_1;NULL;
4;МРЕО,м. Дніпро вул. Маліновського, 130;123;13;common_mreo_1;NULL;
5;МРЕО,Киев,вул. Туполєва, 19;311;3;common_mreo_1;NULL;
6;МРЕО,Киев,вул. Велика кільцева дорога. 22-А;311;4;common_mreo_1;NULL;
7;МРЕО,Киев,вул. Братиславська, 52;311;5;common_mreo_1;NULL;
8;МРЕО,Киев,вул. Столичне шосе, 104;311;6;common_mreo_1;NULL;
9;МРЕО,Киев,вул. Павла Усенка, 8;311;7;common_mreo_1;NULL;
10;МРЕО,Киев,вул. Новокостянтинівська, 8;311;8;common_mreo_1;NULL;
11;МРЕО,Киев,пров. Балтійський, 20;311;9;common_mreo_1;NULL;
12;_test_queue_cancel;358;1;_test_queue_cancel;NULL;
13;АПИ ДМС, Днепр, областной, Загран;627;11;dms_0177_zagranChild_iGov;NULL;
14;ДМС, Днепр, Городской, Загран;627;18;dms_0177_zagranChild_iGov_auto;14;DMS
15;ДМС, Днепр, АНД, Загран;627;23;dms_0177_zagranChild_iGov_auto;14;DMS
16;АПИ ДМС, Днепр, Шевченковский, Загран;627;13;dms_0177_zagranChild_iGov;NULL;
17;ДМС, Днепр, Соборный, Загран;627;14;dms_0177_zagranChild_iGov_auto;14;DMS
18;ДМС, Днепр, Индустриальный, Загран;627;24;dms_0177_zagranChild_iGov_auto;14;DMS
19;ДМС, Днепр, Центральный, Загран;627;25;dms_0177_zagranChild_iGov_auto;14;DMS
20;ДМС, Днепр, Чечеловский, Загран;627;26;dms_0177_zagranChild_iGov_auto;14;DMS
21;АПИ ДМС, Днепр, Новокодацкий, Загран;627;27;dms_0177_zagranChild_iGov;NULL;testGroup
22;ДМС, Днепр, Самарский, Загран;627;28;dms_0177_zagranChild_iGov_auto;14;DMS
23;ДМС, Каменское, Загран;627;20;dms_0177_zagranChild_iGov_auto;14;DMS
24;ДМС, Кривой Рог Дзержинский, Загран;627;57;dms_0177_zagranChild_iGov_auto;14;DMS
25;ДМС, Кривой Рог Долгинцевский, Загран;627;58;dms_0177_zagranChild_iGov_auto;14;DMS
26;ДМС, Кривой Рог Жовтневий, Загран;627;59;dms_0177_zagranChild_iGov_auto;14;DMS
27;ДМС, Кривой Рог Ингулецкий, Загран;627;16;dms_0177_zagranChild_iGov_auto;14;DMS
28;ДМС, Кривой Рог Саксаганский, Загран;627;60;dms_0177_zagranChild_iGov_auto;14;DMS
29;ДМС, Кривой Рог, Центрально-Городской, Загран;627;19;dms_0177_zagranChild_iGov_auto;14;DMS
30;ДМС, Никополь, Загран;627;21;dms_0177_zagranChild_iGov_auto;14;DMS
31;ДМС, Новомосковськ, Загран;627;52;dms_0177_zagranChild_iGov_auto;14;DMS
32;ДМС, Павлоград, Загран;627;22;dms_0177_zagranChild_iGov_auto;14;DMS
33;ДМС, Першотравенськ, Загран;627;53;dms_0177_zagranChild_iGov_auto;14;DMS
34;ДМС, Апостолове, Загран;627;51;dms_0177_zagranChild_iGov_auto;14;DMS
35;ДМС, смт. Ювілейне, Загран;627;50;dms_0177_zagranChild_iGov_auto;14;DMS
36;ДМС, смт. Царичанка, Загран;627;56;dms_0177_zagranChild_iGov_auto;14;DMS
37;ДМС, смт. Широке, Загран;627;55;dms_0177_zagranChild_iGov_auto;14;DMS
38;ДМС, Днепр, АНД, ID-карти;467;23;dms_0173_IDChangeFIO_iGov_auto;14;DMS
39;АПИ ДМС, Днепр, Шевченковский, ID-карти;467;13;dms_0173_IDChangeFIO_iGov;NULL;
40;ДМС, Днепр, Соборный, ID-карти;467;14;dms_0173_IDChangeFIO_iGov_auto;14;DMS
41;ДМС, Днепр, Индустриальный, ID-карти;467;24;dms_0173_IDChangeFIO_iGov_auto;14;DMS
42;ДМС, Днепр, Центральный, ID-карти;467;25;dms_0173_IDChangeFIO_iGov_auto;14;DMS
43;АПИ ДМС, Днепр, Новокодацкий, ID-карти;467;27;dms_0173_IDChangeFIO_iGov;NULL;
44;ДМС, Днепр, Самарский, ID-карти;467;28;dms_0173_IDChangeFIO_iGov_auto;14;DMS
45;ЦНАП, Вольногорск;506;32;dnepr_dms-89_auto;40;REGISTRATION_DAY6
