nID_FlowPropertyClass;sData;nID_Flow;bExclude;sName;sRegionTime;saRegionWeekDay;sDateTimeAt;sDateTimeTo;nLen;sLenType;sGroup

1;{"0 0/30 9-12 ? * TUE-FRI":"PT30M"};2;false;Ранковий прийом;09:00-12:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};2;false;Перерва;13:00-14:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};2;false;Денний прийом;14:00-16:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/30 9-12 ? * SAT":"PT30M"};2;false;Ранковий прийом;09:00-12:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 45 13 ? * SAT":"PT30M"};2;false;Перерва;13:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 15/30 14 ? * SAT":"PT30M"};2;false;Денний прийом;14:00-16:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 15 15 ? * SAT":"PT30M"};2;false;Вечірній прийом;15:00-16:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/60 9-12,14-17 ? * TUE-FRI":"PT1H"};3;false;Прийом в робочі дні;14:00-17:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/60 9-13 ? * SAT":"PT1H"};3;false;Ранковий прийом;09:00-13:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/60 9-12,14-17 ? * TUE-FRI":"PT1H"};4;false;Прийом в робочі дні;14:00-17:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/30 10-11 ? * MON":"PT30M"};5;false;Ранковий прийом;09:00-12:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
