nID;sName;nID_ServiceData;nID_SubjectOrganDepartment;sID_BP;nCountAutoGenerate 
1;Test;1;1;_test_dnepr_mvd-1;null
2;МРЕО,Киев,Петропавлівська Борщагівка, вул.Кільцева 4;311;2;common_mreo_1;null
3;МРЕО,м.Дніпропетровськ узвіз Тольятті, 2;123;10;common_mreo_1;null
4;МРЕО,м. Дніпро вул. Маліновського, 130;123;13;common_mreo_1;null
5;МРЕО,Киев,вул. Туполєва, 19;311;3;common_mreo_1;null
6;МРЕО,Киев,вул. Велика кільцева дорога. 22-А;311;4;common_mreo_1;null
7;МРЕО,Киев,вул. Братиславська, 52;311;5;common_mreo_1;null
8;МРЕО,Киев,вул. Столичне шосе, 104;311;6;common_mreo_1;null
9;МРЕО,Киев,вул. Павла Усенка, 8;311;7;common_mreo_1;null
10;МРЕО,Киев,вул. Новокостянтинівська, 8;311;8;common_mreo_1;null
11;МРЕО,Киев,пров. Балтійський, 20;311;9;common_mreo_1;null
12;_test_queue_cancel;358;1;_test_queue_cancel;null
13;ДМС, Днепр, областной, Загран;627;11;dnepr_dms-288;null
14;ДМС, Днепр, Городской, Загран;627;18;dnepr_dms-288;null
15;ДМС, Днепр, АНД, Загран;627;23;dnepr_dms-288;null
16;ДМС, Днепр, Шевченковский, Загран;627;13;dnepr_dms-288;null
17;ДМС, Днепр, Соборный, Загран;627;14;dnepr_dms-288;null
18;ДМС, Днепр, Индустриальный, Загран;627;24;dnepr_dms-288;null
19;ДМС, Днепр, Центральный, Загран;627;25;dnepr_dms-288;null
20;ДМС, Днепр, Чечеловский, Загран;627;26;dnepr_dms-288;null
21;ДМС, Днепр, Новокодацкий, Загран;627;27;dnepr_dms-288;null
22;ДМС, Днепр, Самарский, Загран;627;28;dnepr_dms-288;null
23;ДМС, Каменское, Загран;627;20;dnepr_dms-288;null
24;ДМС, Кривой Рог Дзержинский, Загран;627;57;dnepr_dms-288;null
25;ДМС, Кривой Рог Долгинцевский, Загран;627;58;dnepr_dms-288;null
26;ДМС, Кривой Рог Жовтневий, Загран;627;59;dnepr_dms-288;null
27;ДМС, Кривой Рог Ингулецкий, Загран;627;16;dnepr_dms-288;null
28;ДМС, Кривой Рог Саксаганский, Загран;627;60;dnepr_dms-288;null
29;ДМС, Кривой Рог, Центрально-Городской, Загран;627;19;dnepr_dms-288;null
30;ДМС, Никополь, Загран;627;21;dnepr_dms-288;null
31;ДМС, Новомосковськ, Загран;627;52;dnepr_dms-288;null
32;ДМС, Павлоград, Загран;627;22;dnepr_dms-288;null
33;ДМС, Першотравенськ, Загран;627;53;dnepr_dms-288;null
34;ДМС, Апостолове, Загран;627;51;dnepr_dms-288;null
35;ДМС, смт. Ювілейне, Загран;627;50;dnepr_dms-288;null
36;ДМС, смт. Царичанка, Загран;627;56;dnepr_dms-288;null
37;ДМС, смт. Широке, Загран;627;55;dnepr_dms-288;null
38;ДМС, Днепр, АНД, ID-карти;467;23;dnepr_dms-227ID;null
39;ДМС, Днепр, Шевченковский, ID-карти;467;13;dnepr_dms-227ID;null
40;ДМС, Днепр, Соборный, ID-карти;467;14;dnepr_dms-227ID;null
41;ДМС, Днепр, Индустриальный, ID-карти;467;24;dnepr_dms-227ID;null
42;ДМС, Днепр, Центральный, ID-карти;467;25;dnepr_dms-227ID;null
43;ДМС, Днепр, Новокодацкий, ID-карти;467;27;dnepr_dms-227ID;null
44;ДМС, Днепр, Самарский, ID-карти;467;28;dnepr_dms-227ID;null
45;ЦНАП, Вольногорск;506;32;dnepr_dms-89Vln_auto;30
46;ДМС, Каменское, ID-карти;635;20;dnepr_dms-227ID;null
47;ДМС, Кривой Рог Дзержинский, ID-карти;186;57;dnepr_dms-205ID;null
48;ДМС, Кривой Рог Долгинцевский, ID-карти;186;58;dnepr_dms-205ID;null
49;ДМС, Кривой Рог Жовтневий, ID-карти;186;59;dnepr_dms-205ID;null
50;ДМС, Кривой Рог Ингулецкий, ID-карти;186;16;dnepr_dms-205ID;null
51;ДМС, Кривой Рог Саксаганский, ID-карти;186;60;dnepr_dms-205ID;null
52;ДМС, Кривой Рог, Центрально-Городской, ID-карти;186;19;dnepr_dms-205ID;null
53;ДМС, Никополь, ID-карти;1630;21;dnepr_dms-227ID;null
54;ДМС, Новомосковськ, ID-карти;921;52;dnepr_dms-227ID;null
55;ДМС, Павлоград, ID-карти;1636;22;dnepr_dms-227ID;null
56;ДМС, Першотравенськ, ID-карти;83;53;dnepr_dms_227ID;null
57;ДМС, Апостолове, ID-карти;1657;51;dnepr_dms-227ID;null
58;ДМС, смт. Ювілейне, ID-карти;1675;50;dnepr_dms-227ID;null
59;ДМС, смт. Солоне, ID-карти;1737;54;dnepr_dms-227ID;null
60;ДМС, смт. Царичанка, ID-карти;1755;56;dnepr_dms-227ID;null
61;ДМС, смт. Широке, ID-карти;1761;55;dnepr_dms-227ID;null
62;ЦНАП, Первомайский Харьков;161;41;dnepr_dms-89;null
63;ЦНАП, м. Ромни;951;47;dnepr_dms-89;null
64;Пока стопЦНАП, Чортківської РДА;941;48;dnepr_dms-89;null
65;ЦНАП, м. Жовті Води;968;49;dnepr_dms-89;null
66;ЦНАП м. Нетішин;1254;69;scadovsk_mvk-302;null
67;Первомайский Ник область,регистрация;737;154;dnepr_dms-89;null
68;Голая Пристань,регистрация;733;155;dnepr_dms-89;null
69;ДМС, Днепр, Чечеловский, ID-карти;467;26;dnepr_dms-227ID;null
70;Свободный поток;635;1;dnepr_dms-891;null
71;ЦНАП, Новопсковская РДА;177;46;dnepr_dms-280;null
72;ДМС, Житомир, вул. Пушкінська, 44;63;61;dnepr_dms_passport;null
73;Свободный поток;687;1;dnepr_dms-892;null
74;Свободный поток;725;1;dnepr_dms-893;null
75;Свободный поток;788;1;dnepr_dms-894;null
76;Свободный поток;496;1;dnepr_dms-257;null
77;МВК, Новопсков, вул. Гагарина, 63;1253;63;Lug_novopskov_458;null
78;МВК, м. Жовті Води, бульв. Свободи, 33;1252;64;scadovsk_mvk-302;null
79;ДМС, Тернопіль, вул.Є.Коновальця,6, Загран;1179;65;dnepr_dms_passport;null
80;ЦНАП м. Чугуєва;1210;66;dnepr_dms-89;null
81;ЦНАП м. Лозова;1220;67;dnepr_dms-89;null
82;Свободный поток;1230;1;dnepr_dms-895;null
83;Пока стопЦНАП м. Кривий Ріг;1618;70;dnepr_dms-227;null
84;Пока стопЦНАП м. Марганець;1624;71;dnepr_dms-227;null
85;ЦНАП м. Нікополь;1800;72;dnepr_dms-89auto;10
86;ЦНАП м. Павлоград;1804;73;dnepr_dms-89;null
87;ЦНАП м. Синельникове;1816;74;dnepr_dms-89;null
88;ЦНАП м. Тернівка;1808;75;dnepr_dms-89;null
89;Свободный поток;1657;1;dnepr_dms-227;null
90;ЦНАП Васильківський район;1663;77;dnepr_dms-227;null
91;ЦНАП Верхньодніпровський район;1669;78;dnepr_dms-227;null
92;Свободный поток;1675;1;dnepr_dms-2271;null
93;ЦНАП Криворізький район;1680;80;dnepr_dms-227;null
94;ЦНАП Криничанський район;1686;81;dnepr_dms-227;null
95;ЦНАП Магдалінівський район;1692;82;dnepr_dms-227;null
96;ЦНАП Межівський район;1698;83;dnepr_dms-227;null
97;Свободный поток;1704;84;dnepr_dms-227;null
98;Свободный поток;1710;85;dnepr_dms-227;null
99;ЦНАП Петриківський район;1716;86;dnepr_dms-227;null
100;ЦНАП Петропавлівський район;1722;87;dnepr_dms-227;null
101;ЦНАП Покровський район;1728;88;dnepr_dms-227;null
102;ЦНАП Синельниковський район;1734;89;dnepr_dms-227;null
103;Свободный поток;1737;1;dnepr_dms-2272;null
104;ЦНАП Софіївський район;1743;91;dnepr_dms-227;null
105;ЦНАП Томаківський район;1749;92;dnepr_dms-227;null
106;ЦНАП Царичанський район;1824;93;dnepr_dms-89;null
107;Свободный поток;1761;1;dnepr_dms-2273;null
108;ЦНАП Юр'ївський район;1767;95;dnepr_dms-227;null
109;ЦНАП м. Орджонікідзе;1812;96;dnepr_dms-89;null
110;Амур-Нижньодніпровський відділ ДВС м. Дніпропетровськ;1567;97;dvs_619;null
111;Бабушкінський відділ ДВС м. Дніпропетровськ;1567;98;dvs_619;null
112;Жовтневий відділ ДВС м. Дніпропетровськ;1567;99;dvs_619;null
113;Індустріальний відділ ДВС м. Дніпропетровськ;1567;100;dvs_619;null
114;Кіровський відділ ДВС м. Дніпропетровськ;1567;101;dvs_619;null
115;Красногвардійський відділ ДВС м. Дніпропетровськ;1567;102;dvs_619;null
116;Ленінський відділ ДВС м. Дніпропетровськ;1567;103;dvs_619;null
117;Самарський відділ ДВС м. Дніпропетровськ;1567;104;dvs_619;null
118;Баглійський відділ ДВС м.Дніпродзержинськ;1567;105;dvs_619;null
119;Дніпровський відділ ДВС м.Дніпродзержинськ;1567;106;dvs_619;null
120;Заводський відділ ДВС м.Дніпродзержинськ;1567;107;dvs_619;null
121;Дзержинський відділ ДВС м.Кривий Ріг;1567;108;dvs_619;null
122;Довгинцівський відділ ДВС м.Кривий Ріг;1567;109;dvs_619;null
123;Жовтневий відділ ДВС м.Кривий Ріг;1567;110;dvs_619;null
124;Інгулецький відділ ДВС м.Кривий Ріг;1567;111;dvs_619;null
125;Саксаганський відділ ДВС м.Кривий Ріг;1567;112;dvs_619;null
126;Тернівський відділ ДВС м.Кривий Ріг;1567;113;dvs_619;null
127;Центрально-Міський відділ ДВС м.Кривий Ріг;1567;114;dvs_619;null
128;Апостолівський районний відділ ДВС;1567;115;dvs_619;null
129;Васильківський районний відділ ДВС;1567;116;dvs_619;null
130;Верхньодніпровський районний відділ ДВС;1567;117;dvs_619;null
131;Вільногірський міський відділ ДВС;1567;118;dvs_619;null
132;Дніпропетровський районний відділ ДВС;1567;119;dvs_619;null
133;Жовтоводський міський відділ ДВС;1567;120;dvs_619;null
134;Криворізький районний відділ ДВС;1567;121;dvs_619;null
135;Криничанський районний відділ ДВС;1567;122;dvs_619;null
136;Магдалинівський районний відділ ДВС;1567;123;dvs_619;null
137;Марганецький міський відділ ДВС;1567;124;dvs_619;null
138;Межівський районний відділ ДВС;1567;125;dvs_619;null
139;Нікопольський міськрайонний відділ ДВС;1567;126;dvs_619;null
140;Новомосковський міськрайонний відділ ДВС;1567;127;dvs_619;null
141;Орджонікідзевський міський відділ ДВС;1567;128;dvs_619;null
142;Павлоградський міськрайонний відділ ДВС;1567;129;dvs_619;null
143;Першотравенський міський відділ ДВС;1567;130;dvs_619;null
144;Петриківський районний відділ ДВС;1567;131;dvs_619;null
145;Петропавлівський районний відділ ДВС;1567;132;dvs_619;null
146;Покровський районний відділ ДВС;1567;133;dvs_619;null
147;П’ятихатський районний відділ ДВС;1567;134;dvs_619;null
148;Синельниковський міськрайонний відділ ДВС;1567;135;dvs_619;null
149;Солонянський районний відділ ДВС;1567;136;dvs_619;null
150;Софіївський районний відділ ДВС;1567;137;dvs_619;null
151;Тернівський міський відділ ДВС;1567;138;dvs_619;null
152;Томаківський районний відділ ДВС;1567;139;dvs_619;null
153;Царичанський районний відділ ДВС;1567;140;dvs_619;null
154;Широківський районний відділ ДВС;1567;141;dvs_619;null
155;Юр’ївський районний відділ ДВС;1567;142;dvs_619;null
156;Відділ примусового виконання рішень Управління ДВС;1567;143;dvs_619;null
157;Свободный поток;1788;1;dnepr_dms-2574;null
158;ДМС, м. Кременець, вул. Драгоманова,9, Загран;1179;144;dnepr_dms_passport;null
159;Давидівська сільська рада;2042;145;scadovsk_mvk-302;null
160;Черкаське обласне управління лісового та мисливського господарства;1118;146;cherkasy_lmg_415;null
161;ДМС, м. Кременець, вул.Драгоманова,9, ID-карти;2070;144;dnepr_dms-257;null
162;РАГС, Херсонська область, м. Каховка, вул.Велика Куликовська,103;260;147;kherson_racs_758;null
163;Дніпропетровське обласне управління Лісового та мисливського господарства;2275;148;cherkasy_lmg_415;null
164;Днепр, регистрация, АНД_Индустриальный;125;149;dnepr_dms-89;null
165;Днепр, регистрация, Чечел_Шевч;125;150;dnepr_dms-89;null
166;Днепр, регистрация, Центр_Собор;125;151;dnepr_dms-89;null
167;Днепр, регистрация, Новокодацкий;125;152;dnepr_dms-89;null
168;Днепр, регистрация, Самарский;125;153;dnepr_dms-89;null
169;МРЕО м.Львів, вул. Данила Апостола, 11 (водійське посвідчення);2123;156;common_mreo_3;null
170;МРЕО м Самбір, вул Східна 216 (водійське посвідчення);2123;157;common_mreo_3;null
171;Каховка, регистрация;2506;158;dnepr_dms-89;null
172;ДМС, Тернопільський район, вул.Степова,45, Загран;1179;159;dnepr_dms_passport;null
173;ДМС, м. Чортків, вул. Горбачевського,5, Загран;1179;160;dnepr_dms_passport;null
174;Кременець, реєстрація;2552;161;dnepr_dms-89;null
175;МРЕО м Чернігів (водійське посвідчення);2568;162;common_mreo_3;null
176;ДМС, Тернопіль, вул.Є.Коновальця,6,ID-карти;1914;65;dnepr_dms-205ID;null
177;КрРог, регистрация, Тернівський;2584;163;dnepr_dms-89;null
178;КрРог, регистрация, Покровський (Жовтневий);2584;164;dnepr_dms-89;null
179;КрРог, регистрация, Саксаганський;2584;165;dnepr_dms-89;null
180;КрРог, регистрация, Довгинцівський;2584;166;dnepr_dms-89;null
181;КрРог, регистрация, Металургійний (Дзержинський);2584;167;dnepr_dms-89;null
182;КрРог, регистрация, Центрально-Міський;2584;168;dnepr_dms-89;null
183;КрРог, регистрация, Інгулецький;2584;169;dnepr_dms-89;null
184;смт Благодатне, Нововолинської міської ради;2591;170;dnepr_dms-89;null
185;Днепр, регистрация, Таромское;125;171;dnepr_dms-89;null
186;ДМС, м.Ланівці, вул. Волинська, 7, Загран;1179;172;dnepr_dms_passport;null
187;ДМС, смт.Козова, вул. Січових Стрільців, 2, Загран;1179;173;dnepr_dms_passport;null
188;ДМС, м. Збараж, вул. Б. Хмельницького, 24, Загран;1179;174;dnepr_dms_passport;null
189;Пока стопЦНАП Гусятиського району;2962;175;dnepr_dms-227;null
190;Державіаслужба;2969;176;infrastr_845flow;null
191;Острозька міська рада;2545;177;scadovsk_mvk-302;null
192;Великолюбіська селищна рада;2982;178;scadovsk_mvk-302;null
193;м.Дніпро відділ Управління державної реєстрації;160;179;common_zags_1;null
194;м.Дніпро Амур-Нижньодніпровський районний відділ;160;180;common_zags_1;null
195;м.Дніпро Бабушкінський районний відділ;160;181;common_zags_1;null
196;м.Дніпро Жовтневий районний відділ ;160;182;common_zags_1;null
197;м.Дніпро Індустріальний районний відділ;160;183;common_zags_1;null
198;м.Дніпро Кіровський районний відділ;160;184;common_zags_1;null
199;м.Дніпро Красногвардійський районний відділ;160;185;common_zags_1;null
200;м.Дніпро Ленінський районний відділ;160;186;common_zags_1;null
201;м.Дніпро Самарський районний відділ;160;187;common_zags_1;null
202;м.Кам’янське Баглійський районний відділ;160;188;common_zags_1;null
203;м.Кам’янське Дніпровський районний відділ;160;189;common_zags_1;null
204;м.Кам’янське Заводський районний відділ;160;190;common_zags_1;null
205;м.Кривий Ріг Дзержинський районний відділ;160;191;common_zags_1;null
206;м.Кривий Ріг Довгинцівський районний відділ;160;192;common_zags_1;null
207;м.Кривий Ріг Жовтневий районний відділ;160;193;common_zags_1;null
208;м.Кривий Ріг Інгулецький районний відділ;160;194;common_zags_1;null
209;м.Кривий Ріг Саксаганський районний відділ;160;195;common_zags_1;null
210;м.Кривий Ріг Тернівський районний відділ;160;196;common_zags_1;null
211;м.Кривий Ріг Центрально-Міський районний відділ;160;197;common_zags_1;null
212;м.Вільногірськ Вільногірський міський відділ;160;198;common_zags_1;null
213;м.Жовті Води Жовтоводський міський відділ;160;199;common_zags_1;null
214;м.Марганець Марганецький міський відділ;160;200;common_zags_1;null
215;м.Орджонікідзе Орджонікідзевський міський відділ;160;201;common_zags_1;null
216;м.Павлоград  Павлоградський міський відділ ;160;202;common_zags_1;null
217;м.Першотравенськ Першотравенський міський районний відділ;160;203;common_zags_1;null
218;м.Синельникове Синельниківський міськрайонний відділ;160;204;common_zags_1;null
219;м.Тернівка Тернівський міський відділ;160;205;common_zags_1;null
220;м.Апостолове Апостолівський районний відділ;160;206;common_zags_1;null
221;смт. Васильківка Васильківський районний відділ;160;207;common_zags_1;null
222;м.Верхньодніпровськ Верхньодніпровський районний відділ;160;208;common_zags_1;null
223;м.Дніпро Дніпропетровський районний відділ;160;209;common_zags_1;null
224;м.Кривий Ріг Криворізький районний відділ;160;210;common_zags_1;null
225;смт.Кринички Криничанський районний відділ;160;211;common_zags_1;null
226;смт.Магдалинівка Магдалинівський районний відділ;160;212;common_zags_1;null
227;смт.Межова Межівський районний відділ;160;213;common_zags_1;null
228;м.Нікополь Нікопольський міськрайонний відділ;160;214;common_zags_1;null
229;м.Новомосковськ  Новомосковський міськрайонний відділ;160;215;common_zags_1;null
230;м.Павлоград Павлоградський районний відділ;160;216;common_zags_1;null
231;смт.Петриківка Петриківський районний відділ ;160;217;common_zags_1;null
232;смт.Петропавлівка Петропавлівський районний відділ;160;218;common_zags_1;null
233;смт.Покровське Покровський районний відділ;160;219;common_zags_1;null
234;м.П’ятихатки П’ятихатський районний відділ;160;220;common_zags_1;null
235;смт.Солоне Солонянський районний відділ;160;221;common_zags_1;null
236;смт.Софіївка Софіївський районний відділ;160;222;common_zags_1;null
237;смт.Томаківка Томаківський районний відділ;160;223;common_zags_1;null
238;смт.Царичанка Царичанський районний відділ;160;224;common_zags_1;null
239;смт.Юр’ївка Юр’ївський районний відділ;160;225;common_zags_1;null
240;смт.Широке Широківський районний відділ;160;226;common_zags_1;null
241;ЦНАП Підгаєцького району;3010;227;dnepr_dms-227;null
242;Кіровська селищна рада;3092;228;scadovsk_mvk-302;null
243;ЦНАП Зборівського району;3114;229;dnepr_dms-227;null
244;ЦНАП Зборівського району;3125;229;dnepr_dms-89;null
245;Нова Каховка,регистрация;3172;232;dnepr_dms-89;null
246;ЦНАП м. Бердянськ;3187;233;dnepr_dms-89;null
