nID;nID_Subject_Source;sID_Private_Source;sName
1;NULL;NULL;ObjectGroupName
2;471;10.01;Электроэнергия
3;471;10.02;Вода, лед, холод
4;471;100.01;Корма (жмых подсолнечника)
5;471;100.02;Корма (дробина пивная)
6;471;100.03;Корма (жом свекольный)
7;471;100.04;Комбикорма
8;471;100.05;Культуры зерновые
9;471;100.06;Корма (биодобавки)
10;471;100.07;Корма (заменитель цельного молока)
11;471;100.08;Ветпрепараты, вакцины, дезинфицирующие средства и инструменты для с/х животных
12;471;100.09;Продукция растениеводства
13;471;100.10;Средства защиты растений
14;471;100.11;Продукция растениеводства - семена растений (цветы, травы и др.)
15;471;100.12;Продукция растениеводства (саженцы, кустарники)
16;471;100.13;Продукция овощеводства (Овощи, фрукты, ягоды)
17;471;101.01;ТЭО ж/д перевозок
18;471;101.02;ТЭО автомобильных перевозок по территории Украины
19;471;101.03;ТЭО автомобильных международных перевозок
20;471;101.04;ТЭО морских перевозок навалочных грузов
21;471;101.05;ТЭО морских контейнерных перевозок
22;471;101.06;Услуги по таможенному оформлению экспортно-импортных грузов (брокерские услуги)
23;471;101.07;Услуги по взысканию задолженности (коллекторские услуги)
24;471;101.08;Перевозка опасных грузов автотранспортом на территории Украины
25;471;101.09;Оценка (переоценка) ОС согласно МСФО
26;471;102.01;Курьерская доставка грузов по Украине
27;471;102.02;Курьерская доставка грузов международная
28;471;102.03;Услуги переводчика
29;471;103.00;Дорожная автоматика
30;471;104.00;Посуда стеклянная, фарфоровая, металлическая
31;471;105.00;Ремонт судна пасажирского
32;471;106.00;Асбест хризотиловый
33;471;107.00;Банка жестяная объемом 1-2л
34;471;109.00;сульфаты, гранулы, пероксосульфаты (персульфаты)
35;471;11.01;Нефтепродукты светлые
36;471;11.02;Масла, смазки
37;471;11.02.01;Авиационные масла
38;471;11.03;Битумы
39;471;11.04;Газ горючий природный и искусственный, конденсат
40;471;11.05;Хладогены
41;471;110.01;Промышленные печи
42;471;111;Прочее
43;471;112.00;Пломбы и ЗПУ
44;471;113.00;Сорбирующие изделия
45;471;12.00;Антрацит для фильтров водоподготовки
46;471;12.01;Уголь
47;471;12.02;Торф
48;471;12.03;Сланцы
49;471;13.01;Руда железная сырая (добыча)
50;471;13.02;Сырье нерудное черной металлургии
51;471;13.03;Кокс каменноугольный валовый сухой
52;471;13.04;Кокс пековый электродный, полукокс
53;471;13.05;Лом черных металлов
54;471;13.06;Шлаки металлургического производства (без гранулированных) и шламы
55;471;13.07;Руда флюоритовая, флюорит
56;471;13.08;Металлообогащеная смесь МОС-2
57;471;13.09;Глинозем металлургический
58;471;14.01;Чугун и ферросплавы
59;471;15.01;Рельсы
60;471;15.02;Сортовой и фасонный прокат
61;471;15.03;Бандажи, кольца, колеса
62;471;15.04;Прокат листовой рядовой, оцинкованный
63;471;15.05;Прокат листовой нержавеющий, алюминированный, трубы нержавеющие
64;471;15.06;Трубы стальные
65;471;15.07;Металлорукава из нержавеющей стали
66;471;15.08;Профили горячекатаные СВП для крепи горных выработок
67;471;16.01;Трубы чугунные
68;471;17.01;Мука, отходы мукомольного производства
69;471;17.02;Молоко, молочные продукты
70;471;18.01;Шары стальные и цильбепсы
71;471;19.01;Проволока стальная обыкновенного качества
72;471;19.01.01;Болт, гайка, шайба, ж/д крепеж-позиция Дружковского метизного завода
73;471;19.02;Лента стальная холоднокатаная
74;471;19.02.01;Бирки
75;471;19.03;Лента стальная легированная
76;471;19.04;Пружины часовые и специальные
77;471;19.05;Канаты стальные
78;471;19.05.01;Стропы
79;471;19.05.02;Комплектующие изделия для производства канатных стропов
80;471;19.06;Изделия из проволоки (гвозди )
81;471;19.07;Электроды металлические сварочные в том числе нержавеющие
82;471;19.08;Изделия из проволоки (сетка)
83;471;19.09;Изделия из порошковых матриалов и прочее
84;471;19.10;Защитные ограждения и комплектующие
85;471;20.01;Металлоизделия культурно - бытового назначения и хозяйственного обихода
86;471;21.01;Сырье огнеупорное и лом огнеупорных изделий
87;471;21.02;Огнеупоры неформованные
88;471;21.03;Изделия огнеупорные кремнеземистые (динасовые)
89;471;21.04;Изделия огнеупорные алюмосиликатные шамотные и полукислые без сталеразливочных
90;471;21.05;Изделия огнеупорные прочие и различных способов производства
91;471;21.06;Лом огнеупоров
92;471;21.07;Теплоизоляционная огнеупорная продукция
93;471;21.08;Укрбелит
94;471;21.09;Глина огнеупорная, Песок формовочный, СПГ
95;471;22.01;Металлы легкие, их сырье, сплавы и соединения
96;471;22.02;Металлы тяжелые легкоплавкие, их сырье, сплавы и соединения
97;471;22.03;Припои на основе олова, свинца и индия, баббиты, свинец, сурьма, медь
98;471;22.04;Металлы тяжелые среднеплавкие, их сырье, сплавы
99;471;22.05;Металлы тяжелые тугоплавкие, их сырье, сплавы и соединения
100;471;22.06;Металлы драгоценные, их сырье, сплавы и соединения
101;471;22.07;Металлы редкие, их сырье, сплавы и соединения
102;471;22.08;Лом и отходы цветных металлов
103;471;22.08.01;Лом и отходы драгоценных металлов
104;471;22.09;Камни драгоценные, их сырье, сплавы и соединения
105;471;23.01;Прокат медный, алюминиевый и.д.
106;471;24.01;Продукция электродная графитированная
107;471;24.02;Бой и отходы графитированной и угольной продукции
108;471;24.03;Минералы
109;471;25.01;Газы
110;471;25.01.01;Баллоны для промышленных газов
111;471;25.02;Газовые смеси
112;471;25.03;Кислоты и окислы
113;471;25.04;Основания и содопродукты
114;471;25.05;Электролиты щелочные, гидроокиси, гидразины и гидроксиламины, Соли кислородных кислот, Хлорная известь и прочии химичиские реактивы
115;471;25.06;Сорбенты и носители катализаторов
116;471;25.07;Угли активированные
117;471;25.08;Катализаторы
118;471;25.09;Удобрения минеральные
119;471;25.10;Трихлорэтилен
120;471;25.11;Концентраты, растворы
121;471;25.12;Средства для обработки промышленных вод
122;471;26.01;Полотно пленки (рукав)
123;471;26.02;Полимеры фторпроизводных этилена (фторопласты и фторсополимеры)
124;471;26.03;Полистирол и сополимеры стирола (полимеры арилолефинов)
125;471;26.04;Смолы, получаемые поликонденсацией и ступенчатой полимеризацией. Полимеры сложных виниловых эфиров и их производные. Полиамиды
126;471;26.05;Материалы ионообменные
127;471;26.06;Продукция из полимеров прочая Смолы прочие, ПВХ
