nID;nID_Relation;nID_ObjectGroup_Parent;nID_ObjectGroup_Child
1;1;NULL;1
2;2;NULL;2
3;2;NULL;3
4;2;NULL;4
5;2;NULL;5
6;2;NULL;6
7;2;NULL;7
8;2;NULL;8
9;2;NULL;9
10;2;NULL;10
11;2;NULL;11
12;2;NULL;12
13;2;NULL;13
14;2;NULL;14
15;2;NULL;15
16;2;NULL;16
17;2;NULL;17
18;2;NULL;18
19;2;NULL;19
20;2;NULL;20
21;2;NULL;21
22;2;NULL;22
23;2;NULL;23
24;2;NULL;24
25;2;NULL;25
26;2;NULL;26
27;2;NULL;27
28;2;NULL;28
29;2;NULL;29
30;2;NULL;30
31;2;NULL;31
32;2;NULL;32
33;2;NULL;33
34;2;NULL;34
35;2;NULL;35
36;2;NULL;36
37;2;NULL;37
38;2;NULL;38
39;2;NULL;39
40;2;NULL;40
41;2;NULL;41
42;2;NULL;42
43;2;NULL;43
44;2;NULL;44
45;2;NULL;45
46;2;NULL;46
47;2;NULL;47
48;2;NULL;48
49;2;NULL;49
50;2;NULL;50
51;2;NULL;51
52;2;NULL;52
53;2;NULL;53
54;2;NULL;54
55;2;NULL;55
56;2;NULL;56
57;2;NULL;57
58;2;NULL;58
59;2;NULL;59
60;2;NULL;60
61;2;NULL;61
62;2;NULL;62
63;2;NULL;63
64;2;NULL;64
65;2;NULL;65
66;2;NULL;66
67;2;NULL;67
68;2;NULL;68
69;2;NULL;69
70;2;NULL;70
71;2;NULL;71
72;2;NULL;72
73;2;NULL;73
74;2;NULL;74
75;2;NULL;75
76;2;NULL;76
77;2;NULL;77
78;2;NULL;78
79;2;NULL;79
80;2;NULL;80
81;2;NULL;81
82;2;NULL;82
83;2;NULL;83
84;2;NULL;84
85;2;NULL;85
86;2;NULL;86
87;2;NULL;87
88;2;NULL;88
89;2;NULL;89
90;2;NULL;90
91;2;NULL;91
92;2;NULL;92
93;2;NULL;93
94;2;NULL;94
95;2;NULL;95
96;2;NULL;96
97;2;NULL;97
98;2;NULL;98
99;2;NULL;99
100;2;NULL;100
101;2;NULL;101
102;2;NULL;102
103;2;NULL;103
104;2;NULL;104
105;2;NULL;105
106;2;NULL;106
107;2;NULL;107
108;2;NULL;108
109;2;NULL;109
110;2;NULL;110
111;2;NULL;111
112;2;NULL;112
113;2;NULL;113
114;2;NULL;114
115;2;NULL;115
116;2;NULL;116
117;2;NULL;117
118;2;NULL;118
119;2;NULL;119
120;2;NULL;120
121;2;NULL;121
122;2;NULL;122
123;2;NULL;123
124;2;NULL;124
125;2;NULL;125
126;2;NULL;126
127;2;NULL;127
128;2;NULL;128
129;2;NULL;129
130;2;NULL;130
131;2;NULL;131
132;2;NULL;132
133;2;NULL;133
134;2;NULL;134
135;2;NULL;135
136;2;NULL;136
137;2;NULL;137
138;2;NULL;138
139;2;NULL;139
140;2;NULL;140
141;2;NULL;141
142;2;NULL;142
143;2;NULL;143
144;2;NULL;144
145;2;NULL;145
146;2;NULL;146
147;2;NULL;147
148;2;NULL;148
149;2;NULL;149
150;2;NULL;150
151;2;NULL;151
152;2;NULL;152
153;2;NULL;153
154;2;NULL;154
155;2;NULL;155
156;2;NULL;156
157;2;NULL;157
158;2;NULL;158
159;2;NULL;159
160;2;NULL;160
161;2;NULL;161
162;2;NULL;162
163;2;NULL;163
164;2;NULL;164
165;2;NULL;165
166;2;NULL;166
167;2;NULL;167
168;2;NULL;168
169;2;NULL;169
170;2;NULL;170
171;2;NULL;171
172;2;NULL;172
173;2;NULL;173
174;2;NULL;174
175;2;NULL;175
176;2;NULL;176
177;2;NULL;177
178;2;NULL;178
179;2;NULL;179
180;2;NULL;180
181;2;NULL;181
182;2;NULL;182
183;2;NULL;183
184;2;NULL;184
185;2;NULL;185
186;2;NULL;186
187;2;NULL;187
188;2;NULL;188
189;2;NULL;189
190;2;NULL;190
191;2;NULL;191
192;2;NULL;192
193;2;NULL;193
194;2;NULL;194
195;2;NULL;195
196;2;NULL;196
197;2;NULL;197
198;2;NULL;198
199;2;NULL;199
200;2;NULL;200
201;2;NULL;201
202;2;NULL;202
203;2;NULL;203
204;2;NULL;204
205;2;NULL;205
206;2;NULL;206
207;2;NULL;207
208;2;NULL;208
209;2;NULL;209
210;2;NULL;210
211;2;NULL;211
212;2;NULL;212
213;2;NULL;213
214;2;NULL;214
215;2;NULL;215
216;2;NULL;216
217;2;NULL;217
218;2;NULL;218
219;2;NULL;219
220;2;NULL;220
221;2;NULL;221
222;2;NULL;222
223;2;NULL;223
224;2;NULL;224
225;2;NULL;225
226;2;NULL;226
227;2;NULL;227
228;2;NULL;228
229;2;NULL;229
230;2;NULL;230
231;2;NULL;231
232;2;NULL;232
233;2;NULL;233
234;2;NULL;234
235;2;NULL;235
236;2;NULL;236
237;2;NULL;237
238;2;NULL;238
239;2;NULL;239
240;2;NULL;240
241;2;NULL;241
242;2;NULL;242
243;2;NULL;243
244;2;NULL;244
245;2;NULL;245
246;2;NULL;246
247;2;NULL;247
248;2;NULL;248
249;2;NULL;249
250;2;NULL;250
251;2;NULL;251
252;2;NULL;252
253;2;NULL;253
254;2;NULL;254
255;2;NULL;255
256;2;NULL;256
257;2;NULL;257
258;2;NULL;258
259;2;NULL;259
260;2;NULL;260
261;2;NULL;261
262;2;NULL;262
263;2;NULL;263
264;2;NULL;264
265;2;NULL;265
266;2;NULL;266
267;2;NULL;267
268;2;NULL;268
269;2;NULL;269
270;2;NULL;270
271;2;NULL;271
272;2;NULL;272
273;2;NULL;273
274;2;NULL;274
275;2;NULL;275
276;2;NULL;276
277;2;NULL;277
278;2;NULL;278
279;2;NULL;279
280;2;NULL;280
281;2;NULL;281
282;2;NULL;282
283;2;NULL;283
284;2;NULL;284
285;2;NULL;285
286;2;NULL;286
287;2;NULL;287
288;2;NULL;288
289;2;NULL;289
290;2;NULL;290
291;2;NULL;291
292;2;NULL;292
293;2;NULL;293
294;2;NULL;294
295;2;NULL;295
296;2;NULL;296
297;2;NULL;297
298;2;NULL;298
299;2;NULL;299
300;2;NULL;300
301;2;NULL;301
302;2;NULL;302
303;2;NULL;303
304;2;NULL;304
305;2;NULL;305
306;2;NULL;306
307;2;NULL;307
308;2;NULL;308
309;2;NULL;309
310;2;NULL;310
311;2;NULL;311
312;2;NULL;312
313;2;NULL;313
314;2;NULL;314
315;2;NULL;315
316;2;NULL;316
317;2;NULL;317
318;2;NULL;318
319;2;NULL;319
320;2;NULL;320
321;2;NULL;321
322;2;NULL;322
323;2;NULL;323
324;2;NULL;324
325;2;NULL;325
326;2;NULL;326
327;2;NULL;327
328;2;NULL;328
329;2;NULL;329
330;2;NULL;330
331;2;NULL;331
332;2;NULL;332
333;2;NULL;333
334;2;NULL;334
335;2;NULL;335
336;2;NULL;336
337;2;NULL;337
338;2;NULL;338
339;2;NULL;339
340;2;NULL;340
341;2;NULL;341
342;2;NULL;342
343;2;NULL;343
344;2;NULL;344
345;2;NULL;345
346;2;NULL;346
347;2;NULL;347
348;2;NULL;348
349;2;NULL;349
350;2;NULL;350
351;2;NULL;351
352;2;NULL;352
353;2;NULL;353
354;2;NULL;354
355;2;NULL;355
356;2;NULL;356
357;2;NULL;357
358;2;NULL;358
359;2;NULL;359
360;2;NULL;360
361;2;NULL;361
362;2;NULL;362
363;2;NULL;363
364;2;NULL;364
365;2;NULL;365
366;2;NULL;366
367;2;NULL;367
368;2;NULL;368
369;2;NULL;369
370;2;NULL;370
371;2;NULL;371
372;2;NULL;372
373;2;NULL;373
374;2;NULL;374
375;2;NULL;375
376;2;NULL;376
377;2;NULL;377
378;2;NULL;378
379;2;NULL;379
380;2;NULL;380
381;2;NULL;381
382;2;NULL;382
383;2;NULL;383
384;2;NULL;384
385;2;NULL;385
386;2;NULL;386
387;2;NULL;387
388;2;NULL;388
389;2;NULL;389
390;2;NULL;390
391;2;NULL;391
392;2;NULL;392
393;2;NULL;393
394;2;NULL;394
395;2;NULL;395
396;2;NULL;396
397;2;NULL;397
398;2;NULL;398
399;2;NULL;399
400;2;NULL;400
401;2;NULL;401
402;2;NULL;402
403;2;NULL;403
404;2;NULL;404
405;2;NULL;405
406;2;NULL;406
407;2;NULL;407
408;2;NULL;408
409;2;NULL;409
410;2;NULL;410
411;2;NULL;411
412;2;NULL;412
413;2;NULL;413
414;2;NULL;414
415;2;NULL;415
416;2;NULL;416
417;2;NULL;417
418;2;NULL;418
419;2;NULL;419
420;2;NULL;420
421;2;NULL;421
422;2;NULL;422
423;2;NULL;423
424;2;NULL;424
425;2;NULL;425
426;2;NULL;426
427;2;NULL;427
428;2;NULL;428
429;2;NULL;429
430;2;NULL;430
431;2;NULL;431
432;2;NULL;432
433;2;NULL;433
434;2;NULL;434
435;2;NULL;435
436;2;NULL;436
437;2;NULL;437
438;2;NULL;438
439;2;NULL;439
440;2;NULL;440
441;2;NULL;441
442;2;NULL;442
443;2;NULL;443
444;2;NULL;444
445;2;NULL;445
446;2;NULL;446
447;2;NULL;447
448;2;NULL;448
449;2;NULL;449
450;2;NULL;450
451;2;NULL;451
452;2;NULL;452
453;2;NULL;453
454;2;NULL;454
455;2;NULL;455
456;2;NULL;456
457;2;NULL;457
458;2;NULL;458
459;2;NULL;459
460;2;NULL;460
461;2;NULL;461
462;2;NULL;462
463;2;NULL;463
464;2;NULL;464
465;2;NULL;465
466;2;NULL;466
467;2;NULL;467
468;2;NULL;468
469;2;NULL;469
470;2;NULL;470
471;2;NULL;471
472;2;NULL;472
473;2;NULL;473
474;2;NULL;474
475;2;NULL;475
476;2;NULL;476
477;2;NULL;477
478;2;NULL;478
479;2;NULL;479
480;2;NULL;480
481;2;NULL;481
482;2;NULL;482
483;2;NULL;483
484;2;NULL;484
485;2;NULL;485
486;2;NULL;486
487;2;NULL;487
488;2;NULL;488
489;2;NULL;489
490;2;NULL;490
491;2;NULL;491
492;2;NULL;492
493;2;NULL;493
494;2;NULL;494
495;2;NULL;495
496;2;NULL;496
497;2;NULL;497
498;2;NULL;498
499;2;NULL;499
500;2;NULL;500
501;2;NULL;501
502;2;NULL;502
503;2;NULL;503
504;2;NULL;504
505;2;NULL;505
506;2;NULL;506
507;2;NULL;507
508;2;NULL;508
509;2;NULL;509
510;2;NULL;510
511;2;NULL;511
512;2;NULL;512
513;2;NULL;513
514;2;NULL;514
515;2;NULL;515
516;2;NULL;516
517;2;NULL;517
518;2;NULL;518
519;2;NULL;519
520;2;NULL;520
521;2;NULL;521
522;2;NULL;522
523;2;NULL;523
524;2;NULL;524
525;2;NULL;525
526;2;NULL;526
527;2;NULL;527
528;2;NULL;528
529;2;NULL;529
530;2;NULL;530
531;2;NULL;531
532;2;NULL;532
533;2;NULL;533
534;2;NULL;534
535;2;NULL;535
536;2;NULL;536
537;2;NULL;537
538;2;NULL;538
539;2;NULL;539
540;2;NULL;540
541;2;NULL;541
542;2;NULL;542
543;2;NULL;543
544;2;NULL;544
545;2;NULL;545
546;2;NULL;546
547;2;NULL;547
548;2;NULL;548
549;2;NULL;549
550;2;NULL;550
551;2;NULL;551
552;2;NULL;552
553;2;NULL;553
554;2;NULL;554
555;2;NULL;555
556;2;NULL;556
557;2;NULL;557
558;2;NULL;558
559;2;NULL;559
560;2;NULL;560
561;2;NULL;561
562;2;NULL;562
563;2;NULL;563
564;2;NULL;564
565;2;NULL;565
566;2;NULL;566
567;2;NULL;567
568;2;NULL;568
569;2;NULL;569
570;2;NULL;570
571;2;NULL;571
572;2;NULL;572
573;2;NULL;573
574;2;NULL;574
575;2;NULL;575
576;2;NULL;576
577;2;NULL;577
578;2;NULL;578
579;2;NULL;579
580;2;NULL;580
581;2;NULL;581
582;2;NULL;582
583;2;NULL;583
584;2;NULL;584
585;2;NULL;585
586;2;NULL;586
587;2;NULL;587
588;2;NULL;588
589;2;NULL;589
590;2;NULL;590
591;2;NULL;591
592;2;NULL;592
593;2;NULL;593
594;2;NULL;594
595;2;NULL;595
596;2;NULL;596
597;2;NULL;597
598;2;NULL;598
599;2;NULL;599
600;2;NULL;600
601;2;NULL;601
602;2;NULL;602
603;2;NULL;603
604;2;NULL;604
605;2;NULL;605
606;2;NULL;606
607;2;NULL;607
608;2;NULL;608
609;2;NULL;609
610;2;NULL;610
611;2;NULL;611
612;2;NULL;612
613;2;NULL;613
614;2;NULL;614
615;2;NULL;615
616;2;NULL;616
617;2;NULL;617
618;2;NULL;618
619;2;NULL;619
620;2;NULL;620
621;2;NULL;621
622;2;NULL;622
623;2;NULL;623
624;2;NULL;624
625;2;NULL;625
626;2;NULL;626
627;2;NULL;627
628;2;NULL;628
629;2;NULL;629
630;2;NULL;630
631;2;NULL;631
632;2;NULL;632
633;2;NULL;633
634;2;NULL;634
635;2;NULL;635
636;2;NULL;636
637;2;NULL;637
638;2;NULL;638
639;2;NULL;639
640;2;NULL;640
641;2;NULL;641
642;2;NULL;642
643;2;NULL;643
644;2;NULL;644
645;2;NULL;645
646;2;NULL;646
647;2;NULL;647
648;2;NULL;648
649;2;NULL;649
650;2;NULL;650
651;2;NULL;651
652;2;NULL;652
653;2;NULL;653
654;2;NULL;654
655;2;NULL;655
656;2;NULL;656
657;2;NULL;657
658;2;NULL;658
659;2;NULL;659
660;2;NULL;660
661;2;NULL;661
662;2;NULL;662
663;2;NULL;663
664;2;NULL;664
665;2;NULL;665
666;2;NULL;666
667;2;NULL;667
668;2;NULL;668
669;2;NULL;669
670;2;NULL;670
671;2;NULL;671
672;2;NULL;672
673;2;NULL;673
674;2;NULL;674
675;2;NULL;675
676;2;NULL;676
677;2;NULL;677
678;2;NULL;678
679;2;NULL;679
680;2;NULL;680
681;2;NULL;681
682;2;NULL;682
683;2;NULL;683
684;2;NULL;684
685;2;NULL;685
686;2;NULL;686
687;2;NULL;687
688;2;NULL;688
689;2;NULL;689
690;2;NULL;690
691;2;NULL;691
692;2;NULL;692
693;2;NULL;693
694;2;NULL;694
695;2;NULL;695
696;2;NULL;696
697;2;NULL;697
698;2;NULL;698
699;2;NULL;699
700;2;NULL;700
701;2;NULL;701
702;2;NULL;702
703;2;NULL;703
704;2;NULL;704
705;2;NULL;705
706;2;NULL;706
707;2;NULL;707
708;2;NULL;708
709;2;NULL;709
710;2;NULL;710
711;2;NULL;711
712;2;NULL;712
713;2;NULL;713
714;2;NULL;714
715;2;NULL;715
716;2;NULL;716
717;2;NULL;717
718;2;NULL;718
719;2;NULL;719
720;2;NULL;720
721;2;NULL;721
722;2;NULL;722
723;2;NULL;723
724;2;NULL;724
725;2;NULL;725
726;2;NULL;726
727;2;NULL;727
728;2;NULL;728
729;2;NULL;729
730;2;NULL;730
731;2;NULL;731
732;2;NULL;732
733;2;NULL;733
734;2;NULL;734
735;2;NULL;735
736;2;NULL;736
737;2;NULL;737
738;2;NULL;738
739;2;NULL;739
740;2;NULL;740
741;2;NULL;741
742;2;NULL;742
743;2;NULL;743
