nID;sName;sGroup_Activiti;nID_SubjectOrgan
1;Test Department (_test_dnepr_mvd-1_auto);Test Group Activity;2
2;МРЕО,Киев,Петропавлівська Борщагівка, вул.Кільцева 4 (dnepr_mreo_1);demomreo;2
3;МРЕО,Киев,вул. Туполєва, 19 (kiev_mreo1_1);demomreo;2
4;МРЕО,Киев,вул. Велика кільцева дорога. 22-А (kiev_mreo2_1);demomreo;2
5;МРЕО,Киев,вул. Братиславська, 52 (kiev_mreо3_1);demomreo;2
6;МРЕО,Киев,вул. Столичне шосе, 104 (kiev_mreo4_1);demomreo;2
7;МРЕО,Киев,вул. Павла Усенка, 8 (kiev_mreo5_1);demomreo;2
8;МРЕО,Киев,вул. Новокостянтинівська, 8 (kiev_mreo6_1);demomreo;2
9;МРЕО,Киев,пров. Балтійський, 20 (kiev_mreo7_1);demomreo;2
10;МРЕО,Днепр пр.берег (dnepr_mreo_1);demomreo;2
11;ОВИР, Днепр, Поля 1 (dnepr_dms_passport);demoavir;2
12;МРЕО,Днепр л.берег (dnepr_mreo_1);demomreo;2
13;ДМС, Днепр, пр. Ильича, 3 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_bab;2
14;ДМС, Днепр, вул. Шевченко, 7 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_zhovt;2
15;ОДА, Тернополь (ternopol_oda_226);ternopil_oda_5;2
16;ДМС, Днепр, Ильича 3 (dnepr_dms_passport);demoavir;2
17;ДМС, Днепр, Аверина 57 (dnepr_dms_passport);demoavir;2
18;ДМС, Днепр, Красная 2-а (dnepr_dms_passport);demoavir;2
19;ДМС, Кривой Рог, Октябрьская 12-в (dnepr_dms_passport);demoavir;2
20;ДМС, Днепродзержинск, Коммунарная 10-а (dnepr_dms_passport);demoavir;2
21;ДМС, Никополь, Никитинская 5 (dnepr_dms_passport);demoavir;2
22;ДМС, Павлоград, Восстания 77-а (dnepr_dms_passport);demoavir;2
23;ДМС, Днепр, вул. Кожем’яки, 17 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_and;2
24;ДМС, Днепр, вул. Янтарна, 75-а (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_indust;2
25;ДМС, Днепр, вул. Плеханова, 34 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_kirov;2
26;ДМС, Днепр, вул. Робоча, 22а (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_krasn;2
27;ДМС, Днепр, вул. Аверіна, 57 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_lenin;2
28;ДМС, Днепр, вул. Космонавтів, 4 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_samar;2
