nID;sID_BP;sID_Place_UA;sID_Group_Referent;asID_Group_Export;sFormulaFilter_Export;sNote
1;common_mreo_10;Киев;MJU_Dnipro_Top1_Dep1_Exec10;NULL;NULL;NULL
2;DFS_F1301801;Львов;MJU_Dnipro_Top1_Dep1_Exec2;NULL;NULL;NULL
3;dnepr_soczah_163;Днепр;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
4;common_zags_divorce;Днепр;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
5;kuznetsovsk_mvk_2;Ровно;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
6;ternopol_oda_209;Полтава;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
7;ternopol_oda_226;Полтава;MJU_Dnipro_Top1_Dep1_Exec8;NULL;NULL;NULL
8;_doc_mriya_vacation;Тернопіль;Mriya_Top3_Exec1;NULL;NULL;NULL
9;_doc_justice_11;Днепр;justice_common;justice_common;NULL;NULL
10;_doc_justice_12;Днепр;justice_common;justice_common;NULL;NULL
11;_doc_justice_13;Днепр;justice_common;justice_common;NULL;NULL
12;_doc_justice_14;Днепр;justice_common;justice_common;NULL;NULL
13;_doc_justice_15;Днепр;justice_common;justice_common;NULL;NULL
14;_doc_justice_16;Днепр;justice_common;justice_common;NULL;NULL
15;_doc_justice_171;Днепр;justice_common;justice_common;NULL;NULL
16;_doc_justice_172;Днепр;justice_common;justice_common;NULL;NULL
17;_doc_justice_173;Днепр;justice_common;justice_common;NULL;NULL
18;_doc_justice_21;Днепр;justice_common;justice_common;NULL;NULL
19;_doc_justice_22;Днепр;justice_common;justice_common;NULL;NULL
20;_doc_justice_31;Днепр;justice_common;justice_common;NULL;NULL
21;_doc_justice_32;Днепр;justice_common;justice_common;NULL;NULL
22;_doc_justice_33;Днепр;justice_common;justice_common;NULL;NULL
23;_doc_justice_4;Днепр;justice_common;justice_common;NULL;NULL
24;_doc_justice_5;Днепр;justice_common;justice_common;NULL;NULL
25;_doc_justice_6;Днепр;justice_common;justice_common;NULL;NULL
26;_doc_justice_7;Днепр;justice_common;justice_common;NULL;NULL
27;_doc_justice_81;Днепр;justice_common;justice_common;NULL;NULL
28;_doc_justice_82;Днепр;justice_common;justice_common;NULL;NULL
29;_doc_justice_83;Днепр;justice_common;justice_common;NULL;NULL
30;_doc_system_task_justice_incoming;Днепр;justice_common;NULL;NULL;NULL
31;_doc_system_task_justice_setTasks;Днепр;justice_common;NULL;NULL;NULL
32;_doc_test_idoc;Днепр;justice_common;NULL;NULL;NULL
33;_doc_test_justice_incoming;Днепр;justice_common;NULL;NULL;NULL
34;_doc_test_justice_setTasks;Днепр;justice_common;NULL;NULL;NULL
35;_doc_mriya_vacation_testing;Тернопіль;Mriya_Top3_Exec1;NULL;NULL;NULL
36;_doc_mriya_vacation_testing;Тернопіль;Mriya_Top3_Exec2;NULL;NULL;NULL
37;_doc_mriya_vacation_testing;Тернопіль;Mriya_Top3_Exec3;NULL;NULL;NULL
38;loda_invest_1;Львів;loda_invest;NULL;NULL;NULL
39;loda_invest_2;Львів;loda_invest;NULL;NULL;NULL
40;_doc_test_justice_incoming;Днепр;MJU_Dnipro_Top2_Dep5;NULL;NULL;NULL
41;_doc_oe_premium;Украина;OE_Department_Exec1;NULL;NULL;NULL
42;_doc_velta_contract;Днепр;Velta_Head;NULL;NULL;NULL
43;chervonograd_cnap_301;Днепр;cnap_lviv_chervonogradT;NULL;NULL;NULL
44;_doc_test_velta_contract;Днепр;Velta_Head;NULL;NULL;NULL
45;_doc_cib_meeting_client;;CIB_Top1_Exec1;NULL;NULL;NULL
46;_doc_velta_sz;Днепр;Velta_Tech_Spec1;NULL;NULL;NULL
47;_doc_test_iGov_employ;Днепр;iGov_Ilchenko;NULL;NULL;NULL
48;_doc_mriya_vacation;Тернопіль;Mriya_Top3_Exec2;NULL;NULL;NULL
49;_doc_mriya_vacation;Тернопіль;Mriya_Top3_Exec3;NULL;NULL;NULL
50;_doc_btsol_dogovor;;btsol;NULL;NULL;NULL
51;_doc_mhp_agreementContract;;MHP_Depar_Spec1;NULL;NULL;NULL
52;_doc_mhp_agreementContract;;MHP_Depar_Spec2;NULL;NULL;NULL
53;_doc_tarifi_akordbank;;AkordBank_Ekonomist;NULL;NULL;NULL
54;_doc_btsol_tender2;;btsol;NULL;NULL;NULL
55;_doc_btsol_tender3;;btsol;NULL;NULL;NULL
56;_doc_btsol_sz;;btsol;NULL;NULL;NULL;NULL
57;_doc_test_service_iDoc;;btsol;NULL;NULL;NULL
58;_doc_btsol_meeting;;btsol;NULL;NULL;NULL
