nID;sID_BP;sID_UserTask;sCondition;soData;sPatternFile;nID_EscalationRuleFunction
1;berdichev_cnap_409;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['akylish88@gmail.com']};escalation/escalation_template.html;1
2;berdichev_cnap_409;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
3;berdichev_cnap_409;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:14, asRecipientMail:['akylish88@gmail.com']};escalation/escalation_template.html;1
4;berdichev_cnap_409;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:17, asRecipientMail:['']};escalation/escalation_template.html;1
5;berdichev_cnap_409;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3
6;berdichev_cnap_409;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:14};escalation/escalation_template.html;3

7;cnap_293;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5, asRecipientMail:['smoktii.igov@gmail.com']};escalation/escalation_template.html;1
8;cnap_293;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:7, asRecipientMail:['']};escalation/escalation_template.html;1
9;cnap_293;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:5};escalation/escalation_template.html;3

10;cnap_489;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3, asRecipientMail:['august_@i.ua']};escalation/escalation_template.html;1
11;cnap_489;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:5, asRecipientMail:['']};escalation/escalation_template.html;1
12;cnap_489;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:32, asRecipientMail:['august_@i.ua']};escalation/escalation_template.html;1
13;cnap_489;usertask2;nElapsedDays > nDaysLimit;{nDaysLimit:35, asRecipientMail:['']};escalation/escalation_template.html;1
14;cnap_489;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:3};escalation/escalation_template.html;3
15;cnap_489;usertask2;nElapsedDays >= nDaysLimit;{nDaysLimit:32};escalation/escalation_template.html;3

16;cnap_khmeln_546;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:10, asRecipientMail:['akylish88@gmail.com']};escalation/escalation_template.html;1
17;cnap_khmeln_546;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:13, asRecipientMail:['']};escalation/escalation_template.html;1
18;cnap_khmeln_546;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:10};escalation/escalation_template.html;3

19;common_mreo_10;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
20;common_mreo_10;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
21;common_mreo_10;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:-1};escalation/escalation_template.html;3

22;common_mreo_11;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
23;common_mreo_11;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
24;common_mreo_11;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:-1};escalation/escalation_template.html;3

25;common_mreo_12;usertask1;nElapsedDays >= nDaysLimit;{nDaysLimit:1, asRecipientMail:['pavel.kurbatskij@privatbank.ua']};escalation/escalation_template.html;1
26;common_mreo_12;usertask1;nElapsedDays > nDaysLimit;{nDaysLimit:2, asRecipientMail:['']};escalation/escalation_template.html;1
