nID;sName;sGroup_Activiti;nID_SubjectOrgan
1;Test Department (_test_dnepr_mvd-1_auto);Test Group Activity;2
2;МРЕО,Киев,Петропавлівська Борщагівка, вул.Кільцева 4 (common_mreo_1);demomreo;2
3;МРЕО,Киев,вул. Туполєва, 19 (common_mreo_1);demomreo;2
4;МРЕО,Киев,вул. Велика кільцева дорога. 22-А (common_mreo_1);demomreo;2
5;МРЕО,Киев,вул. Братиславська, 52 (common_mreo_1);demomreo;2
6;МРЕО,Киев,вул. Столичне шосе, 104 (common_mreo_1);demomreo;2
7;МРЕО,Киев,вул. Павла Усенка, 8 (common_mreo_1);demomreo;2
8;МРЕО,Киев,вул. Новокостянтинівська, 8 (common_mreo_1);demomreo;2
9;МРЕО,Киев,пров. Балтійський, 20 (common_mreo_1);demomreo;2
10;МРЕО,м.Дніпропетровськ узвіз Тольятті, 2 (common_mreo_1);demomreo;2
11;ОВИР, Днепр, Поля 1 (dms_0176_Zagran_iGov);demoavir;2
12;МРЕО,м.Дніпропетровськ вул. Маліновського, 130 (common_mreo_1);demomreo;2
13;ДМС, Днепр, пр. Ильича, 3 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_bab;2
14;ДМС, Днепр, вул. Шевченко, 7 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_zhovt;2
15;Регистрация Херсон (dnepr_dms-89);registration_khers_khersT;2
16;ДМС, Кривой Рог Ингулецкий, (dms_0176_Zagran_iGov);demoavir;2
17;ЦНАП, Косів (dnepr_dms-227);demoavir;2
18;ДМС, Днепр, Красная 2-а (dms_0176_Zagran_iGov);demoavir;2
19;ДМС, Кривой Рог, Октябрьская 12-в (dms_0176_Zagran_iGov);demoavir;2
20;ДМС, Днепродзержинск, Коммунарная 10-а (dms_0176_Zagran_iGov);demoavir;2
21;ДМС, Никополь, Никитинская 5 (dms_0176_Zagran_iGov);demoavir;2
22;ДМС, Павлоград, Восстания 77-а (dms_0176_Zagran_iGov);demoavir;2
23;ДМС, Днепр, вул. Кожем’яки, 17 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_and;2
24;ДМС, Днепр, вул. Янтарна, 75-а (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_indust;2
25;ДМС, Днепр, вул. Плеханова, 34 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_kirov;2
26;ДМС, Днепр, вул. Робоча, 22а (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_krasn;2
27;ДМС, Днепр, вул. Аверіна, 57 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_lenin;2
28;ДМС, Днепр, вул. Космонавтів, 4 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_samar;2
29;ДМС, ДнДз, вул. Беспалова, 2А (dnepr_dms-89Dn,dnepr_dms-89sDn);dnepr_dms_89_bagl;2
30;ДМС, ДнДз, пр. Перемоги, 63 (dnepr_dms-89Dn,dnepr_dms-89sDn);dnepr_dms_89_dnipro;2
31;ДМС, ДнДз, вул. Комунарна, 10а (dnepr_dms-89Dn,dnepr_dms-89sDn);dnepr_dms_89_zavod;2
32;ЦНАП, Вольногорск, вул. Варена, 15 (dnepr_dms-89Vln,dnepr_dms-89sVln);dnepr_dms_89_viln;2
33;МВК, Скадовск, вул. Гагарина, 63 (scadovsk_mvk-302);mvk_forma3_skadovsk;2
34;ЦНАП, ДнДз, пр. Комсомольський 10/12 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_dndzT;2
35;ЦНАП, Тернопільський район, вул. Кривоноса, 10 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_ternR;2
36;ЦНАП, смт Комінтернівське, вул. Центральна , 69 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_od_komint;2
37;ЦНАП, м. Хмельницький, вул. Соборна, 16 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_hmel_hmelT;2
38;ЦНАП, м. Житомир, вул. Л. Українки, 1 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_zhitomT;2
39;ЦНАП, м. Кременчук, вул. Леніна, 14/23 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_pol_krem;2
40;ЦНАП, м. Вишгород, пл. Шевченка, 1 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_kiev_vish;2
41;ЦНАП, м. Первомайський, пр. 40 років Перемоги, 1 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_khark_perv;2
42;ДМС, м.Миргород (dms_0176_Zagran_iGov);demoavir;2
43;ЦНАП Кобеляцької РДА, вул. Шевченка 15/27 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_polt_kobel;2
44;ЦНАП Богодухівської РДА,вул. Молодіжна, 2 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_khark_bogod;2
45;ЦНАП Балаклійської РДА,площа Ростовцева, 1 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_khark_balak;2
46;ЦНАП Новопсковської РДА,вул. Леніна, 53 (dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_lug_newpsc;2
47;ЦНАП м. Ромни, б-р Шевченка,2(dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_sum_romniТ;2
48;ЦНАП Чортківської РДА, м. Чортків, вул. Шевченка 23,(dnepr_dms-89,dnepr_dms-89s);dnepr_dms_89_tern_chort;2
