sID(1);DFS Name(2);DFS Address(3);WorkTime(4);phone(5)
1;Верхньоднiпровська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Вiльногiрське Вiддiлення);М.Вiльногiрськ, Б-Р Миру, 15;;Телефон для довідок:(05653)5-18-88
2;Днiпродзержинська ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Днiпродзержинськ, вул. Медична, 9;;Телефон для довідок:(05692)3-26-01
3;Верхньоднiпровська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Жовтоводське Вiддiлення);М.Жовтi Води, вул. Першотравнева, 24а;;Телефон для довідок:(05652)3-35-39
4;Нiкопольська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Марганецьке Вiддiлення);М.Марганець, вул. П.Тичини, 11;;Телефон для довідок:(05665)5-23-59
5;Нiкопольська ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Нiкополь, пр-т. Трубникiв, 27;;Телефон для довідок:(05662)2-22-00
6;Новомосковська ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Новомосковськ, вул. М.Головко, 30;;Телефон для довідок:(05693)7-70-92
7;Нiкопольська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Орджонiкiдзевське Вiддiлення);М.Орджонiкiдзе, вул. Горького, 7;;Телефон для довідок:(05667)4-32-66
8;Захiдно-Донбаська Одпi ГУ Мiндоходiв У Днiпропропетровськiй областi;М.Павлоград, вул. Верстатобудiвельникiв, 14-А;;Телефон для довідок:(05632)3-33-40
9;Схiдно-Днiпровська ОДПІ ГУ ДФС у Днiропетровськiй областi (Першотравенське Вiддiлення);М.Першотравенськ,вул. Шкiльна, 35;;Телефон для довідок:(05633)7-24-01
10;Днiпропетровська Одпi ГУ Мiндоходiв У Днiпропетровськiй областi (Синельникiвське Вiддiлення М.Синельникове);М.Синельниково, вул. Воїнiв-Iнтернацiоналiстiв, 2;;Телефон для довідок:(05663)4-39-33
11;Захiдно-Донбаська Одпi ГУ Мiндоходiв У Днiпропетровськiй областi (Тернiвське Вiддiлення);М.Тернiвка, вул. Петрова, 9;;Телефон для довідок:(05632)6-27-65
12;Криворiзька Пiвденна ОДПІ ГУ ДФС у Днiпропетровськiй областi (Апостолiвське Вiддiлення);М.Апостолове, вул. Ленiна, 63;;Телефон для довідок:(05656)9-51-36
13;Схiдно-Днiпровська ОДПІ ГУ ДФС у Днiропетровськiй областi;Смт.Василькiвка, вул. Партизанська, 150;;Телефон для довідок:(05639)9-22-39
14;Верхньоднiпровська ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Верхньоднiпровськ, Пл. Щербицького, 2;;Телефон для довідок:(05658)3-19-65
15;Днiпропетровська Одпi ГУ Мiндоходiв У Днiпропетровськiй областi;Смт.Ювiлейне, вул. Теплична, 13;;Телефон для довідок:(056)374-93-60
16;Криворiзька Пiвнiчна ОДПІ ГУ ДФС у Днiпропетровськiй областi (Криворiзьке Вiддiлення);М.Кривий Рiг, вул. Кобилянського, 148 A;;Телефон для довідок:(0564)26-28-15
17;Верхньоднiпровська ОДПІ ГУ ДФС у Днiпропетровськiй областi(Криничанське Вiддiлення);Смт.Кринички, вул. Нагiрна, 2;;Телефон для довідок:(05654)2-13-88
18;Новомосковська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Магдалинiвське Вiддiлення);Смт.Магдалинiвка, вул. Радянська, 44;;Телефон для довідок:(05691)2-86-53
19;Схiдно-Днiпровська ОДПІ ГУ ДФС у Днiропетровськiй областi (Межiвське Вiддiлення);Смт.Межова, вул. Фрунзе, 1;;Телефон для довідок:(05630)6-04-35
20;Схiдно-Днiпровська ОДПІ ГУ ДФС у Днiропетровськiй областi (Петропавлiвське Вiддiлення);Смт.Петропавлiвка, вул. Радянська, 62;;Телефон для довідок:(05631)3-02-96
21;Днiпродзержинська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Петрикiвське Вiддiлення);Смт.Петрикiвка, вул. Ленiна, 38;;Телефон для довідок:(05634)2-49-43
22;Схiдно-Днiпровська ОДПІ ГУ ДФС у Днiропетровськiй областi (Покровське Вiддiлення);Смт.Покровське, вул. 40 Рокiв Жовтня, 13;;Телефон для довідок:(05638)2-24-59
23;Верхньоднiпровська ОДПІ ГУ ДФС у Днiпропетровськiй областi(П'ятихатське Вiддiлення);М.П'ятихатки, вул. Шевченка, 116;;Телефон для довідок:(05651)3-04-49
24;Днiпропетровська Одпi ГУ Мiндоходiв У Днiпропетровськiй областi (Солонянське Вiддiлення);Смт.Солоне, вул. Гагарiна, 12а;;Телефон для довідок:(05669)2-32-39
25;Криворiзька Центральна ОДПІ ГУ ДФС у Днiпропетровськiй областi (Софiївське Вiддiлення);Смт.Софiївка, вул. Мелiоративна, 3;;Телефон для довідок:(05650)2-80-89
26;Днiпродзержинська ОДПІ ГУ ДФС у Днiпропетровськiй областi (Царичанське Вiддiлення);Смт.Царичанка, вул. 14-Ї Гв.Дивiзiї, 8;;Телефон для довідок:(05690)3-17-28
27;Криворiзька Пiвденна ОДПІ ГУ ДФС у Днiпропетровськiй областi (Широкiвське Вiддiлення);Смт.Широке, вул. К.Маркса 1а;;Телефон для довідок:(05657)2-14-38
28;Захiдно-Донбаська Одпi ГУ Мiндоходiв У Днiпропетровськiй областi (Юр'ївське Вiддiлення);С.Варварiвка,вул.Пристанцiйна,1;;Телефон для довідок:(05632)6-45-92
29;Дпi В Амур-Нижньоднiпровському Районi М.Днiпропетровська ГУ Дфс у Днiропетровськiй областi;М.Днiпропетровськ,Пров. Унiверсальний ,12;;Телефон для довідок:(056)760-72-45
30;ДПІ у Бабушкiнському Районi М.Днiпропетровська ГУ Дфс У Днiпропетровськiй областi;М.Днiпропетровськ, вул. Героїв Сталiнграда, 25;;Телефон для довідок:(0562)36-62-40
31;ДПІ у Жовтневому Районi М.Днiпропетровська ГУ Дфс У Днiпропетровськiй областi;М.Днiпропетровськ, вул. Високовольтна, 24;;Телефон для довідок:(056)776-71-60
32;Лiвобережна Одпi М.Днiпропетровська ГУ Дфс У Днiпропетровськiй областi;М.Днiпропетровськ, пр-т.Газети Правда, 95а;;Телефон для довідок:(056)725-55-39
33;ДПІ у Кiровському Районi М.Днiпропетровська ГУ Дфс У Днiпропетровськiй областi;М.Днiпропетровськ, вул. Горького, 22;;Телефон для довідок:(056(2))374-70-61
34;ДПІ у Красногвардiйському Районi М.Днiпропетровська ГУ Дфс У Днiпропетровськiй областi;М.Днiпропетровськ, вул.Театральна, Буд.1-А;;Телефон для довідок:(562)34-28-70
35;ДПІ у Ленiнському Районi М.Днiпропетровська ГУ Дфс У Днiпропетровськiй областi;М.Днiпропетровськ, вул. Шаумяна, 5;;Телефон для довідок:(056)370-25-88
36;Криворiзька Центральна ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Кривий Рiг, пр-т. Дзержинського, 42;;Телефон для довідок:(0564)404-06-77
37;Криворiзька Пiвденна ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Кривий Рiг, пр-т. Металургiв, 16;;Телефон для довідок:(0564)92-81-12
38;Криворiзька Пiвнiчна ОДПІ ГУ ДФС у Днiпропетровськiй областi;М.Кривий Рiг, вул. Кремлiвська, 4;;Телефон для довідок:(0564)66-47-25
39;Томаківське Відділення Нікопольської ОДПІ ГУ ДФС у Дніпропетровській області;Смт. Томаківка, вул. Леніна, 41;;Телефон для довідок:(05668) 2-21-01
