sID(1);DMS_Name(2);DMS_Type(3);DMS_Address(4);phone(5);rekvGosposh(6);NKabReg(7);NKabPasp(8);NkabFot(9)
1;Амур-Нижньодніпровський РВ у м. Дніпропетровську;підрозділу ДМС;м.Дніпропетровськ, вул. Кожем’яки, 17;+38 (050) 134-27-68;Одержувач: УДКСУ Амур-Нижньодніпровського р-ну м. Дніпропетровська, Банк ГУ ДКСУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989300, Р/р 31417538700003, код платежу 22090400;каб №6;каб №6;каб №6
2;Бабушкінський РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, пр. П.Орлика (пр. Ілліча) 3;+38 (050) 500-93-03;Одержувач: УДКСУ у Бабушкінському районі м. Дніпропетровська, Банк УДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989274, Р/р 31416538700004, код платежу 22090400;каб №4;каб №4;каб №4
3;Жовтневий РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, вул. Шевченко, 7;46-65-96;Одержувач: УДКСУ у :Жовтневому районі м. Дніпропетровська, Банк УДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989269, Р/р 31415538700005, код платежу 22090400;каб №2;каб №6;каб №1
4;Індустріальний РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, вул. Янтарна, 75-а;724-01-08;Одержувач: відділення ДержКазначейства у Індустріальному районі м. Дніпропетровськ, Банк ГУДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989295, Р/р 31414538700006, код платежу 22090400;каб №4;каб №4;каб №4
5;Кіровський РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, вул. Князя Володимира Великого (вул. Плеханова), 34;778-19-96;Одержувач: Місцевий бюджет Кіровського району 22090400 код 37989316, Банк ГУДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989316, Р/р 31413538700007, код платежу 22090400;каб №8;каб №6A;каб №6
6;Красногвардійський РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, вул. Робоча, 22а;Тел;Одержувач: Казначейство Красногвардійського району м. Дніпропетровська, Банк ГУДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989253, Р/р 31412538700008, код платежу 22090400;каб №1;каб №1;каб №1
7;Ленінський РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, вул. Курінна (вул. Аверіна), 57;Тел;Одержувач: Управління Казначейства м. Дніпропетровська, Банк ГУДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989248, Р/р 31411538700009, код платежу 22090400;каб №1;каб №1;каб №7
8;Самарський РВ у м. Дніпропетровську;підрозділу ДМС;м. Дніпропетровськ, вул. Космонавтів, 4;728-00-58;Одержувач: Управління ДержКазначейства в Індустріальному районі м. Дніпропетровськ, Банк ГУДКУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 37989295, Р/р 31411538700010, код платежу 22090400;каб №3;каб №3;каб №3
9;Баглійський РВ у м. Дніпродзержинську;підрозділу ДМС;м. Дніпродзержинськ, вул. Беспалова, 2А;(05692) 7-24-90;Одержувач: УДК в м. Дніпропетровськ, Банк ГУ ДКСУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 38028588, Р/р 31418538700013, код платежу 22090100;каб №5;каб №5;каб №5
10;Дніпровський РВ у м. Дніпродзержинську;підрозділу ДМС;м. Дніпродзержинськ, пр. Перемоги, 63;+38 (096) 447-47-73;Одержувач: УДК в м. Дніпропетровськ, Банк ГУ ДКСУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 38028588, Р/р 31418538700013, код платежу 22090100;каб №109;каб №109;каб №109
11;Заводський РВ у м. Дніпродзержинську;підрозділу ДМС;м. Дніпродзержинськ, вул. Комунарна, 10а;Тел;Одержувач: УДК в м. Дніпропетровськ, Банк ГУ ДКСУ у Дніпропетровській обл., МФО 805012, Код ЄДРПОУ 38028588, Р/р 31418538700013, код платежу 22090100;каб №7;каб №7;каб №7
12;ЦНАП Вільногірської міськради;ЦНАП;м. Вільногірськ, вул. Варена, 15;(05653) 5-15-14, (05653) 5-15-86, (05653) 5-28-03;Одержувач: Місцевий бюджет м. Вільногірськ, МФО 805012, Код ЄДРПОУ 37996805, Р/р 31419538700012, код платежу 22090400;адміністратора;адміністратора;адміністратора
13;ЦНАП Дніпродзержинської міськради;ЦНАП;м.Дніпродзержинськ, пр. Комсомольський 10/12;(05692) 26150, (05692) 27303; реквізити;адміністратора;адміністратора;адміністратора
14;ЦНАП Тернопільської РДА;ЦНАП;м. Тернопіль, вул. Кривоноса, 10;(0352) 43-24-62; реквізити;адміністратора;адміністратора;адміністратора
15;ЦНАП Комінтернівської РДА;ЦНАП;смт. Комінтернівське, вул.Центральна ,буд. 69;(04855) 9-17-82; (04855) 9-84-48; реквізити;адміністратора;адміністратора;адміністратора
16;ЦНАП Теплицької РДА;ЦНАП;смт. Теплик, вул. Незалежності, 7;(04353) 2-19-09; реквізити;адміністратора;адміністратора;адміністратора
17;ЦНАП Житомирської РДА;ЦНАП;м. Житомир, вул. Л. Українки, 1;(04142) 5-01-46; реквізити;адміністратора;адміністратора;адміністратора
18;ЦНАП Кременчуцької РДА;ЦНАП;м. Кременчук, вул. Леніна, 14/23;(05366) 2 04 81; реквізити;адміністратора;адміністратора;адміністратора
19;ЦНАП м. Первомайський;ЦНАП;м.Первомайський, пр. 40 років Перемоги, 1;(05748) 3-41-03;Отримувач: ГУ ДКУ в Харкіській області , Код банку отримувача: 851011, Код ЄДРПОУ 37327442, Р/р 31411538700019, код платежу 22090400;каб. № 14;адміністратора;адміністратора
20;ЦНАП Вишгородської РДА;ЦНАП;м. Вишгород, пл. Шевченка, 1;(04596)227-02, 239-02;Отримувач: ГУДКСУ в Київській області, Код банку отримувача: 821018, Код ЄДРПОУ 37868556, Р/р 31410538700244, код платежу 22090400;адміністратора;адміністратора;адміністратора
21;Червоноградський МС ДМС;ДМС;м. Червоноград, вул. Володимира Івасюка, 12;(03249) 36 117;реквізити;№Х;№Х;№Х 
22;ЦНАП Кобеляцької РДА;ЦНАП;м. Кобеляки, вул. Шевченка 15/27;телефон;Отримувач: УДКС у Кобеляцькому районі, Код банку отримувача: 831019, Код ЕДРПОУ: 38012473, Р/р 31419538700161, код платежу 22090400;адміністратора;адміністратора;адміністратора
23;ЦНАП Богодухівської РДА;ЦНАП;м. Богодухів, вул. Молодіжна, 2;телефон;реквізити;адміністратора;адміністратора;адміністратора
24;ЦНАП Балаклійської РДА;ЦНАП;м. Балаклія, площа Ростовцева, 1;телефон;реквізити;адміністратора;адміністратора;адміністратора
25;ЦНАП Новопсковської РДА;ЦНАП;смт Новопсков, вул. Леніна, 53;(06463) 2-19-46;реквізити;адміністратора;адміністратора;адміністратора
26;ЦНАП м. Ромни;ЦНАП;м. Ромни, б-р Шевченка,2;(05448)2-14-85;Код банку отримувача: 837013, Код ЕДРПОУ: 37929744, Р/р 31411538700011, код платежу 22090400;адміністратора;адміністратора;адміністратора
27;ЦНАП Чортківської РДА;ЦНАП;м. Чортків, вул. Шевченка 23;(03552) 2-17-09;Одержувач: УК у Чортківському  р-ні, м. Чортків 22090400 Код отримувача: 23588160 Банк  отримувача: УДКСУ у Тернопільській області Код  банку отримувача: 838012 р/р 31415538700555;адміністратора;адміністратора;адміністратора
28;ЦНАП м. Жовті Води;ЦНАП;м. Жовті Води, бульв. Свободи, 33;(05652) 24737,(05652) 23285;реквізити;адміністратора;адміністратора;адміністратора
29;ЦНАП Лисянської РДА;ЦНАП;смт. Лисянка, пл. Миру, 27;(04749) 62060;Отримувач: УК у Лисянському районі, Банк: ГУ ДКСУ у Черкаській області МФО: 854018, Р/р 31410538700266, Код ЄДРПОУ 36777814, код платежу 22090100;адміністратора;адміністратора;адміністратора

