sID;PaymentData1;PaymentData2;PaymentData3;Sum11;Sum12;Sum21;Sum22;Sum23;Sum24
1;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31415538700005<br/ >ЄДРПОУ: 37989269<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1201, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1201, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
2;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700004<br/ >ЄДРПОУ: 37989274<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1211, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1211, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
3;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700009<br/ >ЄДРПОУ: 37989248<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1216, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1216, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
4;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700004<br/ >ЄДРПОУ: 37989274<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1202, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1202, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
5;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31416538700026<br/ >ЄДРПОУ: 38032222<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1224, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1224, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
6;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31418538700013<br/ >ЄДРПОУ: 38028588<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1222, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1222, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
7;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31413538700029<br/ >ЄДРПОУ: 38033121<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1234, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1234, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
8;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1237, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1237, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
9;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1210, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1210, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
10;Отримувач: ГУ ДКСУ України в Дніпропетровській області<br/ >Р/р: 31411538700032<br/ >ЄДРПОУ: 37936856<br/ >МФО: 805012 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: *, 101, 22090400, державне мито, пов’язане з видачею та оформленням закордонних паспортів;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1212, 547513, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон, що не містить безконт. ел. носій;Отримувач:  ГУ ДМС України в Дніпропетровській області<br/ >Р/р: 37114078079427<br/ >ЄДРПОУ: 37806243<br/ >МФО: 820172 в ГУДКСУ у Дніпропетровській області<br/ >Призначення платежу: 1212, 547713, кількість послуг - 1, оформлення та видача паспорта громадянина України для виїзду за кордон з безконт. ел. носієм; 170 грн; 340 грн; 325.47 грн; 391.47 грн; 412.62 грн; 478.62 грн
