sID;Name;Address;WorkTime;phone;mail
1;Управління праці та соціального захисту населення Амур-Нижньодніпровського району;49000, Дніпропетровськ, вулиця Радистів, 8;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 375-90-64, (056) 376-52-03; 
2;Управління праці та соціального захисту населення Бабушкінського району;49000, Дніпропетровськ, вулиця Героїв Сталинграду, 116-А;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 763-05-79; 
3;Управління праці та соціального захисту населення Жовтневого району;49000, Дніпропетровськ, пр-т Героїв, 40;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0562) 68-25-88; 
4;Управління праці та соціального захисту населення Індустріального району;49000, Дніпропетровськ, вулиця Косіора, 55;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 760-24-98, (056) 725-47-71; 
5;Управління праці та соціального захисту населення Кіровського району;49000, Дніпропетровськ, вулиця Свердлова, 30/32;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 745-14-24; 
6;Управління праці та соціального захисту населення Красногвардійського району;49000, Дніпропетровськ, вулиця Уральська, 5;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 373-68-64; 
7;Управління праці та соціального захисту населення Ленінського району;49000, Дніпропетровськ, вулиця Трудова, 1-А;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 775-55-86;
8;Управління праці та соціального захисту населення Самарського району;49000, Дніпропетровськ, вулиця 20-річчя Перемоги, 51;Режим роботи з 8.00 до 17.00;Телефон для довідок: (056) 728-77-06;
9;Управління праці та соціального захисту населення Баглійського району м.Дніпродзержинськ;м.Дніпродзержинськ, вул. Беспалова, 3;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0569) 53-98-84;
10;Управління праці та соціального захисту населення Дніпровського району м.Дніпродзержинськ;м.Дніпродзержинськ, пр-т Перемоги, 45;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05692) 6-70-55;
11;Управління праці та соціального захисту населення Заводського району м.Дніпродзержинськ;м.Дніпродзержинськ, пр-т Леніна, 2/1;Режим роботи з 8.00 до 17.00;Телефон для довідок: (05692) 3-26-88;
12;Управління праці та соціального захисту населення Дзержинського району м.Кривий Ріг;м.Кривий Ріг, пр. Металургів, 16;Режим роботи з 8.00 до 17.00;Телефон для довідок: (0564) 92-81-40, (0564) 92-84-86;
