nID_SubjectOrganJoin;sName;sValue
1078;sFilial;ВОЛИНСЬКА;
1078;Address;Волинська обл., м. Луцьк, вул.Винниченка, 11;
1078;WorkTime;_workTime_;
1078;MFO;303440;
1078;Bill;26001060316317;
1078;BillOKPO;36277731;
1078;Employee_mail;Employee_mail;
1078;PaySum_Days1;1 день (96 грн.);
1078;PaySum_Days2;3 дні (84 грн.);
1078;PaySum_Days3;5 днів (60грн.);
1078;PaySum_Days4;10 днів (42 грн.);
1078;PaySum_Days5;20 днів (24 грн.);
1078;PaySum;=[price_700000000]=1?[PaySum_Days1]:[price_700000000]=2?[PaySum_Days2]:[price_700000000]=3?[PaySum_Days3]:[price_700000000]=4?[PaySum_Days4]:[price_700000000]=5?[PaySum_Days5]

1079;sFilial;ЖИТОМИРСЬКА;
1079;Address;м. Житомир, вул. Черхняховського, 20;
1079;WorkTime;_workTime_;
1079;MFO;311744;
1079;Bill;26001055911572;
1079;BillOKPO;36277747;
1079;Employee_mail;Employee_mail;
1079;PaySum_Days1;1 день (170 грн.);
1079;PaySum_Days2;3-4 дні (150 грн.);
1079;PaySum_Days3;5 днів (120 грн.);
1079;PaySum_Days4;7 днів (100 грн.);
1079;PaySum_Days5;8-10 днів (70 грн.);
1079;PaySum_Days6;11-15 днів (50 грн.);
1079;PaySum;=[price_1800000000]=1?[PaySum_Days1]:[price_1800000000]=2?[PaySum_Days2]:[price_1800000000]=3?[PaySum_Days3]:[price_1800000000]=4?[PaySum_Days4]:[price_1800000000]=5?[PaySum_Days5]:[price_1800000000]=6?[PaySum_Days6]

1098;sFilial;ЖИТОМИРСЬКА;
1098;Address;м. Житомир, пров. Львівський , 4;
1098;WorkTime;_workTime_;
1098;MFO;311744;
1098;Bill;26001055911572;
1098;BillOKPO;36277747;
1098;Employee_mail;Employee_mail;
1098;PaySum_Days1;1 день (170 грн.);
1098;PaySum_Days2;3-4 дні (150 грн.);
1098;PaySum_Days3;5 днів (120 грн.);
1098;PaySum_Days4;7 днів (100 грн.);
1098;PaySum_Days5;8-10 днів (70 грн.);
1098;PaySum_Days6;11-15 днів (50 грн.);
1098;PaySum;=[price_1800000000]=1?[PaySum_Days1]:[price_1800000000]=2?[PaySum_Days2]:[price_1800000000]=3?[PaySum_Days3]:[price_1800000000]=4?[PaySum_Days4]:[price_1800000000]=5?[PaySum_Days5]:[price_1800000000]=6?[PaySum_Days6]

1099;sFilial;ЖИТОМИРСЬКА;
1099;Address;Житомирська обл., м. Новоград-Волинський, вул. Шевченка, 15 ;
1099;WorkTime;_workTime_;
1099;MFO;311744;
1099;Bill;26001055911572;
1099;BillOKPO;36277747;
1099;Employee_mail;Employee_mail;
1099;PaySum_Days1;1 день (170 грн.);
1099;PaySum_Days2;3-4 дні (150 грн.);
1099;PaySum_Days3;5 днів (120 грн.);
1099;PaySum_Days4;7 днів (100 грн.);
1099;PaySum_Days5;8-10 днів (70 грн.);
1099;PaySum_Days6;11-15 днів (50 грн.);
1099;PaySum;=[price_1800000000]=1?[PaySum_Days1]:[price_1800000000]=2?[PaySum_Days2]:[price_1800000000]=3?[PaySum_Days3]:[price_1800000000]=4?[PaySum_Days4]:[price_1800000000]=5?[PaySum_Days5]:[price_1800000000]=6?[PaySum_Days6]

1100;sFilial;ЖИТОМИРСЬКА;
1100;Address;Житомирська обл., м. Бердичів, вул. Героїв України, 67 ;
1100;WorkTime;_workTime_;
1100;MFO;311744;
1100;Bill;26001055911572;
1100;BillOKPO;36277747;
