sID_Public_SubjectOrganJoin;sFilial;Address;WorkTime;MFO;Bill;BillOKPO
700000000_1;ВОЛИНСЬКА;Волинська обл., м. Луцьк, вул.Винниченка, 11;_workTime_;303440;26001060316317;36277731

1800000000_1;ЖИТОМИРСЬКА;м. Житомир, вул. Черхняховського, 20;_workTime_;311744;26001055911572;36277747
1800000000_2;ЖИТОМИРСЬКА;м. Житомир, пров. Львівський , 4;_workTime_;311744;26001055911572;36277747
1800000000_3;ЖИТОМИРСЬКА;Житомирська обл., м. Новоград-Волинський, вул. Шевченка, 15 ;_workTime_;311744;26001055911572;36277747
1800000000_4;ЖИТОМИРСЬКА;Житомирська обл., м. Бердичів, вул. Героїв України, 67 ;_workTime_;311744;26001055911572;36277747

2300000000_1;ЗАПОРІЗЬКА;м. Запоріжжя, вул. Гагаріна, 2а  ;_workTime_;380838;26005799972877;36408070
2300000000_2;ЗАПОРІЗЬКА;м. Запоріжжя, вул. Перемоги, 131 в  ;_workTime_;380838;26005799972877;36408070
2300000000_3;ЗАПОРІЗЬКА;Запорізька обл., м. Бердянськ, вул. Свободи, 52 а ;_workTime_;380838;26005799972877;36408070
2300000000_4;ЗАПОРІЗЬКА;Запорізька обл., м. Токмак, вул. Карла  Лібкнехта, 101/2 ;_workTime_;380838;26005799972877;36408070

2600000000_1;ІВАНО-ФРАНКІВСЬКА;м. Івано-Франківськ, вул. Коновальця, 46 ;_workTime_;325365;2600602252313;36321057

3500000000_1;КІРОВОГРАДСЬКА;м. Кіровоград, вул. Гоголя, 86 а ;_workTime_;351005;26005541140401;39492426

4400000000_1;ЛУГАНСЬКА;Луганська обл., м. Сєвєродонецьк, вул.Партизанська, 12 ;_workTime_;380805;26001479326;36320053

4800000000_1;МИКОЛАЇВСЬКА;м. Миколаїв, вул. Декабристів, 4/1  ;_workTime_;320478;2600702302955;40022721
4800000000_2;МИКОЛАЇВСЬКА;м. Миколаїв, вул. Лагерне поле, 5 ;_workTime_;320478;2600702302955;40022721

5100000000_1;ОДЕСЬКА;м. Одеса, вул. Жуковського, 38 ;_workTime_;328704;26002054317916;36320074
5100000000_2;ОДЕСЬКА;м. Одеса, вул. Гайдара, 34. ;_workTime_;328704;26002054317916;36320074

5300000000_1;ПОЛТАВСЬКА;м. Полтава, вул. Червоноармійська, б.3, к.206.  ;_workTime_;300346;26005014280101;39636847
5300000000_2;ПОЛТАВСЬКА;Полтавська обл., м. Кременчук, вул.Шевченка, 17/8, к.7. ;_workTime_;300346;26005014280101;39636847

5600000000_1;РІВНЕНСЬКА;м. Рівне, вул. Кавказька, 2, к.7 ;_workTime_;333391;26003054714504;39492468

5900000000_1;СУМСЬКА;м. Суми, вул. Герасима Кондратьєва, 25 ;_workTime_;320478;260012205844;36320100

6100000000_1;ТЕРНОПІЛЬСЬКА;м. Тернопіль, вул. Руська, 21 ;_workTime_;380805;26005705984919;36320116

6300000000_1;ХАРКІВСЬКА;м. Харків, вул. Мироносицька, 4  ;_workTime_;351533;260070602899698;36320121
6300000000_2;ХАРКІВСЬКА;м. Харків, вул. Раднаркомівська, 13  ;_workTime_;351533;260070602899698;36320121
6300000000_3;ХАРКІВСЬКА;Харківська обл., м. Лозова, вул. Володарського, 15  ;_workTime_;351533;260070602899698;36320121
6300000000_4;ХАРКІВСЬКА;Харківська обл., м. Красноград, вул. Полтавська, 85 ;_workTime_;351533;260070602899698;36320121

6500000000_1;ХЕРСОНСЬКА;м. Херсон, вул. Кірова, 4 ;_workTime_;320478; 26003302955 / 2600702302955 / 2600803302955;36320137

6800000000_1;ХМЕЛЬНИЦЬКА;м. Хмельницький, вул. Зарічанська, 7 ;_workTime_;300175;26007000339610;36320142

7100000000_1;ЧЕРКАСЬКА;м. Черкаси, вул. Пастерівська, 104 ;_workTime_;320478;26007261650;39590183

7300000000_1;ЧЕРНІВЕЦЬКА;м. Чернівці, вул. П.Целана, 6 ;_workTime_;300023;26005000255802;36320158

7400000000_1;ЧЕРНІГІВСЬКА;м. Чернігів, вул. Шевченка, 13 ;_workTime_;300023;26007011497248;39492494

1200000000_1;ДНІПРОПЕТРОВСЬКА;м.Кривий Ріг, вул.Жовтнева, 12-в  ;_workTime_; ; ; 
1200000000_2;ДНІПРОПЕТРОВСЬКА;м.Кривий Ріг, вул.Леоніда Бородича, 17/14  ;_workTime_; ; ; 
1200000000_3;ДНІПРОПЕТРОВСЬКА;м.Дніпродзержинськ, вул.Аношкіна, 7/42  ;_workTime_; ; ; 
1200000000_4;ДНІПРОПЕТРОВСЬКА;м.Нікополь, вул.Никитинаская, 5  ;_workTime_; ; ; 
1200000000_5;ДНІПРОПЕТРОВСЬКА;м.Дніпропетровськ, вул.Ворошилова, 21-а  ;_workTime_; ; ; 
1200000000_6;ДНІПРОПЕТРОВСЬКА;м.Дніпропетровськ, вул.Леніна, 15-б ;_workTime_; ; ; 

2100000000_1;ЗАКАРПАТСЬКА;м. Ужгород, вул. Гойди 8;_workTime_;312248;26008015000561;36277752
