nID;sID_UA;sName_UA;sName_EN;sID_Currency
1;004;Афґані;Afghani;AFA
2;008;Лек;Lek;ALL
3;012;Алжирський динар;Algerian Dinar;DZD
4;020;Андоррська песета;Andorran Peseta;ADP
5;031;Азербайджанський манат;Azerbaijanian Manat;AZM
6;032;Аргентинський песо;Argentine Peso;ARS
7;036;Австралійський долар;Australian Dollar;AUD
8;040;Шилінг;Schilling;ATS
9;044;Багамський долар;Bahamian Dollar;BSD
10;048;Бахрейнський динар;Bahraini Dinar;BHD
11;050;Така;Taka;BDT
12;051;Вірменський драм;Armenian Dram;AMD
13;052;Барбадоський долар;Barbados Dollar;BBD
14;056;Бельґійський франк;Belgian Franc;BEF
15;060;Бермудський долар;Bermudian Dollar (Bermuda Dollar);BMD
16;064;Нгултрум;Ngultrum;BTN
17;068;Болівіано;Boliviano;BOB
18;072;Пула;Pula;BWP
19;084;Белізький долар;Belize Dollar;BZD
20;090;Долар Соломонових островів;Solomon Islands Dollar;SBD
21;096;Брунейський долар;Brunei Dollar;BND
22;100;Лев;Lev;BGL
23;104;К'ят;Kyat;MMK
24;108;Бурундійський франк;Burundi Franc;BIF
25;116;Ріел;Riel;KHR
26;124;Канадський долар;Canadian Dollar;CAD
27;132;Ескудо Кабо-Верде;Cape Verde Escudo;CVE
28;136;Долар Кайманових островів;Cayman Islands Dollar;KYD
29;144;Рупія Шрі-Ланки;Sri Lanka Rupee;LKR
30;152;Чілійський песо;Chilean Peso;CLP
31;156;Юань Женьміньбі;Yuan Renminbi;CNY
32;170;Колумбійський песо;Colombian Peso;COP
33;174;Коморський франк;Comoro Franc;KMF
34;188;Костариканський колон;Costa Rican Colon;CRC
35;191;Хорватська куна;Croatian Kuna;HRK
36;192;Кубинський песо;Cuban Peso;CUP
37;196;Кіпрський фунт;Cyprus Pound;CYP
38;203;Чеська крона;Czech Koruna;CZK
39;208;Датська крона;Danish Krone;DKK
40;214;Домініканський песо;Dominican Peso;DOP
41;222;Сальвадорський колон;El Salvador Colon;SVC
42;230;Ефіопський бір;Ethiopian Birr;ETB
43;232;Накфа;Nakfa;ERN
44;233;Крона;Kroon;EEK
45;238;Фунт Фолклендських островів;Falkland Islands Pound;FKP
46;242;Фіджійський долар;Fiji Dollar;FJD
47;246;Марка;Markka;FIM
48;250;Французький франк;French Franc;FRF
49;262;Джібутійський франк;Djibouti Franc;DJF
50;270;Даласі;Dalasi;GMD
51;276;Німецька марка;Deutsche Mark;DEM
52;288;Седі;Cedi;GHC
53;292;Ґібралтарський фунт;Gibraltar Pound;GIP
54;300;Драхма;Drachma;GRD
55;320;Кветзал;Quetzal;GTQ
56;324;Ґвінейський франк;Guinea Franc;GNF
57;328;Ґайанський долар;Guyana Dollar;GYD
58;332;Гурд;Gourde;HTG
59;340;Лемпіра;Lempira;HNL
60;344;Долар Гонконгу;Hong Kong Dollar;HKD
61;348;Форинт;Forint;HUF
62;352;Ісландська крона;Iceland Krona;ISK
63;356;Індійська рупія;Indian Rupee;INR
64;360;Рупія;Rupiah;IDR
65;364;Іранський ріал;Iranian Rial;IRR
66;368;Іракський динар;Iraqi Dinar;IQD
67;372;Ірландський фунт;Irish Pound;IEP
68;376;Новий ізраїльський шекель;New Israeli Shegel;ILS
69;380;Італійська ліра;Italian Lira;ITL
70;388;Ямайський долар;Jamaican Dollar;JMD
71;392;Єна;Yen;JPY
72;398;Тенге;Tenge;KZT
73;400;Йорданський динар;Jordanian Dinar;JOD
74;404;Кенійський шилінг;Kenyan Shilling;KES
75;408;Північно-корейський вон;North Korean Won;KPW
76;410;Вон;Won;KRW
77;414;Кувейтський динар;Kuwaiti Dinar;KWD
78;417;Сом;Som;KGS
79;418;Кіп;Kip;LAK
80;422;Ліванський фунт;Lebanese Pound;LBP
81;426;Лоті;Loti;LSL
82;428;Латвійський лат;Latvian Lats;LVL
83;430;Ліберійський долар;Liberian Dollar;LRD
84;434;Лівійський динар;Libyan Dinar;LYD
85;440;Литовський літ;Lithuanian Litus;LTL
86;442;Люксембурґський франк;Luxembourg Franc;LUF
87;446;Патака;Pataca;MOP
88;450;Малаґасійський франк;Malagasy Franc;MGF
89;454;Квача (Малавi);Kwacha (Malawi);MWK
90;458;Малайзійський рінгіт;Malaysian Ringgit;MYR
