nID;nID_Subject;nID_HistoryEventType;sEventName_Custom;sMessage;sDate;nID_HistoryEvent_Service;nID_Document
1;3;0;Заявка подана;Заявка подана успешно;2015-07-04 12:09:56.235;null;null
2;3;1;Заявка не подана;Заявка подана неуспешно;2015-07-04 12:10:56.235;null;null
3;3;2;Заявка принята;Заявка принята успешно;2015-07-04 12:11:56.235;null;null
4;4;3;Заявка принята2;Заявка принята успешно2;2015-07-04 12:12:56.235;null;null
5;5;4;ССылка на заявку;Сссылка на заявку работает;2015-07-04 12:13:56.235;null;null
6;5;5;Доступ к заявке;Доступ к заявке работает;2015-07-04 12:14:56.235;null;null
7;5;6;Новая заявка;Новая заявка создана;2015-07-04 12:15:56.235;null;null
8;8;4;ССылка на заявку_23;Сссылка на заявку работает_23;2015-07-04 12:16:56.235;null;null
9;9;5;Доступ к заявке_23;Доступ к заявке работает_23;2015-07-04 12:17:56.235;null;null
10;10;6;Новая заявка_23;Новая заявка создана_23;2015-07-04 12:18:56.235;null;null
11;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:18:56.235;null;null
12;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:18:56.235;2;7
13;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:19:56.235;null;null
14;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:19:56.235;2;1
15;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:20:56.235;null;null
16;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:21:56.235;2;1
17;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:20:56.235;2;1
18;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:28:56.235;1;7
19;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:18:56.235;null;null
20;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:29:56.235;1;7
21;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:38:56.235;null;null
22;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:32:56.235;1;7
23;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:34:56.235;1;7
24;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:34:56.235;1;null
25;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:36:56.235;1;null
26;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:35:56.235;1;null
27;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:44:56.235;null;7
28;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:34:56.235;null;7
29;10;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:47:56.235;null;7
30;11;6;Новая заявка_11;Новая заявка создана_11;2015-07-04 12:47:56.235;null;7
