nID;sID_UA;sName_UA;sMeasure_UA
1;0101;Коні, віслюки, мули та лошаки, живі:;-
2;0101 10;Коні, віслюки, мули та лошаки, живі:  чистопородні племінні тварини:;-
3;0101 10 10 00;Коні, віслюки, мули та лошаки, живі:  чистопородні племінні тварини:  коні;-
4;0101 10 90 00;Коні, віслюки, мули та лошаки, живі:  чистопородні племінні тварини:  інші;-
5;0101 90;Коні, віслюки, мули та лошаки, живі:  інші:;-
6;0101 90 11 00;Коні, віслюки, мули та лошаки, живі:  інші:  коні:  для забою;-
7;0101 90 19 00;Коні, віслюки, мули та лошаки, живі:  інші:  коні:  інші;-
8;0101 90 30 00;Коні, віслюки, мули та лошаки, живі:  інші:  віслюки;-
9;0101 90 90 00;Коні, віслюки, мули та лошаки, живі:  інші:  мули та лошаки;-
10;0102;Велика рогата худоба, жива:;-
11;0102 10;Велика рогата худоба, жива:  чистопородні племінні тварини:;-
12;0102 10 10 00;Велика рогата худоба, жива:  чистопородні племінні тварини:  нетелі (самки великої рогатої худоби до першого отелення);-
13;0102 10 30 00;Велика рогата худоба, жива:  чистопородні племінні тварини:  корови;-
14;0102 10 90 00;Велика рогата худоба, жива:  чистопородні племінні тварини:  інші;-
15;0102 90;Велика рогата худоба, жива:  інші:;-
16;0102 90 05 00;Велика рогата худоба, жива:  інші:  свійські види:  масою не більш як 80 кг;-
17;0102 90 21 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 80 кг, але не більш як 160 кг:  для забою;-
18;0102 90 29 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 80 кг, але не більш як 160 кг:  інші;-
19;0102 90 41 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 160 кг, але не більш як 300 кг:  для забою;-
20;0102 90 49 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 160 кг, але не більш як 300 кг:  інші;-
21;0102 90 51 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 300 кг:  нетелі (самки великої рогатої худоби до першого отелення):  для забою;-
22;0102 90 59 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 300 кг:  нетелі (самки великої рогатої худоби до першого отелення):  інші;-
23;0102 90 61 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 300 кг:  корови:  для забою;-
24;0102 90 69 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 300 кг:  корови:  інші;-
25;0102 90 71 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 300 кг:  інші:  для забою;-
26;0102 90 79 00;Велика рогата худоба, жива:  інші:  свійські види:  масою понад 300 кг:  інші:  інші;-
27;0102 90 90 00;Велика рогата худоба, жива:  інші:  інші;-
28;0103;Свині, живі:;-
29;0103 10 00 00;Свині, живі:  чистопородні племінні тварини;-
30;0103 91;Свині, живі:  інші:  масою менше як 50 кг:;-
31;0103 91 10 00;Свині, живі:  інші:  масою менше як 50 кг:  свійські види;-
32;0103 91 90 00;Свині, живі:  інші:  масою менше як 50 кг:  інші;-
33;0103 92;Свині, живі:  інші:  масою 50 кг або більше:;-
34;0103 92 11 00;Свині, живі:  інші:  масою 50 кг або більше:  свійські види:  свиноматки масою не менш як 160 кг, що опоросилися принаймні один раз;-
35;0103 92 19 00;Свині, живі:  інші:  масою 50 кг або більше:  свійські види:  інші;-
36;0103 92 90 00;Свині, живі:  інші:  масою 50 кг або більше:  інші;-
37;0104;Вівці та кози, живі:;-
38;0104 10;Вівці та кози, живі:  вівці:;-
39;0104 10 10 00;Вівці та кози, живі:  вівці:  чистопородні племінні тварини;-
40;0104 10 30 00;Вівці та кози, живі:  вівці:  інші:  ягнята (віком до одного року);-
41;0104 10 80 00;Вівці та кози, живі:  вівці:  інші:  інші;-
42;0104 20;Вівці та кози, живі:  кози:;-
43;0104 20 10 00;Вівці та кози, живі:  кози:  чистопородні племінні тварини;-
44;0104 20 90 00;Вівці та кози, живі:  кози:  інші;-
45;0105;Свійська птиця, тобто кури свійські (Gallus domesticus), качки, гуси, індики та цесарки, живі:;-
46;0105 11;Свійська птиця, тобто кури свійські (Gallus domesticus), качки, гуси, індики та цесарки, живі:  масою не більш як 185 г:  кури свійські (Gallus domesticus):;-
