nID;sID_UA;sName_UA
1;01.01;Для ведення товарного сільськогосподарського виробництва
2;01.02;Для ведення фермерського господарства
3;01.03;Для ведення особистого селянського господарства
4;01.04;Для ведення підсобного сільського господарства
5;01.05;Для індивідуального садівництва
6;01.06;Для колективного садівництва
7;01.07;Для городництва
8;01.08;Для сінокосіння і випасання худоби
9;01.09;Для дослідних і навчальних цілей
10;01.10;Для пропаганди передового досвіду ведення сільського господарства
11;01.11;Для надання послуг у сільському господарстві
12;01.12;Для розміщення інфраструктури оптових ринків сільськогосподарської продукції
13;01.13;Для іншого сільськогосподарського призначення
14;01.14;Для цілей підрозділів 01.01-01.13 та для збереження та використання земель природно-заповідного фонду
15;02.01;Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)
16;02.02;Для колективного житлового будівництва
17;02.03;Для будівництва і обслуговування багатоквартирного житлового будинку
18;02.04;Для будівництва і обслуговування будівель тимчасового проживання
19;02.05;Для будівництва індивідуальних гаражів
20;02.06;Для колективного гаражного будівництва
21;02.07;Для іншої житлової забудови
22;02.08;Для цілей підрозділів 02.01-02.07 та для збереження та використання земель природно-заповідного фонду
23;03.01;Для будівництва та обслуговування будівель органів державної влади та місцевого самоврядування
24;03.02;Для будівництва та обслуговування будівель закладів освіти
25;03.03;Для будівництва та обслуговування будівель закладів охорони здоров'я та соціальної допомоги
26;03.04;Для будівництва та обслуговування будівель громадських та релігійних організацій
27;03.05;Для будівництва та обслуговування будівель закладів культурно-просвітницького обслуговування
28;03.06;Для будівництва та обслуговування будівель екстериторіальних організацій та органів
29;03.07;Для будівництва та обслуговування будівель торгівлі
30;03.08;Для будівництва та обслуговування об'єктів туристичної інфраструктури та закладів громадського харчування
31;03.09;Для будівництва та обслуговування будівель кредитно-фінансових установ
32;03.10;Для будівництва та обслуговування будівель ринкової інфраструктури
33;03.11;Для будівництва та обслуговування будівель і споруд закладів науки
34;03.12;Для будівництва та обслуговування будівель закладів комунального обслуговування
35;03.13;Для будівництва та обслуговування будівель закладів побутового обслуговування
36;03.14;Для розміщення та постійної діяльності органів МНС
37;03.15;Для будівництва та обслуговування інших будівель громадської забудови
38;03.16;Для цілей підрозділів 03.01-03.15 та для збереження та використання земель природно-заповідного фонду
39;04.01;Для збереження та використання біосферних заповідників
40;04.02;Для збереження та використання природних заповідників
41;04.03;Для збереження та використання національних природних парків
42;04.04;Для збереження та використання ботанічних садів
43;04.05;Для збереження та використання зоологічних парків
44;04.06;Для збереження та використання дендрологічних парків
45;04.07;Для збереження та використання парків-пам'яток садово-паркового мистецтва
46;04.08;Для збереження та використання заказників
47;04.09;Для збереження та використання заповідних урочищ
48;04.10;Для збереження та використання пам'яток природи
49;04.11;Для збереження та використання регіональних ландшафтних парків
50;05.00;Землі іншого природоохоронного призначення (земельні ділянки, в межах яких є природні об'єкти, що мають особливу наукову цінність, та які надаються для збереження і використання цих об'єктів, проведення наукових досліджень, освітньої та виховної роботи)
51;06.01;Для будівництва і обслуговування санаторно-оздоровчих закладів
52;06.02;Для розробки родовищ природних лікувальних ресурсів
53;06.03;Для інших оздоровчих цілей
54;06.04;Для цілей підрозділів 06.01-06.03 та для збереження та використання земель природно-заповідного фонду
55;07.01;Для будівництва та обслуговування об'єктів рекреаційного призначення
56;07.02;Для будівництва та обслуговування об'єктів фізичної культури і спорту
57;07.03;Для індивідуального дачного будівництва
58;07.04;Для колективного дачного будівництва
59;07.05;Для цілей підрозділів 07.01-07.04 та для збереження та використання земель природно-заповідного фонду
60;08.01;Для забезпечення охорони об'єктів культурної спадщини
61;08.02;Для розміщення та обслуговування музейних закладів
62;08.03;Для іншого історико-культурного призначення
63;08.04;Для цілей підрозділів 08.01-08.03 та для збереження та використання земель природно-заповідного фонду
64;09.01;Для ведення лісового господарства і пов'язаних з ним послуг
65;09.02;Для іншого лісогосподарського призначення
66;09.03;Для цілей підрозділів 09.01-09.02 та для збереження та використання земель природно-заповідного фонду
67;10.01;Для експлуатації та догляду за водними об'єктами
68;10.02;Для облаштування та догляду за прибережними захисними смугами
69;10.03;Для експлуатації та догляду за смугами відведення
70;10.04;Для експлуатації та догляду за гідротехнічними, іншими водогосподарськими спорудами і каналами
71;10.05;Для догляду за береговими смугами водних шляхів
72;10.06;Для сінокосіння
