nID;sID;sName_UA;nID_PlaceType
1;100000000;АВТОНОМНА РЕСПУБЛІКА КРИМ/М.СІМФЕРОПОЛЬ;1
2;110000000;МІСТА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ;3
3;110100000;СІМФЕРОПОЛЬ;3
4;110130000;РАЙОНИ М.СІМФЕРОПОЛЯ;2
5;110136300;район ЗАЛІЗНИЧНИЙ;2
6;110136600;район КИЇВСЬКИЙ;2
7;110136900;район ЦЕНТРАЛЬНИЙ;2
8;110165000;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЗАЛІЗНИЧНІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ;3
9;110165300;смт. АЕРОФЛОТСЬКИЙ;4
10;110165600;смт. ГРЕСІВСЬКИЙ;4
11;110165601;селище БІТУМНЕ;5
12;110165800;смт. КОМСОМОЛЬСЬКЕ;4
13;110166000;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ КИЇВСЬКІЙ РАЙРАДІ М.СІМФЕРОПОЛЯ;3
14;110166200;смт. АГРАРНЕ;4
15;110300000;місто АЛУШТА;3
16;110345000;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ;3
17;110345400;смт. ПАРТЕНІТ;4
18;110390000;СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АЛУШТИНСЬКІЙ МІСЬКРАДІ;4
19;110390900;ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ;5
20;110390901;село ІЗОБІЛЬНЕ;5
21;110390903;село ВЕРХНЯ КУТУЗОВКА;5
22;110390905;село НИЖНЯ КУТУЗОВКА;5
23;110390907;селище РОЗОВИЙ;5
24;110391400;ЛУЧИСТІВСЬКА/С.ЛУЧИСТЕ;5
25;110391401;село ЛУЧИСТЕ;5
26;110391403;селище ЛАВАНДА;5
27;110391405;селище СЕМИДВІР'Я;5
28;110391800;МАЛОМАЯЦЬКА/С.МАЛИЙ МАЯК;5
29;110391801;село МАЛИЙ МАЯК;5
30;110391802;селище БОНДАРЕНКОВЕ;5
31;110391803;село ВИНОГРАДНИЙ;5
32;110391805;село ЗАПРУДНЕ;5
33;110391807;село КИПАРИСНЕ;5
34;110391809;село ЛАВРОВЕ;5
35;110391811;село ЛАЗУРНЕ;5
36;110391813;село НИЖНЄ ЗАПРУДНЕ;5
37;110391815;село ПУШКІНЕ;5
38;110391817;селище УТЬОС;5
39;110391818;селище ЧАЙКА;5
40;110392100;МАЛОРІЧЕНСЬКА/С.МАЛОРІЧЕНСЬКЕ;5
41;110392101;село МАЛОРІЧЕНСЬКЕ;5
42;110392103;село ГЕНЕРАЛЬСЬКЕ;5
43;110392105;село РИБАЧЕ;5
44;110392107;село СОНЯЧНОГІРСЬКЕ;5
45;110393000;ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ;5
46;110393001;село ПРИВІТНЕ;5
47;110393002;село ЗЕЛЕНОГІР'Я;5
48;110600000;місто ДЖАНКОЙ;3
49;110900000;місто ЄВПАТОРІЯ;3
50;110945000;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ЄВПАТОРІЙСЬКІЙ МІСЬКРАДІ;3
51;110945300;смт. ЗАОЗЕРНЕ;4
52;110945600;смт. МИРНИЙ;4
53;110945800;смт. НОВООЗЕРНЕ;4
54;111200000;місто КЕРЧ;3
55;111300000;місто КРАСНОПЕРЕКОПСЬК;3
56;111400000;місто САКИ;3
57;111500000;місто АРМЯНСЬК;3
58;111590000;СІЛЬРАДИ, ПІДПОРЯДКОВАНІ АРМЯНСЬКІЙ МІСЬКРАДІ;4
59;111590100;СУВОРОВСЬКА/С.СУВОРОВЕ;5
60;111590101;село СУВОРОВЕ;5
61;111590102;село ВОЛОШИНЕ;5
62;111590103;село ПЕРЕКОП;5
63;111600000;місто ФЕОДОСІЯ;3
64;111645000;СЕЛИЩА МІСЬКОГО ТИПУ, ПІДПОРЯДКОВАНІ ФЕОДОСІЙСЬКІЙ МІСЬКРАДІ;3
65;111645200;смт. КУРОРТНЕ;4
66;111645400;смт. ОРДЖОНІКІДЗЕ;4
67;111645700;смт. КОКТЕБЕЛЬ;4
68;111645701;село НАНІКОВЕ;5
69;111646000;смт. ПРИМОРСЬКИЙ;4
70;111646500;смт. ЩЕБЕТОВКА;4
