nID;sName;bArea;bRoot;sNote
0;АР Крим;TRUE;TRUE;Автономна Республіка Крим
1;Область;TRUE;TRUE;Область
6;Місто;FALSE;TRUE;Місто, що має спеціальний статус
3;Місто;FALSE;FALSE;Місто обласного підпорядкування
2;Район;TRUE;FALSE;Район Автономної Республіки Крим, області
8;Район;TRUE;FALSE;Район у місті, що має спеціальний статус
9;Місто;FALSE;FALSE;Місто районного підпорядкування
7;Район;TRUE;FALSE;Район у місті обласного підпорядкування
4;СМТ;FALSE;FALSE;Селище міського типу
10;Сільрада;FALSE;FALSE;Сільська рада
5;Село;FALSE;FALSE;Село
11;Селище;FALSE;FALSE;Селище
