nID;sName;nID_PlaceType;sID_UA;sNameOriginal
1;Дніпро (Дніпропетровськ);3;1210100000;
2;Кривий Ріг;3;1211000000;
3;Львів;3;4610100000;
4;Івано-Франківськ;3;2610100000;
5;Калуш;3;2610400000;
6;Київ;6;8000000000;
7;Херсон;3;6510100000;
8;Вараш (Кузнецовськ);3;5610700000;
9;Луцьк;3;710100000;
10;Тернопіль;3;6110100000;
11;Харків;3;6310100000;
12;Одеса;3;5110100000;
13;Донецьк;3;1410100000;
14;Запоріжжя;3;2310100000;
15;Миколаїв;3;4810100000;
16;Маріуполь;3;1412300000;
17;Луганськ;3;4410100000;
18;Макіївка;3;1413500000;
19;Вінниця;3;510100000;
20;Сімферополь;3;110100000;
21;Полтава;3;5310100000;
22;Чернігів;3;7410100000;
23;Черкаси;3;7110100000;
24;Суми;3;5910100000;
25;Горлівка;3;1410600000;
26;Хмельницький;3;6810100000;
27;Житомир;3;1810100000;
28;Кам’янське (Дніпродзержинськ);3;1210400000;
29;Кропивницький (Кіровоград);3;3510100000;
30;Рівне;3;5610100000;
31;Чернівці;3;7310100000;
32;Кременчук;3;5310400000;
33;Біла Церква;3;3210300000;
34;Краматорськ;3;1412900000;
35;Мелітополь;3;2310700000;
36;Керч;3;111200000;
37;Нікополь;3;1211600000;
38;Слов'янськ;3;1414100000;
39;Бердянськ;3;2310400000;
40;Сєвєродонецьк;3;4412900000;
41;Алчевськ;3;4411200000;
42;Павлоград;3;1212400000;
43;Ужгород;3;2110100000;
44;Лисичанськ;3;4411800000;
45;Євпаторія;3;110900000;
46;Єнакієве;3;1412000000;
47;Кам'янець-Подільський;3;6810400000;
48;Костянтинівка;3;1412600000;
49;Хрустальний (Красний Луч);3;4411600000;
50;Олександрія;8;3520300000;
51;Конотоп;3;5910400000;
52;Кадіївка (Стаханов);3;4413100000;
53;Умань;3;7110800000;
54;Бердичів;3;1810400000;
55;Шостка;3;5911000000;
56;Бровари;3;3210600000;
57;Ізмаїл;3;5110600000;
58;Бахмут (Артемівськ);3;1410300000;
59;Мукачеве;3;2110400000;
60;Ялта;3;111900000;
61;Дрогобич;3;4610600000;
62;Ніжин;3;7410400000;
63;Феодосія;3;111600000;
64;Довжанськ (Свердловськ);3;4412700000;
65;Новомосковськ;3;1211900000;
66;Чистякове (Торез);3;1414700000;
67;Червоноград;3;4611800000;
68;Первомайськ;3;4412100000;
69;Сміла;3;7110500000;
70;Покровськ (Красноармійськ);3;1413200000;
71;Коростень;3;1810700000;
72;Ковель;3;710400000;
73;Рубіжне;3;4412500000;
74;Прилуки;3;7410700000;
75;Дружківка;3;1411700000;
76;Харцизьк;3;1415000000;
77;Лозова;3;6311000000;
78;Антрацит;3;4410300000;
79;Стрий;3;4611200000;
80;Коломия;3;2610600000;
81;Шахтарськ;3;1415300000;
82;Сніжне;3;1414400000;
83;Новоград-Волинський;3;1811000000;
84;Енергодар;3;2312500000;
85;Ізюм;3;6310400000;
86;Мирноград (Димитров);3;1411300000;
87;Брянка;3;4410500000;
88;Чорноморськ (Іллічівськ);3;5110800000;
89;Бориспіль;3;3210500000;
90;Нововолинськ;3;710700000;
91;Ровеньки;3;4412300000;
92;Жовті Води;3;1210700000;
93;Лубни;3;5310700000;
94;Нова Каховка;3;6510700000;
95;Фастів;3;3211200000;
96;Білгород-Дністровський;3;5110300000;
97;Горішні Плавні (Комсомольськ);3;5310200000;
98;Сорокине (Краснодон);3;4411400000;
99;Ромни;3;5910700000;
100;Охтирка;3;5910200000;
101;Світловодськ;3;3510900000;
102;Марганець;3;1211300000;
103;Шепетівка;3;6810700000;
104;Покров (Орджонікідзе);3;1212100000;
105;Торецьк (Дзержинськ);3;1411200000;
106;Джанкой;3;110600000;
107;Первомайськ;3;4810400000;
108;Миргород;3;5310900000;
109;Вознесенськ;3;4810200000;
110;Подільськ (Котовськ);3;5111200000;
111;Ірпінь;3;3210900000;
112;Васильків;3;3210700000;
113;Дубно;3;5610300000;
114;Володимир-Волинський;3;710200000;
115;Каховка;3;6510400000;
116;Южноукраїнськ;3;4810800000;
117;Борислав;3;4610300000;
118;Ясинувата;3;1415500000;
119;Жмеринка;3;510300000;
120;Авдіївка;3;1410200000;
121;Чугуїв;3;6312000000;
122;Самбір;3;4610900000;
123;Токмак;3;2311000000;
124;Боярка;9;3222410300;
125;Глухів;3;5910300000;
126;Добропілля;3;1411500000;
127;Старокостянтинів;3;6810800000;
128;Голубівка (Кіровськ);4;1423055700;
129;Вишневе;9;3222410600;
130;Нетішин;3;6810500000;
131;Славута;3;6810600000;
132;Могилів-Подільський;3;510400000;
133;Обухів;3;3211600000;
134;Первомайський;3;6311500000;
135;Куп'янськ;3;6310700000;
136;Балаклія;9;6320210100;
137;Синельникове;3;1213000000;
138;Переяслав-Хмельницький;3;3211000000;
139;Алушта;3;110300000;
140;Трускавець;3;4611500000;
141;Яни Капу (Красноперекопськ);3;111300000;
142;Хрестівка (Кіровське);4;121655100;
143;Костопіль;9;5623410100;
144;Дебальцеве;3;1410900000;
145;Перевальськ;9;4423610100;
146;Саки;3;111400000;
147;Знам'янка;3;3510600000;
148;Тернівка;3;1213500000;
149;Першотравенськ;3;1212600000;
150;Хуст;3;2110800000;
151;Чортків;3;6110300000;
152;Лебедин;3;5910500000;
153;Золотоноша;3;7110400000;
154;Буча;3;3210800000;
155;Новий Розділ;3;4610800000;
156;Лиман (Красний Лиман);3;1413300000;
157;Сарни;9;5625410100;
158;Малин;3;1810900000;
159;Хмільник;3;510900000;
160;Бахчисарай;9;120410100;
161;Селидове;3;1413800000;
162;Берегове;3;2110200000;
163;Канів;3;7110300000;
164;Козятин;3;510500000;
165;Новояворівськ;9;4625810500;
166;Коростишів;9;1822510100;
167;Попасна;9;4423810100;
168;Виноградів;9;2121210100;
169;Гайсин;9;520810100;
170;Молодогвардійськ;9;4411470400;
171;Кролевець;9;5922610100;
172;Мерефа;9;6325110700;
173;Волноваха;9;1421510100;
174;Здолбунів;9;5622610100;
175;Кремінна;9;4421610100;
176;Славутич;3;3211500000;
177;Докучаєвськ;3;1411600000;
178;Люботин;3;6311200000;
179;Олешки (Цюрупинськ);9;6525010100;
180;Южне;3;5111700000;
181;Армянськ;3;111500000;
182;Вільногірськ;3;1210200000;
183;Яготин;9;3225510100;
184;Суходільськ;9;4411470700;
185;Золочів;4;6322655100;
186;Тростянець;9;5925010100;
187;Броди;9;4620310100;
188;Полонне;9;6823610100;
189;Вишгород;9;3221810100;
190;Гадяч;3;5310300000;
191;Красноград;9;6323310100;
192;Кілія;9;5122310100;
193;Старобільськ;9;4425110100;
194;Ладижин;3;510600000;
195;Пологи;9;2324210100;
196;Амвросіївка;9;1420610100;
197;Кременець;3;6110700000;
198;Генічеськ;9;6522110100;
199;Сокаль;9;4624810100;
200;Курахове;9;1423310600;
201;Дніпрорудне;9;2320910400;
202;Волочиськ;9;6820910100;
203;Надвірна;9;2624010100;
204;Долина;9;2622010100;
205;Стебник;9;4610670500;
206;Вовчанськ;9;6321610100;
207;Красилів;9;6822710100;
208;П'ятихатки;9;1224510100;
209;Рені;9;5124110100;
210;Бахмач;9;7420310100;
211;Дергачі;9;6322010100;
212;Ватутіне;3;7110200000;
213;Калинівка;9;521610100;
214;Балта;3;5110200000;
215;Звенигородка;9;7121210100;
