nID;sName;nOrder;nID_Subcategory;sInfo;sFAQ;sLaw;nOpenedLimit;sSubjectOperatorName
1;Надання довідки про притягнення до кримінальної відповідальності, відсутність (наявність) судимості або обмежень, передбачених кримінально-процесуальним законодавством України;1;3;[*];;;0;Міністерство внутрішніх справ
2;Видача картки обліку об’єкта торговельного призначення, сфери послуг та з виробництва продуктів харчування;100;7;;;;0;Місцеві органи влади
3;_test_ved;100;23;;;;0;Тестова служба
4;Видача копій, витягів з розпоряджень міського (селищного, районного) голови, рішень, прийнятих міською (селищною, районною) радою та виконавчим комітетом;3;2;[*];;;0;Місцеві органи влади
5;Надання дозволу на використання місцевої символіки (герба міста, назви чи зображення архітектурних, історичних пам’яток);100;11;[*];;;0;Місцеві органи влади
6;Надання обмежень на використання садибної земельної ділянки;100;1;;;;0;Місцеві органи влади
7;Дозвіл на рекламний носій ;100;7;;;;0;Місцеві органи влади
8;Надання статусу та видача (заміна) посвідчення «Ветеран праці»;100;22;[*];;[*];0;Управління праці та соціального захисту населення
9;Надання довідки про перебування на обліку бажаючих отримати земельну ділянку під індивідуальне будівництво;100;1;;;;0;Місцеві органи влади
10;Надання витягу з технічної документації про нормативну грошову оцінку земельної ділянки;100;1;;;;0;Державна служба з питань геодезії, картографії та кадастру
11;Звернення до голови РДА;5;2;[*];;;0;Місцеві органи влади
12;Присвоєння поштових адрес об'єктам нерухомості (нежитлові приміщення);100;7;;;;0;Місцеві органи влади
13;Організація ринку, ярмарку;100;19;[*];;;0;Місцеві органи влади
14;Видача завірених копій документів;100;16;;;;0;Державна фіскальна служба
15;Отримання дозволу на розміщення зовнішньої реклами;100;7;[*];;;0;Місцеві органи влади
16;Отримання дозволу на МАФ;100;7;;;;0;Місцеві органи влади
17;Взяття на облік громадян, які потребують поліпшення житлових умов;100;1;[*];;;0;Місцеві органи влади
18;Взяття на соціальний квартирний облік;100;1;;;;0;Місцеві органи влади
19;Надання дозволу на переоформлення договору найму жилого приміщення державного / комунального житлового фонду;100;1;[*];;;0;Місцеві органи влади
20;Реєстрація громадського об’єднання;100;6;[*];;;0;Міністерство юстиції
21;Отримання інформації про призначення субсидії на оплату житлово-комунальних послуг;100;22;[*];;;0;Місцеві органи влади
22;Заява про підтвердження фактів народження, шлюбу, розірвання шлюбу, смерті;100;2;;;;0;Обласна державна адміністрація
23;Надання довідок незайнятому населенню про відсутність земельних ділянок для ведення ОСГ;100;1;[*];;;0;Місцеві органи влади - Виконавчий комітет
24;Видача довідки про реєстрацію місця проживання/перебування особи;100;4;;;;0;Місцеві органи влади
25;Вклеювання до паспорта громадянина фотокартки при досягненні 25- і 45-річного віку;9;4;[*];;;0;Державна міграційна служба
26;Зняття з реєстрації місця проживання особи;4;4;[*];;;0;Органи місцевого самоврядування
27;Дозвіл на розроблення проекту землеустрою щодо відведення земельної ділянки;100;1;[*];;;0;Місцеві органи влади
28;Оформлення та видача паспорта громадянина України по досягненні 16-річного віку;8;4;[*];;;0;Державна міграційна служба
