nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
1;1;2;2;NULL;1;{};https://null.igov.org.ua;true;1;true;Перейдя на этот сайт Вы сможете получить услугу;BankID,EDS,KK;0
2;1;50002;NULL;2;3;;https://lviv.igov.org.ua;true;1;true;;BankID,EDS;0
3;2;1;1;NULL;4;{"processDefinitionId":"CivilCardAccountlRequest:4:12564"};;false;1;true;;BankID,EDS,KK;0
4;659;115;115;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_2:1:1"};;false;212;false;;BankID,EDS;0
5;160;50009;NULL;9;4;{"processDefinitionId":"dnepr_cnap_267:1:1"};;false;284;false;;BankID,EDS;0
6;628;50006;NULL;6;4;{"processDefinitionId":"ternopil_obl_284:1:1"};;false;231;true;;BankID,EDS;0
7;6;4;4;NULL;4;{"processDefinitionId":"ivFrank_mvk_2:4:12566"};;false;1;true;;BankID,EDS;0
8;160;50001;NULL;1;4;{"processDefinitionId":"dnepr_cnap_267:1:1"};;false;284;false;;BankID,EDS;0
9;4;71;71;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;225;true;;BankID,EDS;0
10;4;143;143;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;212;false;;BankID,EDS;0
11;99;102;102;NULL;4;{"processDefinitionId":"dnepr_cnap_231:1:1"};;false;225;true;;BankID,EDS;0
12;101;NULL;NULL;NULL;1;{};http://map.land.gov.ua/kadastrova-karta;false;1;false;Ви можете отримати послугу на сайті Публічної кадастрової карти України;BankID,EDS;0
13;12;50005;6;NULL;4;{"processDefinitionId":"kiev_mda_1:4:12570"};;false;1;true;;BankID,EDS,KK;2
14;659;227;227;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_2:1:1"};;false;212;true;;BankID,EDS;0
15;659;319;319;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_2:1:1"};;false;212;false;;BankID,EDS;0
16;4;24;24;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;225;true;;BankID,EDS;0
17;4;319;319;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;212;true;;BankID,EDS;0
18;17;15;15;NULL;4;{"processDefinitionId":"nikolaev_oda_2:1:1"};;false;220;false;;BankID,EDS;0
19;18;282;15;NULL;4;{"processDefinitionId":"nikolaev_oda_3:4:12552"};;false;1;true;;BankID,EDS;0
20;19;282;15;NULL;4;{"processDefinitionId":"nikolaev_oda_4:4:12558"};;false;1;true;;BankID,EDS;0
