nID_Service;nID_ServiceTag
678;3
678;61
660;3
660;61
624;3
624;61
737;16
737;61
617;3
617;61
984;12
984;61
115;25
115;33
115;61
115;59
148;25
148;61
148;59
135;58
135;61
135;59
57;17
57;61
57;59
57;63
57;60
58;17
58;61
58;59
58;63
58;60
92;25
92;61
92;59
92;64
749;2
749;35
749;61
749;59
749;64
748;25
748;61
748;59
748;64
951;7
951;61
951;69
485;3
485;11
485;61
485;69
494;16
494;53
494;61
494;67
489;16
489;53
489;61
489;67
5;52
5;61
5;67
5;66
1424;16
1424;42
1424;61
1424;63
578;27
578;76
575;27
575;76
574;27
574;76
573;27
573;76
632;27
632;76
629;27
629;76
630;27
630;76
577;27
577;76
982;27
982;76
983;27
983;76
413;1
413;59
399;1
399;59
405;1
405;59
407;1
407;59
401;1
401;59
403;1
403;59
409;1
409;59
411;1
411;59
415;1
415;59
412;1
412;59
566;37
566;59
398;1
398;59
404;1
404;59
406;1
406;59
400;1
400;59
402;1
402;59
408;1
408;59
410;1
410;59
414;1
414;59
547;32
547;37
547;59
543;37
543;59
1399;51
1399;59
1139;1
1139;59
157;43
157;59
952;12
952;59
1141;1
1141;59
886;57
886;59
985;12
985;59
986;12
986;59
195;29
195;59
197;29
197;59
198;29
198;59
196;29
196;59
93;2
93;25
93;59
93;61
93;64
658;37
658;59
658;69
151;55
151;59
151;69
1405;32
1405;37
1405;59
1405;69
1405;64
814;23
814;59
814;70
818;23
818;59
818;70
819;57
819;59
819;70
191;40
191;59
191;68
978;12
978;59
978;68
994;49
994;59
994;63
994;60
1130;4
1130;59
1130;66
1130;60
1138;4
1138;59
1138;66
1138;60
1398;51
1398;59
1398;60
1401;29
1401;51
1401;59
1401;60
719;51
719;59
719;60
122;39
122;59
122;60
94;2
94;25
94;59
94;64
94;61
95;2
95;25
95;59
95;64
95;61
835;55
835;69
836;35
836;55
836;69
518;11
518;69
677;36
677;69
601;36
601;69
599;7
599;69
837;7
837;69
598;55
598;69
847;50
847;69
49;36
49;69
946;11
946;69
1402;37
1402;69
949;11
949;69
600;36
600;69
563;50
563;55
563;69
137;36
137;69
569;32
569;69
158;55
158;69
138;7
138;69
516;50
516;55
516;69
571;37
571;69
448;16
448;69
885;55
885;69
564;32
564;69
888;50
888;69
889;50
889;69
143;16
143;69
891;50
891;69
542;32
542;37
542;69
542;59
221;32
221;35
221;69
221;64
1400;28
1400;32
1400;35
1400;54
1400;69
1400;64
1104;19
1104;69
1104;64
121;32
121;35
121;69
121;64
207;2
207;62
208;2
208;62
209;2
209;62
210;2
210;35
210;62
210;73
