nID_ServiceTag_Parent;nID_ServiceTag_Child
59;1
59;2
59;3
59;4
59;6
59;12
59;13
59;17
59;23
59;25
59;29
59;32
59;33
59;35
59;37
59;39
59;40
59;43
59;48
59;49
59;51
59;55
59;57
59;58
60;1
60;2
60;3
60;4
60;13
60;15
60;17
60;18
60;21
60;24
60;29
60;32
60;35
60;38
60;39
60;45
60;48
60;51
60;55
60;56
60;57
61;2
61;3
61;7
61;11
61;12
61;16
61;17
61;25
61;33
61;35
61;42
61;52
61;53
61;58
62;2
62;35
62;98
62;115
62;118
62;145
63;2
63;3
63;16
63;17
63;30
63;31
63;42
63;45
63;49
63;57
64;2
64;3
64;13
64;19
64;25
64;26
64;28
64;32
64;34
64;35
64;37
64;38
64;43
64;54
64;55
65;3
65;16
65;41
65;100
65;101
65;108
65;109
65;110
65;111
65;112
65;143
66;3
66;4
66;35
66;52
66;53
67;3
67;5
67;16
67;35
67;46
67;52
67;53
68;6
68;8
68;10
68;12
68;16
68;18
68;29
68;31
68;32
68;40
68;53
69;3
69;7
69;10
69;11
69;15
69;16
69;19
69;28
69;32
69;35
69;36
69;37
69;50
69;55
70;8
70;10
70;14
70;22
70;23
70;26
70;35
70;47
70;57
71;1
71;2
71;3
71;4
71;6
71;9
71;12
71;13
71;17
71;23
71;25
71;27
71;29
71;32
71;33
71;35
71;37
71;39
71;40
71;43
71;44
71;48
71;49
71;51
71;55
71;57
71;58
72;8
72;10
72;16
72;32
72;36
73;2
73;8
73;13
73;15
73;24
73;28
73;32
73;35
73;37
73;38
73;50
73;53
73;55
74;20
75;21
75;56
75;96
75;100
75;101
75;104
75;110
75;112
75;113
75;114
75;116
75;118
75;126
75;143
76;27
77;38
78;93
78;94
78;115
78;143
80;96
80;101
80;109
80;128
80;139
80;140
81;97
81;99
81;108
81;143
83;95
83;102
83;127
83;144
83;145
84;104
84;105
84;106
84;107
84;110
84;111
84;112
84;113
84;115
84;126
84;127
84;129
84;130
84;131
84;135
84;136
84;138
84;139
84;140
84;142
84;143
85;104
85;115
85;116
85;117
85;118
85;119
85;122
85;128
85;142
86;116
86;120
86;121
86;122
86;123
86;124
86;125
86;131
86;132
86;134
86;137
86;138
86;139
87;126
89;96
89;105
89;106
89;115
89;118
89;123
89;128
89;129
89;130
89;131
89;132
89;133
89;134
89;135
89;136
89;137
89;138
89;139
89;140
89;142
0;59
0;60
0;61
0;62
0;63
0;64
0;65
0;66
0;67
0;68
0;69
0;70
0;71
0;72
0;73
0;74
0;75
0;76
0;77
0;78
0;80
0;81
0;83
0;84
0;85
0;86
0;87
0;89
