nID_SubjectOrganJoin;sName;sValue
20;sRegion;Херсонська
20;sAddress; м.Херсон, вул.Лютеранська(Кірова), 4, каб.№108
20;nID_Department_visitDate;1
20;sMail_Employee;kyrbatsky@gmail.com
20;sWork_Time;понеділок-п'ятниця з 10:00 до 12:00<br> <br>
20;sMail_Signature;ГУНП України в Херсонській області,<br>

24;sRegion;Чернігівська
24;sAddress; м.Чернігів
24;nID_Department_visitDate;1
24;sMail_Employee;avm0206@yandex.ua
24;sWork_Time;понеділок-п'ятниця з 10:00 до 12:00<br> <br>
24;sMail_Signature;ГУНП України в Чернігівській області,<br>

363;sEcoShapka;Директору департаменту екології та природних ресурсів Тернопільської облдержадміністрації
363;sEcoDir;СІНГАЛЕВИЧУ О.В.
363;nRegion;450
363;sClerkPost;kamni@i.ua
363;sEcologPost;kamni@i.ua

366;sOrganID;Управління соціального захисту населення Підгаєцької РДА
366;sMailClerk;pidgajtsi@sobes-ter.gov.ua
366;sNameOrgan;Управління соціального захисту населення<br>Підгаєцької РДА

367;sOrganID;Департаменту соціального захисту населення Хмельницької ОДА
367;sMailClerk;cpl@adm.km.ua
367;sNameOrgan;Департамент соціального захисту населення<br>Хмельницької ОДА

368;sOrganID;Департаменту соціального захисту населення Тернопільської ОДА
368;sMailClerk;sobesternopil@gmail.com
368;sNameOrgan;Департамент соціального захисту населення<br>Тернопільської ОДА

369;sOrganID;Управління соціального захисту населення Тернопільської РДА
369;sMailClerk;uszntrda@ukt.net
369;sNameOrgan;Управління соціального захисту населення<br>Тернопільської РДА

375;sOrganID;Департаменту соціального захисту населення Херсонської ОДА
375;sMailClerk;zhigan.roman@gmail.com
375;sNameOrgan;Департамент соціального захисту населення<br>Херсонської ОДА

376;sOrganID;Управління соціального захисту населення Шепетівської РДА
376;sMailClerk;zhigan.roman@gmail.com
376;sNameOrgan;Управління соціального захисту населення<br>Шепетівської РДА

377;sAddress; м. Дніпропетровськ, вул. Красна 2-а
377;sWorkTime;
377;sPhoneOrgan; 744-42-14
377;nUser;0
377;nID_Department_visitDay;1
377;sNameOrgan;Управління превентивної діяльності, відділ дозвільної системи
377;sMailClerk;kyrbatsky@gmail.com
377;sInvoice1;<a href="https://drive.google.com/file/d/0B4euXvFru4YDYm9VWm1zbm82MDQ/view?usp=sharing" target="_blank">Платіжне доручення</a>
377;sZajava;<a href="https://drive.google.com/file/d/0B4euXvFru4YDWXNWWUdVQVdKcjQ/view?usp=sharing" target="_blank">Зразок заяви</a>
377;sKartka;<a href="https://drive.google.com/file/d/0B4euXvFru4YDUkRZbllJTGx1LU0/view?usp=sharing" target="_blank">Зразок картки-заяви</a>
377;sZajava_rereg;<a href="https://drive.google.com/file/d/0B4euXvFru4YDQ0FWaExQaWpLQ1U/view?usp=sharing" target="_blank">Зразок заяви</a>
377;sZajava_zber;<a href="https://drive.google.com/file/d/0B4euXvFru4YDRlBuVHhOSEFzS0k/view?usp=sharing" target="_blank">Зразок заяви</a>

378;sAddress; м. Дніпропетровськ, вул. Новоселівська 17/15
378;sWorkTime;
378;sPhoneOrgan; 744-42-14
378;nUser;0
378;nID_Department_visitDay;1
378;sNameOrgan;Управління превентивної діяльності, відділ дозвільної системи
378;sMailClerk;kyrbatsky@gmail.com
378;sInvoice1;<a href="https://drive.google.com/file/d/0B4euXvFru4YDYm9VWm1zbm82MDQ/view?usp=sharing" target="_blank">Платіжне доручення</a>
378;sZajava;<a href="https://drive.google.com/file/d/0B4euXvFru4YDWXNWWUdVQVdKcjQ/view?usp=sharing" target="_blank">Зразок заяви</a>
378;sKartka;<a href="https://drive.google.com/file/d/0B4euXvFru4YDUkRZbllJTGx1LU0/view?usp=sharing" target="_blank">Зразок картки-заяви</a>
378;sZajava_rereg;<a href="https://drive.google.com/file/d/0B4euXvFru4YDQ0FWaExQaWpLQ1U/view?usp=sharing" target="_blank">Зразок заяви</a>
378;sZajava_zber;<a href="https://drive.google.com/file/d/0B4euXvFru4YDRlBuVHhOSEFzS0k/view?usp=sharing" target="_blank">Зразок заяви</a>

379;sAddress; м. Дніпропетровськ, пр. Ілліча, 3
379;sWorkTime;
379;sPhoneOrgan; 744-65-84
379;nUser;0
379;nID_Department_visitDay;1
379;sNameOrgan;Управління превентивної діяльності, відділ дозвільної системи
379;sMailClerk;kyrbatsky@gmail.com
379;sInvoice1;<a href="https://drive.google.com/file/d/0B4euXvFru4YDYm9VWm1zbm82MDQ/view?usp=sharing" target="_blank">Платіжне доручення</a>
379;sZajava;<a href="https://drive.google.com/file/d/0B4euXvFru4YDWXNWWUdVQVdKcjQ/view?usp=sharing" target="_blank">Зразок заяви</a>
379;sKartka;<a href="https://drive.google.com/file/d/0B4euXvFru4YDUkRZbllJTGx1LU0/view?usp=sharing" target="_blank">Зразок картки-заяви</a>
379;sZajava_rereg;<a href="https://drive.google.com/file/d/0B4euXvFru4YDQ0FWaExQaWpLQ1U/view?usp=sharing" target="_blank">Зразок заяви</a>
379;sZajava_zber;<a href="https://drive.google.com/file/d/0B4euXvFru4YDRlBuVHhOSEFzS0k/view?usp=sharing" target="_blank">Зразок заяви</a>

380;sOrganID;Управління соціального захисту населення Каховського МВК
380;sMailClerk;zhigan.roman@gmail.com
380;sNameOrgan;Управління соціального захисту населення<br>Каховського МВК

614;sNameOrgan;УСЗН Калуської міської ради
614;sAddress;<b>Адреса:</b> вул.Євшана,9 каб. 110, м. Калуш, 77300
614;sPhoneOrgan;<b>Телефон(и):</b>  (03472) 60566
614;sWorkTime;<b>Графік роботи:</b> Понеділок-п’ятниця: з 8.00 до 17.00
614;sMailClerk;soc_kalush@ukr.net

955;sNameOrgan;УПСЗН Каланчацького району
955;sWorkTime;
955;sPhoneOrgan;<b>Телефон(и):</b> (05530) 3-25-97 або 2-17-62
955;sAddress;<b>Адреса:</b> 75800, Херсонська обл., смт. Каланчак, вул. Леніна, б.11 
955;sMailOfficialContact;<b>E-mail:</b> kalanupczn@ukr.net
955;sMailClerk;valery.stavitsky@gmail.com
955;sAreaRod;Каланчанської РДА



1115;shapka;Начальнику Управління Держгеокадастру у м. Вишгород Київської області
1115;nRegion;227
1115;sClerkPost;dozvol_zenter@ukr.net
1115;sRekv;УДКСУ Вишгородський район<br>Одержувач: 22012500<br>Рахунок 33213879727244 ГУДКСУ у Київській  обл. м. Київ<br>МФО 821018<br>ОКПО 37868556
1115;sMailClerk;dozvol_zenter@ukr.net
1115;sNameOrgan;ЦНАП Вишгородської РДА
1115;sPhoneOrgan;<b>Телефон(и):</b> (04596)227-02, 239-02
1115;sWorkTime;<b>Графік роботи:</b> Понеділок, середа з 08.00 до 15.00<br>вівторок, четвер з 13.00 до 20.00<br>субота: 08.30 - 15.30<br>Вихідний - Неділя
1115;sAddress;<b>Адреса:</b> 07300, Київська обл., м. Вишгород, пл. Шевченка, 1
1115;sShapka220;Начальнику Головного управління Держсанепідслужби у Київський області
1115;sShapkaVet;Начальнику управління <br>ветеринарної медицини <br>у м. Вишгород Київської області
1115;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
1115;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''
1115;sShapka;Голові Вишгородської районної державної адміністрації, Київська область

1116;shapka;Начальнику Управління Держгеокадастру у Марганецькому районі Дніпропетровської області
1116;nRegion;29
1116;sClerkPost;mn-centr@i.ua
1116;sRekv;
1116;sAddress;<b>Адреса:</b> 53407, Дніпропетровська обл., м.Марганець, вул .Єдності, 29-а
1116;sNameObject;ЦНАП Марганецької міськради
1116;sTelephonDovidka;Телефон для довідок: (05665)2-10-26
1116;sWork_Time; Графік роботи: Понеділок-четвер - з 8.00 до 17.00<br> пятниця - з 8.00 до 15.45 <br> Вихідний - субота, неділя
1116;sNameOrgan;ЦНАП м. Марганець
1116;sPhoneOrgan;<b>Телефон(и):</b> (05665) 2-31-49, 095-322-18-60.
1116;sPhoneHotLine;<b>Гаряча лінія міського голови:</b>(05665) 2-20-17
1116;sMailClerk;mn-centr@i.ua
1116;sMailOfficialContact;<b>E-mail:</b> mn-centr@i.ua
1116;sWepPortal;<b>Веб портал:</b> <a href='http://marganets-rada.dp.ua'>ЦНАП м. Марганця </a>
1116;sWorkTime;<b>Графік роботи:</b> Понеділок-четвер - з 8.00 до 17.00<br> пятниця - з 8.00 до 15.45 <br> Вихідний - субота, неділя
1116;nArea;29
1116;sShapka;Марганецька міська рада<br>Міському голові м. Марганця
1116;nID_Department_visitDay;71
1116;sShapka_dozvil_na_reklamu_184;Директору департамента<br>житлово-комунального господарства
1116;sShapka409;Міському голові м. Марганцю<br>__________________
1116;sPlase409;Марганецькому міськвиконкомі
1116;sShapkaGolova;Міському голові <br>м. Марганець
1116;sShapka489;Керівнику управління капітального будівництва, архітектури, житлово-комунального господарства та комунального майна Марганецької міської ради
1116;sShapka_mode_worktime_529;Міському голові м.Марганець
1116;sArchShapka;Керівнику управління капітального будівництва, архітектури, житлово-комунального господарства та комунального майна Марганецької міської ради
1116;sArchName; 
1116;sShapka_190;Міському голові м.Марганець
1116;sArea;м. Марганець
1116;Registrationservice;Марганецький МС ГУ ДМС України в Дніпропетровській області
1116;sOrganType;ЦНАП
1116;sRecviziti;
1116;sKab89;адміністратора
1116;sKab205;адміністратора
1116;sKab280;адміністратора
1116;sShapka220;Начальнику Управління, головному державному санітарному лікарю м.Марганець
1116;sShapkaVet;Начальнику управління<br> ветеринарної медицини<br> в  м. Марганець
1116;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
1116;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''

1117;sShapkaGolova;Міському голові <br>м. Коростень
1117;sAddress;11500, Житомирська обл., м. Коростень, вул. Грушевського, 22
1117;sMailClerk;zhigan.roman@gmail.com
1117;sNameOrgan;ЦНАП Коростенської міськради
1117;sWorkTime;<p>Понеділок, середа, п'ятниця з 8.00 до 17.00<br>Вівторок, четвер з 8.00 до 20.00<br>Субота з 8.00 до 15.00<br>Вихідний - Неділя</p>
1117;sPhoneOrgan;Телефон: (04142) 50916

1118;shapka;Начальнику Управління Держгеокадастру у Верхньодніпровському районі Дніпропетровської області
1118;nRegion;25
1118;sClerkPost;cnap.vilnogirsk@gmail.com
1118;sRekv;ГУДКСУ у Дніпропетровській області, м. Дніпропетровськ<br>Одержувач: 22012500<br>Рахунок 33215879727064<br>МФО 805012<br>ОКПО 37677195
1118;sAddress;<b>Адреса:</b> 51700, Дніпропетровська область, м.Вільногірськ, вул.Варена, 15
1118;sNameObject;ЦНАП Вільногірської міськради
1118;sTelephonDovidka;Телефон для довідок: (05653) 5-15-14, (05653) 5-15-86, (05653) 5-28-03
1118;sWork_Time;Понеділок, середа, п'ятниця з 8.00 до 17.00<br>Вівторок, четвер з 8.00 до 20.00<br>Субота з 8.00 до 16.00<br>Без перерви на обід.<br>Вихідний - Неділя
1118;sArea;Вільногірськ
1118;nArea;25
1118;sMailClerk;cnap.vilnogirsk@gmail.com
1118;sMailOfficialContact;<b>E-mail:</b> cnap.vilnogirsk@gmail.com
1118;sNameOrgan;ЦНАП м. Вільногірськ
1118;sPhoneOrgan;<b>Телефон(и):</b> (05653) 5-15-14, (05653) 5-15-86, (05653) 5-28-03
1118;sWepPortal;<b>Веб портал:</b> <a href='http://vilnogirsk.dp.ua/administrative_services'>ЦНАП м. Вільногірськ </a>
1118;sWorkTime;<b>Графік роботи:</b> Понеділок, середа, п’ятниця: з 8.00 до 17.00 Вівторок, четвер: з 8.00 до 20.00 Субота: з 8.00 до 16.00 Без перерви на обід. Вихідний день: неділя, святкові та неробочі дні.
1118;sShapka;Центр надання адміністративних послуг "Муніципальний центр послуг м.Вільногірськ"<br>Міському голові
1118;nID_Department_visitDay;32
1118;sShapka_dozvil_na_reklamu_184;Директору департамента<br>житлово-комунального господарства
1118;sShapka220;Начальнику Головного управління Держсанепідслужби у Дніпропетровській області
1118;sShapka489;Міському голові м.Вільногірськ
1118;sArchShapka;Міському голові м. Вільногірськ
1118;sArchName;
1118;sShapkaVet;Начальнику управління <br>ветеринарної медицини<br> в м.Вільногірськ
1118;sOrganType;ЦНАП
1118;sRecviziti;Одержувач: Місцевий бюджет м. Вільногірськ, МФО 805012, Код ЄДРПОУ 37996805, Р/р 31419538700012, код платежу 22090400
1118;sKab89;адміністратора
1118;sKab205;адміністратора
1118;Registrationservice;Вільногірський МС ГУ ДМС України в Дніпропетровській області
1118;sKab280;адміністратора
1118;sShapkaGolova;Голові<br> м. Вільногірськ
1118;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
1118;asVibor_service;=[service]=='0'?'Видача висновку':[service]=='1'?'Переоформлення висновку':[service]=='2'?'Видача дублікату висновку':[service]=='3'?'Анулювання висновку':''
1118;sAttribRekvizit_URL;Необхідно сплатити <br>1) адміністративний збір за державну реєстрацію та <br>2) за надання інформації з Державного реєстру. <br>Детальна інформація та реквізити для оплати знаходяться за <a href="https://goo.gl/9Xg4V2" target="_blank">посиланням</a> (там же наведено інформацію щодо звільнення від сплати адміністративного збору) 
1118;sAttribZayava_URL;Посилання на <a href="https://goo.gl/qNgPgp" target="_blank">заяви</a>, що адаптовані до заповнення вручну або з використанням комп'ютеру. <b>Потрібно заповнити, підписати та завантажити відповідну заяву</b>
1118;sRecvizitiAdmin;Отримувач: УДКСУ у м. Вільногірську, Код ЄДРПОУ 37996805, р/р 33217879700012 в ГУ ДКСУ у Дніпропетровській області, МФО 805012, Код доходу 22012500
1118;sRegistrationOrgan;Відділ реєстрації фізичних осіб виконавчого комітету Вільногірської міської ради Дніпропетровської області
1118;sShapka_190;Міському голові м. Вільногірськ

1119;sNameOrgan;ЦНАП м. Нікополь
1119;sPhoneOrgan;<b>Телефон(и):</b> (05662) 5-15-36
1119;sMailClerk;nikopol.admin@ukr.net
1119;sMailOfficialContact;<b>E-mail:</b> nikopol.admin@ukr.net
1119;sWepPortal;<b>Веб портал:</b> <a href='http://portal.nikopol.net'>ЦНАП м. Нікополя </a>
1119;shapka;Начальнику Відділу Держгеокадастру у м. Нікополь Дніпропетровської області
1119;nRegion;30
1119;sClerkPost;nikopol.admin@ukr.net
1119;sRekv;УДКСУ у м. Нікополі<br>Одержувач: 22012500<br>Рахунок 33216879727029<br>МФО 805012<br>ОКПО 38033121
1119;sAddress;<b>Адреса:</b> 53213, Дніпропетровська обл., м. Нікополь, вул. Електрометалургів, 3
1119;sNameObject;ЦНАП Нікопольської міськради
1119;sTelephonDovidka;Телефон для довідок: (05662) 5-15-36
1119;sWork_Time;<b>Графік роботи:</b> Понеділок: 9:00 – 20:00 <br>Вівторок, четвер, середа з 9.00 до 18.00<br>П'ятниця з 9.00 до 16.45<br> Субота, неділя - вихідний
1119;sWorkTime;<b>Графік роботи:</b> Понеділок: 9:00 – 20:00 <br>Вівторок, четвер, середа з 9.00 до 18.00<br>П'ятниця з 9.00 до 16.45<br> Субота, неділя - вихідний 
1119;nArea;30
1119;sShapka;Центр надання адміністративних послуг м. Нікополь<br> Міському голові м. Нікополя
1119;nID_Department_visitDay;72
1119;sShapka_dozvil_na_reklamu_184;Міському голові <br> м. Нікополь
1119;sShapka220;Начальнику Управління, головному державному санітарному лікарю м.Нікополь 
1119;sShapka273;Міському голові м. Нікополь
1119;sArea;Нікополь
1119;sShapkaGolova;Міському голові <br>м. Нікополь
1119;sArchShapka;Міському голові м. Нікополь
1119;sArchName; 
1119;sShapka_190;Міському голові м. Нікополь
1119;Registrationservice;Нікопольський РВ ГУ ДМС України в Дніпропетровській області
1119;sOrganType;ЦНАП
1119;sRecviziti;Отримувач: ГУ ДКСУ України в Дніпропетровській області,Р/р: 31413538700029, ЄДРПОУ: 38033121, МФО: 805012 в ГУДКСУ у Дніпропетровській області, Призначення платежу: *, 101, 22090400,
1119;sKab89;адміністратора
1119;sKab205;адміністратора
1119;sKab280;адміністратора
1119;service;["Видача висновку","Переоформлення висновку","Видача дублікату висновку","Анулювання висновку"]
