nID_SubjectOrganJoin;sName_UA;sID_UA
1152;Служба боротьби з контрабандою та порушеннями митних правил;10000 00 01
1152;Відділ кадрової роботи;10000 00 02
1152;Відділ митних платежів;10000 00 03
1152;Відділ митних інформаційних технологій;10000 00 04
1152;Відділ організації митного контролю;10000 00 05
1152;Господарсько-експлуатаційний відділ;10000 00 06
1152;М/п "Енергетичний";10024 00 00
1152;Сектор митного оформлення N 1 митного поста "Енергетичний";10024 00 01
1152;Сектор митного оформлення N 2 митного поста "Енергетичний";10024 00 02
1152;Сектор митного оформлення N 3 митного поста "Енергетичний";10024 00 03
1152;Сектор митного оформлення N 4 митного поста "Енергетичний";10024 00 04
1152;Сектор митного оформлення N 5 митного поста "Енергетичний";10024 00 05
1152;М/п "Західний";10025 00 00
1152;М/п "Східний";10026 00 00
1152;М/п "Столичний";10027 00 00
1152;М/п "Аеропорт "Київ" (Жуляни)";10028 00 00
1152;П/п "Аеропорт "Київ" (Жуляни)";10028 01 00 (130)
1152;М/п "Спеціалізований";10029 00 00
1152;Пункт контролю на залізничній станції "Київ-Пасажирський";10029 03 00 (120)
1152;Відділ митного оформлення N 1 митного поста "Спеціалізований";10029 03 01
1152;Відділ митного оформлення N 2 митного поста "Спеціалізований";10029 00 02
1152;Відділ митного оформлення N 3 митного поста "Спеціалізований";10029 00 03
1153;Служба боротьби з контрабандою та порушеннями митних правил;10100 00 01
1153;Відділ кадрової роботи;10100 00 02
1153;Відділ митних платежів;10100 00 03
1153;Сектор контролю митної вартості відділу митних платежів;10100 00 04
1153;Сектор класифікації товарів відділу митних платежів;10100 00 05
1153;Відділ митних інформаційних технологій;10100 00 06
1153;Відділ організації митного контролю;10100 00 07
1153;Сектор контролю за переміщенням товарів відділу організації митного контролю;10100 00 08
1153;М/п "Коростень";10103 00 00
1153;П/п "Виступовичі - Словечно" (пункт контролю на станції "Коростень");10103 06 00 (122)
1153;Відділ митного оформлення митного поста "Коростень";10103 06 01
1153;М/п "Новоград-Волинський";10104 00 00
1153;Сектор митного оформлення "Баранівка" митного поста "Новоград-Волинський";10104 00 01
1153;М/п "Бердичів";10105 00 00
1153;М/п "Житомир - центральний";10106 00 00
1153;Сектор митного оформлення "Коростишів" митного поста "Житомир - центральний";10106 00 01
1153;М/п "Малин";10110 00 00
1153;Сектор митного оформлення "Володарськ-Волинський" митного поста "Малин";10110 00 01
1153;М/п "Північний";10111 00 00
1153;Сектор митного оформлення "Овруч" митного поста "Північний";10111 00 01
1153;Сектор митного оформлення "Олевськ" митного поста "Північний";10111 00 02
1153;П/п "Майдан Копищанський - Глушкевичі";10111 02 00 (212)
1153;Відділ митного оформлення "Майдан Копищанський" митного поста "Північний";10111 02 03
1153;П/п "Виступовичі - Нова Рудня";10111 03 00 (112)
1153;Відділ митного оформлення "Виступовичі" митного поста "Північний";10111 03 04
1153;П/п "Вільча - Олександрівка";10111 04 00 (212)
1153;Відділ митного оформлення "Вільча" митного поста "Північний";10111 04 05
1153;П/п "Виступовичі - Словечно" (пункт контролю на станції "Овруч");10111 05 00 (122)
1153;Відділ митного оформлення "Залізничний" митного поста "Північний";10111 05 06
1154;Служба боротьби з контрабандою та порушеннями митних правил;10200 00 01
1154;Відділ кадрової роботи;10200 00 02
1154;Відділ митних платежів;10200 00 03
1154;Відділ митних інформаційних технологій;10200 00 04
1154;Відділ організації митного контролю;10200 00 05
1154;Сектор контролю за переміщенням товарів відділу організації митного контролю;10200 00 06
1154;П/п "Горностаївка - Терюха" (пункт контролю на станції "Чернігів");10200 04 00 (122)
1154;Відділ митного оформлення;10200 04 07
1154;М/п "Енергія";10201 00 00
1154;Сектор митного оформлення N 1 митного поста "Енергія";10201 00 01
1154;П/п "Славутич - Комарин";10201 01 00 (112)
1154;Відділ митного оформлення N 1 "Славутич - Комарин" митного поста "Енергія";10201 01 02
1154;М/п "Нові Яриловичі";10203 00 00
1154;П/п "Нові Яриловичі - Нова Гута";10203 02 00 (112)
1154;П/п "Неданчичі - Іолча" (станція "Iолча");10203 13 00 (122)
1154;М/п "Прилуки";10204 00 00
1154;Сектор митного оформлення N 1 митного поста "Прилуки";10204 00 01
1154;Сектор митного оформлення N 2 митного поста "Прилуки";10204 00 02
1154;М/п "Сеньківка";10205 00 00
1154;П/п "Сеньківка - Нові Юрковичі";10205 03 00 (111)
1154;П/п "Сеньківка - Веселівка";10205 12 00 (112)
1154;М/п "Щорс";10207 00 00
1154;П/п "Щорс - Терехівка" (станція "Щорс");10207 05 00 (122)
1154;Відділ митного оформлення N 1 митного поста "Щорс";10207 05 01
1154;Відділ митного оформлення N 2 митного поста "Щорс";10207 00 02
1154;М/п "Новгород-Сіверський";10209 00 00
1154;М/п "Грем'яч";10210 00 00
1154;П/п "Грем'яч - Погар";10210 10 00 (111)
1154;М/п "Чернігів - вантажний";10211 00 00
1154;М/п "Миколаївка";10212 00 00
1154;П/п "Миколаївка - Ломаківка";10212 11 00 (211)
1154;М/п "Хоробичі";10213 00 00
1154;П/п "Щорс - Терехівка" (пункт контролю на станції "Хоробичі");10213 09 00 (122)
1154;М/п "Горностаївка";10214 00 00
1154;П/п "Горностаївка - Терюха" (станція "Горностаївка");10214 08 00 (122)
1155;Служба боротьби з контрабандою та порушеннями митних правил;11000 00 01
1155;Відділ кадрової роботи;11000 00 02
1155;Відділ митних платежів;11000 00 03
1155;Відділ митних інформаційних технологій;11000 00 04
1155;Відділ фінансів, бухгалтерського обліку та звітності;11000 00 05
1155;Відділ організації митного контролю;11000 00 06
1155;М/п "Дніпродзержинськ";11001 00 00
1155;Сектор митного оформлення "Вільногірськ" митного поста "Дніпродзержинськ";11001 00 01
1155;М/п "Павлоград";11002 00 00
1155;М/п "Дніпропетровськ - аеропорт";11003 00 00
1155;П/п "Дніпропетровськ - аеропорт";11003 01 00 (130)
1155;М/п "Новомосковськ";11004 00 00
1155;М/п "Кривий Ріг";11005 00 00
1155;П/п "Кривий Ріг - аеропорт";11005 02 00 (130)
1155;Відділ митного оформлення "Криворіжсталь" митного поста "Кривий Ріг";11005 00 01
1155;Сектор митного оформлення "Південний" відділу митного оформлення "Криворіжсталь" митного поста "Кривий Ріг";11005 00 02
1155;Сектор митного оформлення "Північний" відділу митного оформлення "Криворіжсталь" митного поста "Кривий Ріг";11005 00 03
1155;Відділ митного оформлення "Кривбас" митного поста "Кривий Ріг";11005 00 04
1155;М/п "Дніпропетровськ - Ліски";11007 00 00
1155;М/п "Дніпропетровськ - південний";11008 00 00
1155;М/п "Нікополь";11009 00 00
1155;М/п "Дніпропетровськ - лівобережний";11010 00 00
1155;М/п "Дніпропетровськ - транспортний";11011 00 00
1155;М/п "Дніпропетровськ - річпорт";11012 00 00
1155;М/п "Дніпропетровськ - індустріальний";11013 00 00
1156;Служба боротьби з контрабандою та порушеннями митних правил;11200 00 01
1156;Відділ кадрової роботи;11200 00 02
1156;Відділ митних платежів;11200 00 03
1156;Відділ митних інформаційних технологій;11200 00 04
1156;Відділ організації митного контролю;11200 00 05
1156;Відділ митного аудиту;11200 00 06
1156;М/п "Запоріжжя - аеропорт";11201 00 00
1156;П/п "Запоріжжя - аеропорт";11201 01 00 (130)
1156;Відділ митного оформлення N 1 митного поста "Запоріжжя - аеропорт";11201 01 01
1156;М/п "Дніпрорудний";11202 00 00
1156;Відділ митного оформлення N 1 митного поста "Дніпрорудний";11202 00 01
1156;М/п "Запоріжсталь";11203 00 00
1156;М/п "Бердянськ";11204 00 00
1156;П/п "Бердянський морський торговельний порт";11204 02 00 (150)
1156;М/п "Запоріжжя - центральний";11205 00 00
1156;Відділ митного оформлення N 1 митного поста "Запоріжжя - центральний";11205 00 01
1156;М/п "Мелітополь";11207 00 00
1158;Служба боротьби з контрабандою та порушеннями митних правил;12300 00 01
1158;Відділ митних платежів;12300 00 02
1158;Відділ митних інформаційних технологій;12300 00 03
1158;Відділ організації митного контролю;12300 00 04
1158;Відділ митного оформлення N 1;12300 00 05
1158;П/п "Севастопольський морський торговельний порт";12300 01 00 (150)
1158;П/п Аеродром "Кача";12300 02 00 (231)
1158;П/п Аеропорт "Севастополь";12300 03 00 (130)
1158;П/п "Балаклавський судноремонтний завод "Металіст"";12300 04 00 (150)
1158;М/п "Рибпорт";12301 00 00
1158;П/п "Севастопольський морський рибний порт";12301 05 00 (150)
1158;М/п "Інкерман";12302 00 00
1158;М/п "Севастополь - морський";12303 00 00
1159;Служба боротьби з контрабандою та порушеннями митних правил;12500 00 01
1159;Відділ кадрової роботи;12500 00 02
1159;Відділ митних платежів;12500 00 03
1159;Сектор по контролю за правильністю визначення митної вартості відділу митних платежів;12500 00 04
1159;Сектор по контролю за класифікацією та кодуванням товарів відділу митних платежів;12500 00 05
1159;Відділ митних інформаційних технологій;12500 00 06
1159;Відділ організації митного контролю;12500 00 07
1159;Сектор з питань захисту прав інтелектуальної власності відділу організації митного контролю;12500 00 08
1159;Сектор контролю за переміщенням товарів відділу організації митного контролю;12500 00 09
1159;Господарсько-експлуатаційний відділ;12500 00 10
1159;М/п "Східний термінал";12511 00 00
1159;Відділ митного оформлення автотранспортних засобів митного поста "Східний термінал";12511 00 01
1159;Сектор митного оформлення N 1 відділу митного оформлення автотранспортних засобів митного поста "Східний термінал";12511 00 02
1159;Сектор митного оформлення N 2 відділу митного оформлення автотранспортних засобів митного поста "Східний термінал";12511 00 03
1159;Сектор митного оформлення N 3 відділу митного оформлення автотранспортних засобів митного поста "Східний термінал";12511 00 04
1159;Сектор митного оформлення N 4 відділу митного оформлення автотранспортних засобів митного поста "Східний термінал";12511 00 06
1159;Відділ митного оформлення N 1 митного поста "Східний термінал";12511 00 10
1159;Сектор митного оформлення N 1 митного поста "Східний термінал";12511 00 07
1159;Сектор митного оформлення N 2 митного поста "Східний термінал";12511 00 08
1159;Сектор митного оформлення N 3 митного поста "Східний термінал";12511 00 09
1159;М/п "Бориспіль - аеропорт";12512 00 00
1159;П/п "Бориспіль - аеропорт";12512 01 00 (130)
1159;Відділ митного оформлення N 1 митного поста "Бориспіль - аеропорт";12512 01 01
1159;Відділ митного оформлення N 2 митного поста "Бориспіль - аеропорт";12512 01 02
1159;Відділ митного оформлення N 3 митного поста "Бориспіль - аеропорт";12512 01 03
1159;Відділ митного оформлення N 4 митного поста "Бориспіль - аеропорт";12512 01 04
1159;Відділ митного оформлення N 5 митного поста "Бориспіль - аеропорт";12512 01 05
1159;Відділ митного оформлення N 6 митного поста "Бориспіль - аеропорт";12512 01 06
1159;М/п "Святошин";12513 00 00
1159;Сектор митного оформлення N 1 митного поста "Святошин";12513 00 02
1159;Сектор митного оформлення N 2 митного поста "Святошин";12513 00 03
1159;Відділ митного оформлення N 1 митного поста "Святошин";12513 00 04
1159;Відділ митного оформлення N 2 митного поста "Святошин";12513 00 05
1159;Відділ митного оформлення N 3 митного поста "Святошин";12513 00 06
1159;Відділ митного оформлення N 4 митного поста "Святошин";12513 00 07
1159;Сектор митного оформлення N 1 відділу митного оформлення N 4 митного поста "Святошин";12513 00 08
1159;Відділ митного оформлення N 5 митного поста "Святошин";12513 00 09
1159;Сектор митного оформлення N 1 відділу митного оформлення N 5 митного поста "Святошин";12513 00 10
1159;П/п "Аеропорт "Гостомель"";12513 02 00 (130)
1159;Сектор митного оформлення N 2 відділу митного оформлення N 5 митного поста "Святошин";12513 02 11
1160;Служба боротьби з контрабандою та порушеннями митних правил;20400 00 01
1160;Сектор кадрової роботи;20400 00 02
1160;Відділ митних платежів;20400 00 03
1160;Відділ митних інформаційних технологій;20400 00 04
1160;Відділ організації митного контролю;20400 00 05
1160;Відділ митного аудиту;20400 00 06
1160;М/п "Сарни";20402 00 00
1160;П/п "Удрицьк - Горинь" (пункт контролю на станції "Сарни");20402 05 00 (122)
1160;Відділ митного оформлення N 1 митного поста "Сарни";20402 05 01
1160;М/п "Дубно";20403 00 00
1160;М/п "Рівне - центральний";20405 00 00
1160;П/п "Рівне - аеропорт";20405 01 00 (130)
1160;Відділ митного оформлення N 1 митного поста "Рівне - центральний";20405 00 01
1160;Відділ митного оформлення N 2 митного поста "Рівне - центральний";20405 00 02
1160;М/п "Костопіль";20406 00 00
1160;М/п "Городище";20407 00 00
1160;П/п "Городище - Верхній Теребежів";20407 03 00 (112)
1160;М/п "Удрицьк";20408 00 00
1160;П/п "Удрицьк - Горинь" (станція "Удрицьк");20408 04 00 (122)
1160;М/п "Прикладники";20409 00 00
1160;П/п "Прикладники - Невель";20409 02 00 (212)
1161;Служба боротьби з контрабандою та порушеннями митних правил;20500 00 01
1161;Відділ митної варти служби боротьби з контрабандою та порушеннями митних правил;20500 00 02
1161;Відділ кадрової роботи;20500 00 03
1161;Відділ митних платежів;20500 00 04
1161;Сектор по контролю за нарахуванням митних платежів відділу митних платежів;20500 00 05
1161;Сектор по контролю за правильністю визначення митної вартості товарів відділу митних платежів;20500 00 06
1161;Сектор по контролю за класифікацією та кодуванням товарів відділу митних платежів;20500 00 07
1161;Сектор по контролю за визначенням країни походження товарів відділу митних платежів;20500 00 08
1161;Відділ митних інформаційних технологій;20500 00 09
