nID;sID_UA;sName_UA
1;10000 00 01;Управление инфраструктуры
2;10000 00 02;Управление финансово-экономической работы и бухгалтерского учета
3;10000 00 03;Отдел ИТ
4;10000 00 04;Отдел таможенной статистики
5;10000 00 06;Отдел организации таможенного контроля
6;10000 00 07;Отдел контроля за перемещением товаров
7;10000 00 08;Сектор по вопросам защиты прав интеллектуальной собственности и экспортного к-ля
8;10000 00 09;Управления администрирования таможенных платежей и таможенно-тарифного регулиров
9;10000 00 10;Отдел таможенных платежей
10;10000 00 11;Отдел таможенной стоимости
11;10000 00 12;Отдел таможенно-тарифного регулирования
12;10000 00 13;Отдел классификации товаров
13;10000 00 14;Управление анализа рисков и противодействия таможенным правонарушениям
14;10000 00 15;Отдел мониторинга рисковых операций
15;10000 00 16;Отдел производства по делам о нарушении таможенных правил
16;10000 00 17;Аналитически-поисковый отдел
17;10000 00 18;Отдел борьбы с незаконным перемещением наркотиков и оружия
18;10000 00 19;Сектор технических систем таможенного контроля
19;10025 00 00;М / п "Западный "
20;10025 00 01;Отдел таможенного оформления N 1 таможенного поста "Западный"
21;10025 00 02;Отдел таможенного оформления N 2 таможенного поста "Западный"
22;10025 00 03;Отдел таможенного оформления N 3 таможенного поста "Западный"
23;10025 00 04;Сектор таможенного оформления N 1 таможенного поста "Западный"
24;10025 00 05;Сектор таможенного оформления N 2 таможенного поста "Западный"
25;10025 00 06;Сектор таможенного оформления N 3 таможенного поста "Западный"
26;10026 00 00;М / п "Восточній "
27;10026 00 01;Отдел таможенного оформления N 1 таможенного поста "Восточный"
28;10026 00 02;Отдел таможенного оформления N 2 таможенного поста "Восточный"
29;10026 00 03;Сектор таможенного оформления № 1 таможенного поста "Восточный"
30;10026 00 04;Сектор таможенного оформления № 2 таможенного поста "Восточный"
31;10026 00 05;Сектор таможенного оформления № 3 таможенного поста "Восточный"
32;10026 00 06;Сектор таможенного оформления N 4 таможенного поста "Восточный"
33;10027 00 00;М / п "КСтоличный"
34;10027 00 01;Отдел таможенного оформления N 1 таможенного поста "Столичный"
35;10027 00 02;Отдел таможенного оформления N 2 таможенного поста "Столичный"
36;10027 00 03;Отдел таможенного оформления N 3 таможенного поста "Столичный"
37;10027 00 04;Отдел таможенного оформления N 4 таможенного поста "Столичный"
38;10027 00 05;Сектор таможенного оформления № 1 таможенного поста "Столичный"
39;10028 00 00;Т/п Аеропорт "Киев (Жуляны)"
40;10028 01 00 (13);П/п Аеропорт "Киев (Жуляны)"
41;10028 01 01;Отдел таможенного оформления N 1 таможенного поста "Аэропорт" Киев "(Жуляны)"
42;10028 01 02;Отдел таможенного оформления N 2 таможенного поста "Аэропорт" Киев "(Жуляны)"
43;10028 01 03;Отдел таможенного оформления N 3 таможенного поста "Аэропорт" Киев "(Жуляны)"
44;10028 01 04;Отдел таможенного оформления N 4 таможенного поста "Аэропорт" Киев "(Жуляны)"
45;10028 01 05;Отдел таможенного оформления N 5 таможенного поста "Аэропорт" Киев "(Жуляны)"
46;10029 00 00;М / п "Специализированный"
47;10029 00 02;Отдел таможенного оформления № 2 таможенного поста "Специализированыій"
48;10029 00 03;Отдел таможенного оформления № 3 таможенного поста "Специализированыій"
49;10029 03 00 (12);Пункт контроля на железнодорожной станции "Киев-Пассажирский"
50;10029 03 01;Отдел таможенного оформления № 1 таможенного поста "Специализированыій"
