nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
1;1;2;2;NULL;1;{};https://dniprorada.igov.org.ua;false;1;true;Перейдя на этот сайт Вы сможете получить услугу;BankID,EDS,KK;0
2;1;50002;NULL;2;3;;https://lviv.igov.org.ua;true;1;true;;BankID,EDS;0
3;2;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"CivilCardAccountlRequest:4:12564"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS,KK;0
4;3;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo1:4:12555"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
5;4;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"CivilCopyDocRequest:4:12565"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
6;5;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo14:4:12561"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
7;6;4;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ivFrank_mvk_2:4:12566"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
8;4;4;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ivFrank_mvk_1:4:12556"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
9;627;4;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo3:4:12548"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
10;9;4;4;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo4:4:12557"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
11;10;5;5;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"monetaryValuationOfLand:4:12568"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
12;101;NULL;NULL;NULL;1;{};http://map.land.gov.ua/kadastrova-karta;false;1;false;Ви можете отримати послугу на сайті Публічної кадастрової карти України;BankID,EDS;0
13;12;50005;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_mda_1:4:12570"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
14;627;3;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo6:1:60057"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
15;14;3;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo7:1:60063"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
16;15;3;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo8:4:12553"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
17;16;3;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo9:4:12551"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
18;17;282;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_2:4:12567"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
19;18;282;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_3:4:12552"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
20;19;282;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_4:4:12558"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
21;20;282;15;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"nikolaev_oda_1:4:12549"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
22;21;5;5;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo2:1:60054"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
23;21;50006;NULL;6;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo11:4:12554"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
24;22;50006;NULL;6;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"demo10:4:12563"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
25;23;8;8;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kuznetsovsk_mvk_1:4:12562"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
26;4;3;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"lviv_mvk-1:2:12559"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
27;627;3;3;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"lviv_mvk-2:2:12560"}};https://test-version.region.igov.org.ua/wf/;false;1;true;;BankID,EDS;0
28;10;9;9;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"lutsk_mvk-2:1:12569"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
29;726;50005;6;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"kiev_mreo_1:1:58"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
30;157;NULL;NULL;NULL;3;;https://lviv.igov.org.ua;false;1;true;;BankID,EDS;0
31;158;NULL;NULL;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"CivilCardAccountlRequest:4:12564"}};https://test-version.region.igov.org.ua/wf/;true;1;true;;BankID,EDS;0
32;160;10;10;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"ternopol_oda_1:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
33;1;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_mvd_1:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID;0
34;161;50006;NULL;6;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"herson_oda_1:1:1"}};https://test-version.region.igov.org.ua/wf/;false;1;false;;BankID,EDS;0
35;3;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
36;5;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
37;7;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
38;627;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
39;9;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
40;10;2;2;NULL;1;{};https://dniprorada.igov.org.ua;true;1;TRUE;;BankID,EDS;0
41;176;27;27;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"zhytomyr_dms_passport:1:1"}};https://test-version.region.igov.org.ua/wf/;FALSE;1;true;;BankID,EDS;0
42;12;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
43;16;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
44;17;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
45;18;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
46;19;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
47;20;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
48;24;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
49;29;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
50;57;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
51;59;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
52;63;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
53;66;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
54;67;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
55;68;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
56;70;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
57;96;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
58;98;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
59;102;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
60;122;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
61;115;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
62;159;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
63;176;1;1;NULL;4;{"sPath":"service/form/form-data","oParams":{"processDefinitionId":"dnepr_dms_passport:1:140"}};https://test-version.region.igov.org.ua/wf/;FALSE;1;false;;BankID,EDS;0
64;178;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
65;179;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
66;180;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
67;29;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
68;184;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
69;360;2;2;NULL;1;{};https://dniprorada.igov.org.ua;FALSE;1;TRUE;;BankID,EDS;0
