nID;nID_SubjectOrgan;sNameUa;sNameRu;sID_Privat;sID_Public;sGeoLongitude;sGeoLatitude;nID_Region;nID_City;sID_UA
1;310;м.Вiнниця, вул.Театральна, 10;м.Вiнниця, вул.Театральна, 10;130500;130500;28.46353;49.23555;NULL;NULL;500000000
2;310;м.Луцьк, вул.Винниченка, 11;м.Луцьк, вул.Винниченка, 11;130700;130700;25.32563,;50.74814;NULL;NULL;700000000
3;310;м.Дніпропетровськ, вул.Красна, 20-А;м.Дніпропетровськ, вул.Красна, 20-А;131200;131200;35.03967;48.45987;NULL;NULL;1200000000
4;310;м.Маріуполь, вул.Нахімова, 86;м.Маріуполь, вул.Нахімова, 86;131400;131400;37.51317;47077;NULL;NULL;1400000000
5;310;м.Житомир, Старий Бульвар, 5/37;м.Житомир, Старий Бульвар, 5/37;131800;131800;28.6691;50.24999;NULL;NULL;1800000000
6;310;м.Ужгород, вул.Ф.Ракоцi, 13;м.Ужгород, вул.Ф.Ракоцi, 13;132100;132100;22.29019;48.62588;NULL;NULL;2100000000
7;310;м.Запорiжжя, вул.Матросова, 29;м.Запорiжжя, вул.Матросова, 29;132300;132300;35.1475;47.83793;NULL;NULL;2300000000
8;310;м.Івано-Франкiвськ, вул.Сахарова, 15;м.Івано-Франкiвськ, вул.Сахарова, 15;132600;132600;24.70835;48.91552;NULL;NULL;2600000000
9;310;м.Київ, вул.Володимирська, 15;м.Київ, вул.Володимирська, 15;133200;133200;30.51737;50.45415;NULL;NULL;3200000000
10;310;м.Кiровоград, вул.Віктора Чміленка, 41;м.Кiровоград, вул.Віктора Чміленка, 41;133500;133500;32.26172;48.51165;NULL;NULL;3500000000
11;310;м.Северодонецьк, вул.Партизанська, 16;м.Северодонецьк, вул.Партизанська, 16;130900;130900;38.48017;48.94862;NULL;NULL;4400000000
12;310;м.Львiв, пл.Генерала Григоренка, 3;м.Львiв, пл.Генерала Григоренка, 3;134600;134600;24.02207;49.84147;NULL;NULL;4600000000
13;310;м.Миколаїв, вул.Спаська, 41;м.Миколаїв, вул.Спаська, 41;134800;134800;31.9891;46.97359;NULL;NULL;4800000000
14;310;м.Одеса, вул.Єврейська, 12;м.Одеса, вул.Єврейська, 12;135100;135100;30.74354;46.47811;NULL;NULL;5100000000
15;310;м.Полтава, вул.Пушкiна, 83;м.Полтава, вул.Пушкiна, 83;135300;135300;34.54269;49.58834;NULL;NULL;5300000000
16;310;м.Рiвне, вул.М.Хвильового, 2;м.Рiвне, вул.М.Хвильового, 2;135600;135600;26.25831;50.61991;NULL;NULL;5600000000
17;310;м.Суми, вул.Кондратьєва, 23;м.Суми, вул.Кондратьєва, 23;135900;135900;34.79606;50.90295;NULL;NULL;5900000000
18;310;м.Тернопiль, вул.Валова, 11;м.Тернопiль, вул.Валова, 11;136100;136100;25.59293;49.55168;NULL;NULL;6100000000
19;310;м.Харків, вул.Раднаркомівська, 5;м.Харків, вул.Раднаркомівська, 5;136300;136300;36.23683;49.99925;NULL;NULL;6300000000
20;3;м.Херсон вул.Лютеранська(Кірова), 4;г.Херсон ул.Лютеранская(Кирова), 4;6500000000_1;6500000000_1; ; ;NULL;NULL;6500000000
21;310;м.Хмельницький, вул.Зарічанська, 7;м.Хмельницький, вул.Зарічанська, 7;136800;136800;26.99476;49.4333;NULL;NULL;6800000000
22;310;м.Черкаси, вул.Смiлянська, 57;м.Черкаси, вул.Смiлянська, 57;137100;137100;32.06085;49.43764;NULL;NULL;7100000000
23;310;м.Чернівці, вул.Головна, 24;м.Чернівці, вул.Головна, 24;137300;137300;25.93612;48.2937;NULL;NULL;7300000000
24;310;м.Чернiгiв, пр-т Перемоги, 74;м.Чернiгiв, пр-т Перемоги, 74;137700;137700; ; ;NULL;NULL;7400000000
25;310;м.Київ, вул.Володимирська, 15;м.Київ, вул.Володимирська, 15;133000;133000;30.51737;50.45415;NULL;NULL;8000000000
356;1;ВІННИЦЬКИЙ МВ УМВСУ У ВІННИЦЬКІЙ ОБЛ.;ВИННИЦКИЙ ГОВД;120666;130501;49.2330830;28.4477540;11;33;1
357;1;ВІННИЦЬКИЙ МВ УМВСУ У ВІННИЦЬКІЙ ОБЛ.;ВИННИЦКИЙ ГОВД;120666;130502;49.2330830;28.4477540;11;33;2
