nID;nID_Subject;nID_SubjectContactType;sValue
0;0;0;
1;24;0;
2;24;1;kvasniy@mail.ru
3;25;0;
4;25;1;fozzie@activiti.org
5;26;0;
6;26;1;gonzo@activiti.org
7;27;0;
8;27;1;kermit@activiti.org
9;28;0;
10;28;1;apu@apu.dp.ua
11;29;0;
12;29;1;1207subs@ukr.net
13;30;0;
14;30;1;lyuba@razomforukraine.org
15;31;0;
16;31;1;74salut@gmail.com
17;32;0;
18;32;1;aleksej.domash@gmail.com
19;33;0;
20;33;1;1223uszn@ukr.net
21;34;0;
22;34;1;upszn1216@i.ua
23;35;0;
24;35;1;1258@dmsu.gov.ua
25;36;0;
26;36;1;1243samara@ukr.net
27;37;0;
28;37;1;1222@dmsu.gov.ua
29;38;0;
30;38;1;картошка
31;39;0;
32;39;1;sas_dp@i.ua
33;40;0;
34;40;1;dozvol_zenter@ukr.net
35;41;0;
36;41;1;rda-kalan@khoda.gov.ua
37;42;0;
38;42;1;1217@dmsu.gov.ua
39;43;0;
40;43;1;dpi62_dp@ukr.net
41;44;0;
42;44;1;картошка
43;45;0;
44;45;1;teplikcnap_andriy@ukr.net
45;46;0;
46;46;1;podorvan@ukr.net
47;47;0;
48;47;1;cnap.vilnogirsk@gmail.com
49;48;0;
50;48;1;dms_dn_babysh@ukr.net
51;49;0;
52;49;1;pokr.upszn@gmail.com
53;50;0;
54;50;1;cnap.vilnogirsk@gmail.com
55;51;0;
56;51;1;tsnap_mista_chertkov@ukr.net
57;52;0;
58;52;1;BaroninaGO@ukr.net
59;53;0;
60;53;1;upszn_bucha@ukr.net
61;54;0;
62;54;1;1246usznSZN@ukr.net
63;55;0;
64;55;1;mon.cnap@gmail.com
65;56;0;
66;56;1;картошка
67;57;0;
68;57;1;1244@dmsu.gov.ua
69;58;0;
70;58;1;vvsparrow@gmail.com
71;59;0;
72;59;1;vszn1@ukrpost.ua
73;60;0;
74;60;1;vasileva.77@mail.ru
75;61;0;
76;61;1;chernygina@adm.dp.ua
77;62;0;
78;62;1;upszn_1242@srvk.gov.ua
79;63;0;
80;63;1;zvv_87@ukr.net
81;64;0;
82;64;1;Kirovka65@dnp.ukrpack.net
83;65;0;
84;65;1;pokr.upszn@gmail.com
85;66;0;
86;66;1;kalanupczn@ukr.net
87;67;0;
88;67;1;vpszn1211@i.ua
89;68;0;
90;68;1;i.vinagina@solor.gov.ua
91;69;0;
92;69;1;cnap80100@ukr.net
93;70;0;
94;70;1;картошка
95;71;0;
96;71;1;cnup_shumsk@ukr.net
97;72;0;
98;72;1;belyavtsev.vladimir@privatbank.ua
99;73;0;
100;73;1;1214@dmsu.gov.ua
101;74;0;
102;74;1;romny-admin@ukr.net
103;75;0;
104;75;1;romny-admin@ukr.net
105;76;0;
106;76;1;картошка
107;77;0;
108;77;1;картошка
109;78;0;
110;78;1;tsnap.pervom@ukr.net
111;79;0;
112;79;1;vjacheslav.velikotskij@privatbank.ua
113;80;0;
114;80;1;LisovoyV@i.ua
115;81;0;
116;81;1;cnap_netishyn@ukr.net
117;82;0;
118;82;1;galinasemenkoadmin@ukr.net
119;83;0;
120;83;1;znap_borshchiv@ukr.net
121;84;0;
122;84;1;cnap80100@ukr.net
123;85;0;
124;85;1;bagl1206@meta.ua
125;86;0;
126;86;1;privat_shev@mail.ru
127;87;0;
128;87;1;gasiukdmitriy@gmail.com
129;88;0;
130;88;1;apu@apu.dp.ua
131;89;0;
132;89;1;zayavi@kakhovka-rada.gov.ua
133;90;0;
134;90;1;bogdan_gera@ukr.net
135;91;0;
136;91;1;cnap@shev.gov.ua
137;92;0;
138;92;1;oo.golubcova@rada-berdyansk.gov.ua
139;93;0;
140;93;1;inkenting@bigmir.net
141;94;0;
142;94;1;horpinichta@pl.npu.gov.ua
143;95;0;050-182-72-84
144;95;1;darja.grek@gmail.com
145;96;0;
146;96;1;desnsubsidy@ukr.net
147;97;0;
148;97;1;1238uszn@ukr.net
149;98;0;
150;98;1;d.dubilet@privatbank.ua
151;99;0;
